C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,2,2,0,0,3,2,3,2,4,3536.815423268315,2709.866632665704,0.1043117857142849,2020-09-18,Israel,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,3126.828245904141,2709.866632665704,0.1043117857142849,2020-09-19,Israel,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,2852.105455434365,2709.866632665704,0.1043117857142849,2020-09-20,Israel,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,2633.2388738506697,2709.866632665704,0.1043117857142849,2020-09-21,Israel,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,2442.230425561833,2709.866632665704,0.1043117857142849,2020-09-22,Israel,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,2268.843917166359,2709.866632665704,0.1043117857142849,2020-09-23,Israel,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,2109.004087474242,2709.866632665704,0.1043117857142849,2020-09-24,Israel,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,1960.7956268192536,2484.720947458696,0.1043117857142849,2020-09-25,Israel,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,1823.081578223232,2298.47142350428,0.1043117857142849,2020-09-26,Israel,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,1695.0249155711808,2133.1742035238244,0.1043117857142849,2020-09-27,Israel,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,1575.921723489964,1982.1288963294376,0.1043117857142849,2020-09-28,Israel,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,1465.1417334210723,1842.5447974521867,0.1043117857142849,2020-09-29,Israel,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,1362.1061100611666,1713.0108250085873,0.1043117857142849,2020-09-30,Israel,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,1266.2781386759418,1592.6214037516877,0.1043117857142849,2020-10-01,Israel,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1253.0158150391082,1491.5100020688094,0.0,2020-10-02,Israel,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1302.8866479276062,1417.1964405980054,0.0,2020-10-03,Israel,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1394.2304761162434,1374.2258063901575,0.0,2020-10-04,Israel,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1521.7372342643446,1366.485165072212,0.0,2020-10-05,Israel,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1685.9597286048008,1398.0305929556016,0.0,2020-10-06,Israel,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1890.0340097219712,1473.4488643357165,0.0,2020-10-07,Israel,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,2138.721733165014,1598.0836635484409,0.0,2020-10-08,Israel,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,2438.184014802629,1767.3934063718011,0.0,2020-10-09,Israel,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,2795.9988792706804,1980.6951537065265,0.0,2020-10-10,Israel,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,3221.2774309704364,2241.70186154284,0.0,2020-10-11,Israel,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,3724.8371510390007,2556.430421082076,0.0,2020-10-12,Israel,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,4319.419821866303,2932.639005833719,0.0,2020-10-13,Israel,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,5019.9504537410085,3379.769926407867,0.0,2020-10-14,Israel,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,5843.835716575555,3909.071924037945,0.0,2020-10-15,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,6717.011835935717,4520.333041342672,0.0505394642857138,2020-10-16,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,7487.179123236534,5190.501647623509,0.0505394642857138,2020-10-17,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,8164.817808084112,5896.72170149689,0.0505394642857138,2020-10-18,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,8753.388180696236,6615.086134305066,0.0505394642857138,2020-10-19,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,9257.265320016071,7320.492634040747,0.0505394642857138,2020-10-20,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,9682.883096279627,7986.625868689122,0.0505394642857138,2020-10-21,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,10038.09234729317,8585.805387363067,0.0505394642857138,2020-10-22,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,10331.286972148306,9102.130406822009,0.0505394642857138,2020-10-23,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,10570.720848858924,9542.636367625206,0.0505394642857138,2020-10-24,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,10764.075267895249,9913.95886188394,0.0505394642857138,2020-10-25,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,10918.23560861609,10223.222780158205,0.0505394642857138,2020-10-26,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,11039.210384521517,10477.786360801842,0.0505394642857138,2020-10-27,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,11132.142959467405,10684.82348411438,0.0505394642857138,2020-10-28,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,11201.373921200351,10851.006566101121,0.0505394642857138,2020-10-29,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,11250.528617462493,10982.326801146004,0.0505394642857138,2020-10-30,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,11282.611775209514,11084.025504910374,0.0505394642857138,2020-10-31,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,11300.100237989736,11160.600500638158,0.0505394642857138,2020-11-01,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,11305.028244049321,11215.856591414336,0.0505394642857138,2020-11-02,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,11299.062972700916,11252.978389725677,0.0505394642857138,2020-11-03,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,11283.5698444036,11274.610801859422,0.0505394642857138,2020-11-04,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,11259.667862030437,11282.938507692288,0.0505394642857138,2020-11-05,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,11228.275955914907,11279.759556042633,0.0505394642857138,2020-11-06,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,11190.151382735969,11266.55092854641,0.0505394642857138,2020-11-07,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,11145.921271630124,11244.52536192361,0.0505394642857138,2020-11-08,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,11096.108415916338,11214.679672190327,0.0505394642857138,2020-11-09,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,11041.152242402308,11177.835282147671,0.0505394642857138,2020-11-10,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,10981.42573832238,11134.67183842178,0.0505394642857138,2020-11-11,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,10917.249141507022,11085.754878347007,0.0505394642857138,2020-11-12,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,10848.900943843824,11031.558448051135,0.0505394642857138,2020-11-13,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,10776.626678517741,10972.483490305676,0.0505394642857138,2020-11-14,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,10700.64592562798,10908.872726591084,0.0505394642857138,2020-11-15,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,10621.157910237209,10841.022654351209,0.0505394642857138,2020-11-16,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,10538.345921871984,10769.193179989734,0.0505394642857138,2020-11-17,Israel,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,3163.7877442409363,1801.5407317803908,0.4745260714285701,2020-09-18,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,2467.982940508543,1801.5407317803908,0.4745260714285701,2020-09-19,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,1987.6564468771094,1801.5407317803908,0.4745260714285701,2020-09-20,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,1625.967784021205,1801.5407317803908,0.4745260714285701,2020-09-21,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,1339.9045410876322,1801.5407317803908,0.4745260714285701,2020-09-22,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,1107.9329830511156,1801.5407317803908,0.4745260714285701,2020-09-23,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,917.552682676196,1801.5407317803908,0.4745260714285701,2020-09-24,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,760.4269773802228,1458.2034793717175,0.4745260714285701,2020-09-25,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,630.4111883771074,1195.6932290672266,0.4745260714285701,2020-09-26,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,522.7005946541196,986.4138216067997,0.4745260714285701,2020-09-27,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,433.4207021255391,816.0499527645618,0.4745260714285701,2020-09-28,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,359.3999482207945,675.9778680692992,0.4745260714285701,2020-09-29,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,298.02381222954415,560.276557951932,0.4745260714285701,2020-09-30,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,247.12995927042576,464.5018831796791,0.4745260714285701,2020-10-01,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,204.92737899504644,385.1447976960824,0.4745260714285701,2020-10-02,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,169.93162654218997,319.36200314823714,0.4745260714285701,2020-10-03,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,140.911981572335,264.8207727079821,0.4745260714285701,2020-10-04,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,116.84794955046385,219.59609376868568,0.4745260714285701,2020-10-05,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,96.8933071993867,182.09514505134172,0.4745260714285701,2020-10-06,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,80.34632850727536,150.99836166244611,0.4745260714285701,2020-10-07,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,66.62510835408202,125.21195438868277,0.4745260714285701,2020-10-08,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,55.24710354916005,103.82905789641329,0.4745260714285701,2020-10-09,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,45.81216789994434,86.09770666180677,0.4745260714285701,2020-10-10,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,37.98848377397214,71.3943498334692,0.4745260714285701,2020-10-11,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,31.500895425701923,59.201913529931794,0.4745260714285701,2020-10-12,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,26.121234060406465,49.091617367220316,0.4745260714285701,2020-10-13,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,21.66029465899475,40.70789824603738,0.4745260714285701,2020-10-14,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,17.961182622376413,33.75590885579373,0.4745260714285701,2020-10-15,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,14.89379640874507,27.9911506928773,0.4745260714285701,2020-10-16,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,12.350252239413571,23.210877027087193,0.4745260714285701,2020-10-17,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,10.241090043664263,19.246963637043205,0.4745260714285701,2020-10-18,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,8.492127262414629,15.959996756573592,0.4745260714285701,2020-10-19,Israel,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,7.041849897014706,13.23437044751763,0.4745260714285701,2020-10-20,Israel,,Plan 10
