,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,1,2,2,2,0,1,4,2,3,2,1,3428.464259290341,2414.395764595793,36.67,2020-09-18,Israel,,Plan 1
1,3,1,2,2,2,0,1,4,2,3,2,1,2930.5267278274923,2414.395764595793,36.67,2020-09-19,Israel,,Plan 1
2,3,1,2,2,2,0,1,4,2,3,2,1,2586.448141381817,2414.395764595793,36.67,2020-09-20,Israel,,Plan 1
3,3,1,2,2,2,0,1,4,2,3,2,1,2313.120037069466,2414.395764595793,36.67,2020-09-21,Israel,,Plan 1
4,3,1,2,2,2,0,1,4,2,3,2,1,2079.5893727024877,2414.395764595793,36.67,2020-09-22,Israel,,Plan 1
5,3,1,2,2,2,0,1,4,2,3,2,1,1873.484558478906,2414.395764595793,36.67,2020-09-23,Israel,,Plan 1
6,3,1,2,2,2,0,1,4,2,3,2,1,1689.1372554200407,2414.395764595793,36.67,2020-09-24,Israel,,Plan 1
7,2,0,1,0,2,0,0,4,2,3,2,0,1567.9831887242337,2148.6127545149207,16.5,2020-09-25,Israel,,Plan 1
8,2,0,1,0,2,0,0,4,2,3,2,0,1478.1839788242844,1941.1352189430338,16.5,2020-09-26,Israel,,Plan 1
9,2,0,1,0,2,0,0,4,2,3,2,0,1406.4833596022324,1772.5688215459502,16.5,2020-09-27,Israel,,Plan 1
10,2,0,1,0,2,0,0,4,2,3,2,0,1346.6637390656501,1634.5036361168334,16.5,2020-09-28,Israel,,Plan 1
11,2,0,1,0,2,0,0,4,2,3,2,0,1295.3265182854682,1522.4660854858307,16.5,2020-09-29,Israel,,Plan 1
12,2,0,1,0,2,0,0,4,2,3,2,0,1250.3419851280387,1433.4457178642783,16.5,2020-09-30,Israel,,Plan 1
13,2,0,1,0,2,0,0,4,2,3,2,0,1210.2469635689176,1365.0328190284035,16.5,2020-10-01,Israel,,Plan 1
14,1,0,2,2,1,0,0,4,2,3,2,0,1169.9351761108521,1308.168817226492,19.0,2020-10-02,Israel,,Plan 1
15,1,0,2,2,1,0,0,4,2,3,2,0,1130.5669795297538,1258.509245898702,19.0,2020-10-03,Israel,,Plan 1
16,1,0,2,2,1,0,0,4,2,3,2,0,1092.4653128540908,1213.6495249346815,19.0,2020-10-04,Israel,,Plan 1
17,1,0,2,2,1,0,0,4,2,3,2,0,1055.6826302105876,1172.080795098244,19.0,2020-10-05,Israel,,Plan 1
18,1,0,2,2,1,0,0,4,2,3,2,0,1020.188622782939,1132.7753814550256,19.0,2020-10-06,Israel,,Plan 1
19,1,0,2,2,1,0,0,4,2,3,2,0,985.9313913051188,1095.002439480323,19.0,2020-10-07,Israel,,Plan 1
20,1,0,2,2,1,0,0,4,2,3,2,0,952.8566263804067,1058.2323913105354,19.0,2020-10-08,Israel,,Plan 1
