,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,2,4,2,0,0,4,2,3,2,4,1447.5304473156057,1198.1753993147265,0.12386535714285621,2020-10-19,Israel,,Plan 1
1,3,0,2,4,2,0,0,4,2,3,2,4,1315.6067602346468,1198.1753993147265,0.12386535714285621,2020-10-20,Israel,,Plan 1
2,3,0,2,4,2,0,0,4,2,3,2,4,1235.0465380433368,1198.1753993147265,0.12386535714285621,2020-10-21,Israel,,Plan 1
3,3,0,2,4,2,0,0,4,2,3,2,4,1173.619130218364,1198.1753993147265,0.12386535714285621,2020-10-22,Israel,,Plan 1
4,3,0,2,4,2,0,0,4,2,3,2,4,1120.1960159199482,1198.1753993147265,0.12386535714285621,2020-10-23,Israel,,Plan 1
5,3,0,2,4,2,0,0,4,2,3,2,4,1070.8968039597914,1198.1753993147265,0.12386535714285621,2020-10-24,Israel,,Plan 1
6,3,0,2,4,2,0,0,4,2,3,2,4,1024.3320995113918,1198.1753993147265,0.12386535714285621,2020-10-25,Israel,,Plan 1
7,3,0,2,4,2,0,0,4,2,3,2,4,979.9701389360246,1131.3810695462148,0.12386535714285621,2020-10-26,Israel,,Plan 1
8,3,0,2,4,2,0,0,4,2,3,2,4,937.575797073177,1077.3766462374335,0.12386535714285621,2020-10-27,Israel,,Plan 1
9,3,0,2,4,2,0,0,4,2,3,2,4,897.017878853721,1029.086837781774,0.12386535714285621,2020-10-28,Israel,,Plan 1
10,3,0,2,4,2,0,0,4,2,3,2,4,858.2028705450831,984.0273721141624,0.12386535714285621,2020-10-29,Israel,,Plan 1
11,3,0,2,4,2,0,0,4,2,3,2,4,821.0521400055255,941.2925326978163,0.12386535714285621,2020-10-30,Israel,,Plan 1
12,3,0,2,4,2,0,0,4,2,3,2,4,785.4940042859891,900.5207041729874,0.12386535714285621,2020-10-31,Israel,,Plan 1
13,3,0,2,4,2,0,0,4,2,3,2,4,751.4609669117956,861.5391138016166,0.12386535714285621,2020-11-01,Israel,,Plan 1
14,3,0,2,4,2,0,0,4,2,3,2,4,718.8886923620223,824.2417642910448,0.12386535714285621,2020-11-02,Israel,,Plan 1
