C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,4,2,3,2,4,1447.5304473156054,1198.1753993147265,0.1238653571428562,2020-10-19,Israel,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,1315.6067602346468,1198.1753993147265,0.1238653571428562,2020-10-20,Israel,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,1235.0465380433368,1198.1753993147265,0.1238653571428562,2020-10-21,Israel,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,1173.619130218364,1198.1753993147265,0.1238653571428562,2020-10-22,Israel,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,1120.1960159199482,1198.1753993147265,0.1238653571428562,2020-10-23,Israel,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,1070.8968039597914,1198.1753993147265,0.1238653571428562,2020-10-24,Israel,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,1024.3320995113918,1198.1753993147265,0.1238653571428562,2020-10-25,Israel,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,979.9701389360247,1131.3810695462148,0.1238653571428562,2020-10-26,Israel,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,937.575797073177,1077.3766462374335,0.1238653571428562,2020-10-27,Israel,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,897.017878853721,1029.086837781774,0.1238653571428562,2020-10-28,Israel,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,858.2028705450832,984.0273721141624,0.1238653571428562,2020-10-29,Israel,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,821.0521400055255,941.2925326978163,0.1238653571428562,2020-10-30,Israel,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,785.494004285989,900.5207041729874,0.1238653571428562,2020-10-31,Israel,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,751.4609669117957,861.5391138016166,0.1238653571428562,2020-11-01,Israel,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,718.8886923620222,824.2417642910448,0.1238653571428562,2020-11-02,Israel,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,687.7155902846727,788.5474490355443,0.1238653571428562,2020-11-03,Israel,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,657.8826150233334,754.3852684883459,0.1238653571428562,2020-11-04,Israel,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,629.3331400040059,721.6895926967635,0.1238653571428562,2020-11-05,Israel,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,602.0128511858356,690.3982657225223,0.1238653571428562,2020-11-06,Israel,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,575.8696572063542,660.4519304254313,0.1238653571428562,2020-11-07,Israel,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,550.8536037982175,631.7937356949203,0.1238653571428562,2020-11-08,Israel,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,533.7667512070465,605.3477441013522,0.0955126785714278,2020-11-09,Israel,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,522.8595613910202,581.7968828308307,0.0955126785714278,2020-11-10,Israel,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,515.7769836078215,561.4960783429002,0.0955126785714278,2020-11-11,Israel,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,511.3466256059036,544.6408620003142,0.0955126785714278,2020-11-12,Israel,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,508.8877739157382,531.3372795331574,0.0955126785714278,2020-11-13,Israel,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,507.9510096968461,521.6346156032276,0.0955126785714278,2020-11-14,Israel,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,508.21362037615637,515.543189400076,0.0955126785714278,2020-11-15,Israel,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,513.0454994115481,512.5830105721477,0.0743296428571422,2020-11-16,Israel,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,522.341371197736,512.5089834016786,0.0743296428571422,2020-11-17,Israel,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,534.8559926727812,515.2345561252442,0.0743296428571422,2020-11-18,Israel,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,549.9862119017694,520.7544970246536,0.0743296428571422,2020-11-19,Israel,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,567.3907692431154,529.1120677857076,0.0743296428571422,2020-11-20,Israel,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,586.8515780043869,540.3835775439276,0.0743296428571422,2020-11-21,Israel,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,608.2194428604713,554.6701236131155,0.0743296428571422,2020-11-22,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,637.0138699893128,572.3798908385105,0.050539464285713806,2020-11-23,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,674.293568815265,594.0873476410145,0.050539464285713806,2020-11-24,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,718.8122920482251,620.3668189803637,0.050539464285713806,2020-11-25,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,770.2626978167289,651.8348883967865,0.050539464285713806,2020-11-26,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,828.7164094656914,689.1671227142972,0.050539464285713806,2020-11-27,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,894.4311812227875,733.1070660312117,0.050539464285713806,2020-11-28,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,967.7825773319804,784.4732280985703,0.050539464285713806,2020-11-29,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1049.2389511691104,843.3625254099697,0.050539464285713806,2020-11-30,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1139.3520994770715,909.7994583616563,0.050539464285713806,2020-12-01,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1238.754333892034,984.0768929107719,0.050539464285713806,2020-12-02,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1348.1586841347396,1066.6334623847736,0.050539464285713806,2020-12-03,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1468.3608979151604,1158.0112464489832,0.050539464285713806,2020-12-04,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1600.2426960683042,1258.8414628554856,0.050539464285713806,2020-12-05,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1744.7759943760009,1369.8405224332032,0.050539464285713806,2020-12-06,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1903.02792328448,1491.8103755925415,0.050539464285713806,2020-12-07,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2076.16654512273,1625.6410106847784,0.050539464285713806,2020-12-08,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2265.4671756493776,1772.3142737929702,0.050539464285713806,2020-12-09,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2472.319251031256,1932.9086404924728,0.050539464285713806,2020-12-10,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2698.233680761085,2108.6047523276047,0.050539464285713806,2020-12-11,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2944.850619069124,2300.691598470579,0.050539464285713806,2020-12-12,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,3213.9475886662453,2510.573254797757,0.050539464285713806,2020-12-13,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,3507.4478791712677,2739.776105638727,0.050539464285713806,2020-12-14,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,3827.429122553151,2989.9564738430718,0.050539464285713806,2020-12-15,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,4176.131921121797,3262.908580339132,0.050539464285713806,2020-12-16,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,4555.968371575335,3560.5727404168574,0.050539464285713806,2020-12-17,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,4969.5303793128915,3885.0436973528294,0.050539464285713806,2020-12-18,Israel,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,1297.2276464963754,798.6465614414235,0.4745260714285701,2020-10-19,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1045.0718169064605,798.6465614414235,0.4745260714285701,2020-10-20,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,871.7719889536952,798.6465614414235,0.4745260714285701,2020-10-21,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,739.2149810196629,798.6465614414235,0.4745260714285701,2020-10-22,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,631.4768261746035,798.6465614414235,0.4745260714285701,2020-10-23,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,541.2218193350482,798.6465614414235,0.4745260714285701,2020-10-24,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,464.54085120411867,798.6465614414235,0.4745260714285701,2020-10-25,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,398.97794713127473,670.3251758178377,0.4745260714285701,2020-10-26,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,342.76322607453164,569.9953771275623,0.4745260714285701,2020-10-27,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,294.5041654889019,487.52854520402025,0.4745260714285701,2020-10-28,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,253.05248494612331,418.07676005065736,0.4745260714285701,2020-10-29,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,217.43962027946012,358.9285877799226,0.4745260714285701,2020-10-30,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,186.84007958920282,308.30262495908767,0.4745260714285701,2020-10-31,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,160.54704385758106,264.8749381952965,0.4745260714285701,2020-11-01,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,137.95407073195884,227.58581299539424,0.4745260714285701,2020-11-02,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,118.54037666250223,195.55397736510437,0.4745260714285701,2020-11-03,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,101.85856626431743,168.03317747587798,0.4745260714285701,2020-11-04,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,87.52422841810001,144.38628368616037,0.4745260714285701,2020-11-05,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,75.20704784048691,124.06734476630704,0.4745260714285701,2020-11-06,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,64.62318581932882,106.60778851346791,0.4745260714285701,2020-11-07,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,55.528739322914504,91.60517357994414,0.4745260714285701,2020-11-08,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,47.714122336544506,78.7137523805992,0.4745260714285701,2020-11-09,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,40.99923813957646,67.6364468773241,0.4745260714285701,2020-11-10,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,35.22933076048125,58.11798466249036,0.4745260714285701,2020-11-11,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,30.271419941719977,49.939012023007486,0.4745260714285701,2020-11-12,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,26.011237525337247,42.911039120843256,0.4745260714285701,2020-11-13,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,22.350594750126163,36.872097539528596,0.4745260714285701,2020-11-14,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,19.20511987237205,31.68300904659395,0.4745260714285701,2020-11-15,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,16.502314039310676,27.22417928984627,0.4745260714285701,2020-11-16,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,14.179880662326381,23.392842507381964,0.4745260714285701,2020-11-17,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,12.184289826437807,20.100693802518613,0.4745260714285701,2020-11-18,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,10.469544678839641,17.271854479249996,0.4745260714285701,2020-11-19,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,8.996121386289762,14.841123602243213,0.4745260714285701,2020-11-20,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,7.730058245475853,12.752475530150312,0.4745260714285701,2020-11-21,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,6.642172963708802,10.957768828912704,0.4745260714285701,2020-11-22,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,5.707390078093313,9.41563683445308,0.4745260714285701,2020-11-23,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,4.9041630174192195,8.090534313752057,0.4745260714285701,2020-11-24,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,4.213977490613628,6.951918265777175,0.4745260714285701,2020-11-25,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,3.6209247587600895,5.9735439914800965,0.4745260714285701,2020-11-26,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,3.1113349574658566,5.132860215933825,0.4745260714285701,2020-11-27,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,2.673462019754925,4.41048932654512,0.4745260714285701,2020-11-28,Israel,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,2.297212938493101,3.7897807515143054,0.4745260714285701,2020-11-29,Israel,,Plan 2
3,3,2,4,2,3,1,4,2,3,2,4,1.9798780498789244,3.2572790331979635,0.4354189285714273,2020-11-30,Israel,,Plan 2
3,3,2,4,2,3,1,4,2,3,2,4,1.709593212183873,2.8009119181643425,0.4354189285714273,2020-12-01,Israel,,Plan 2
3,3,2,4,2,3,1,4,2,3,2,4,1.4780816472770195,2.4100696548305414,0.4354189285714273,2020-12-02,Israel,,Plan 2
3,3,2,4,2,3,1,4,2,3,2,4,1.279087358690819,2.0755214548206458,0.4354189285714273,2020-12-03,Israel,,Plan 2
3,3,2,4,2,3,1,4,2,3,2,4,1.1076420679183792,1.7892796134567202,0.4354189285714273,2020-12-04,Israel,,Plan 2
3,3,2,4,2,3,1,4,2,3,2,4,0.959684098118926,1.5444541960801492,0.4354189285714273,2020-12-05,Israel,,Plan 2
3,3,2,4,2,3,1,4,2,3,2,4,0.8318352653504851,1.3351145284883466,0.4354189285714273,2020-12-06,Israel,,Plan 2
3,3,2,4,2,3,1,4,2,3,2,4,0.7212553276233751,1.1553112824518394,0.4354189285714273,2020-12-07,Israel,,Plan 2
3,3,2,4,2,3,1,4,2,3,2,4,0.625538850580563,1.0004463736513665,0.4354189285714273,2020-12-08,Israel,,Plan 2
3,3,2,4,2,3,1,4,2,3,2,4,0.542637939401074,0.8668115582405173,0.4354189285714273,2020-12-09,Israel,,Plan 2
3,3,2,4,2,3,1,4,2,3,2,4,0.4708021458103211,0.7513422421147319,0.4354189285714273,2020-12-10,Israel,,Plan 2
3,3,2,4,2,3,1,4,2,3,2,4,0.4085306260523782,0.6514691789910175,0.4354189285714273,2020-12-11,Israel,,Plan 2
3,3,2,4,2,3,1,4,2,3,2,4,0.3545333655257366,0.5650190743348477,0.4354189285714273,2020-12-12,Israel,,Plan 2
3,3,2,4,2,3,1,4,2,3,2,4,0.30769941217080204,0.4901425238806072,0.4354189285714273,2020-12-13,Israel,,Plan 2
3,3,2,4,2,3,1,4,2,3,2,4,0.2670704710692505,0.4252589729443037,0.4354189285714273,2020-12-14,Israel,,Plan 2
3,3,2,4,2,3,1,4,2,3,2,4,0.2318188807473333,0.3690132629681279,0.4354189285714273,2020-12-15,Israel,,Plan 2
3,3,2,4,2,3,1,4,2,3,2,4,0.2012290704736165,0.32024056740706264,0.4354189285714273,2020-12-16,Israel,,Plan 2
3,3,2,4,2,3,1,4,2,3,2,4,0.17468186798393445,0.2779376705747217,0.4354189285714273,2020-12-17,Israel,,Plan 2
3,3,2,4,2,3,1,4,2,3,2,4,0.15164115649950305,0.2412391749243109,0.4354189285714273,2020-12-18,Israel,,Plan 2
3,3,2,4,2,3,0,4,2,3,2,4,1323.0437344219195,858.3660962466467,0.39631178571428455,2020-10-19,Israel,,Plan 3
