C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
2,0,2,1,2,0,0,0,2,3,2,4,785.0789177364942,842.5722777700238,0.0505394642857138,2021-03-25,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,786.6033902611763,842.5722777700238,0.0505394642857138,2021-03-26,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,806.5636276038074,842.5722777700238,0.0505394642857138,2021-03-27,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,833.416587181728,842.5722777700238,0.0505394642857138,2021-03-28,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,863.3135574312922,842.5722777700238,0.0505394642857138,2021-03-29,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,894.9882296219389,842.5722777700238,0.0505394642857138,2021-03-30,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,928.041634553729,842.5722777700238,0.0505394642857138,2021-03-31,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,962.3666111919516,867.8990911208032,0.0505394642857138,2021-04-01,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,997.9547035328328,898.0921358738971,0.0505394642857138,2021-04-02,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1034.8313981565177,930.7018173814273,0.0505394642857138,2021-04-03,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1073.0343966001144,964.9329330126253,0.0505394642857138,2021-04-04,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1112.6063184740324,1000.5461845901593,0.0505394642857138,2021-04-05,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1153.5922886856931,1037.4896215992674,0.0505394642857138,2021-04-06,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1196.0391301559598,1075.7749781138716,0.0505394642857138,2021-04-07,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1239.9951038899005,1115.4361913564358,0.0505394642857138,2021-04-08,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1285.5098182229754,1156.5154934550274,0.0505394642857138,2021-04-09,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1332.6342474982896,1199.0587576467094,0.0505394642857138,2021-04-10,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1381.4206971898584,1243.1139434452439,0.0505394642857138,2021-04-11,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1431.9228205029183,1288.7305865922278,0.0505394642857138,2021-04-12,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1484.1956235348364,1335.9596344278198,0.0505394642857138,2021-04-13,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1538.2954685173625,1384.8533970508774,0.0505394642857138,2021-04-14,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1594.2800743530786,1435.4655356884741,0.0505394642857138,2021-04-15,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1652.2085139835224,1487.851063654267,0.0505394642857138,2021-04-16,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1712.141208223309,1542.0663437578405,0.0505394642857138,2021-04-17,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1774.1399157145365,1598.1690892613665,0.0505394642857138,2021-04-18,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1838.267718649481,1656.2183604251609,0.0505394642857138,2021-04-19,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1904.5890038942184,1716.274557619358,0.0505394642857138,2021-04-20,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1973.1694391406922,1778.3994105655481,0.0505394642857138,2021-04-21,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2044.0759436320006,1842.6559633196803,0.0505394642857138,2021-04-22,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2117.376653097236,1909.1085546216389,0.0505394642857138,2021-04-23,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2193.1408784184327,1977.8227932209425,0.0505394642857138,2021-04-24,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2271.4390575603065,2048.8655277703383,0.0505394642857138,2021-04-25,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2352.342700276416,2122.3048108599005,0.0505394642857138,2021-04-26,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2435.924325081677,2198.209856743823,0.0505394642857138,2021-04-27,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2522.2573879607385,2276.650992289544,0.0505394642857138,2021-04-28,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2611.4162022612804,2357.6996006651552,0.0505394642857138,2021-04-29,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2703.475849227333,2441.4280572551693,0.0505394642857138,2021-04-30,Israel,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2798.5120785088347,2527.909657268084,0.0505394642857138,2021-05-01,Israel,,Plan 1
