,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,2,0,2,2,1,0,0,4,2,3,2,0,1566.1488244925622,1577.7289558764107,24.0,2020-10-19,Israel,,Plan 1
1,2,0,2,2,1,0,0,4,2,3,2,0,1532.1032906706923,1577.7289558764107,24.0,2020-10-20,Israel,,Plan 1
2,2,0,2,2,1,0,0,4,2,3,2,0,1539.4187829425528,1577.7289558764107,24.0,2020-10-21,Israel,,Plan 1
3,2,0,2,2,1,0,0,4,2,3,2,0,1560.6896126375575,1577.7289558764107,24.0,2020-10-22,Israel,,Plan 1
4,2,0,2,2,1,0,0,4,2,3,2,0,1586.8603188958857,1577.7289558764107,24.0,2020-10-23,Israel,,Plan 1
5,2,0,2,2,1,0,0,4,2,3,2,0,1614.9399414313098,1577.7289558764107,24.0,2020-10-24,Israel,,Plan 1
6,2,0,2,2,1,0,0,4,2,3,2,0,1643.9419200643142,1577.7289558764107,24.0,2020-10-25,Israel,,Plan 1
7,3,0,2,2,2,0,0,4,2,3,2,0,1661.0345205219119,1591.2840553091748,30.0,2020-10-26,Israel,,Plan 1
8,3,0,2,2,2,0,0,4,2,3,2,0,1665.7252396263766,1610.3729051599869,30.0,2020-10-27,Israel,,Plan 1
9,3,0,2,2,2,0,0,4,2,3,2,0,1662.7094749895116,1627.9858611666953,30.0,2020-10-28,Israel,,Plan 1
10,3,0,2,2,2,0,0,4,2,3,2,0,1654.372993652523,1641.3692013116904,30.0,2020-10-29,Israel,,Plan 1
11,3,0,2,2,2,0,0,4,2,3,2,0,1642.155789504048,1649.2685542557135,30.0,2020-10-30,Israel,,Plan 1
12,3,0,2,2,2,0,0,4,2,3,2,0,1627.0417930865306,1650.9973902064596,30.0,2020-10-31,Israel,,Plan 1
13,3,0,2,2,2,0,0,4,2,3,2,0,1609.7527402237165,1646.1132216578026,30.0,2020-11-01,Israel,,Plan 1
14,3,0,2,2,2,0,0,4,2,3,2,0,1590.837066135311,1636.0850138882884,30.0,2020-11-02,Israel,,Plan 1
15,3,0,2,2,2,0,0,4,2,3,2,0,1570.7184816054812,1622.5126198853031,30.0,2020-11-03,Israel,,Plan 1
16,3,0,2,2,2,0,0,4,2,3,2,0,1549.7268321235601,1606.3722423330244,30.0,2020-11-04,Israel,,Plan 1
17,3,0,2,2,2,0,0,4,2,3,2,0,1528.1197739058246,1588.336068083496,30.0,2020-11-05,Israel,,Plan 1
18,3,0,2,2,2,0,0,4,2,3,2,0,1506.0988669642943,1568.8993648635312,30.0,2020-11-06,Israel,,Plan 1
19,3,0,2,2,2,0,0,4,2,3,2,0,1483.8218473408874,1548.4393726141534,30.0,2020-11-07,Israel,,Plan 1
20,3,0,2,2,2,0,0,4,2,3,2,0,1461.4121237182421,1527.2478559705144,30.0,2020-11-08,Israel,,Plan 1
21,1,0,2,2,1,0,0,4,2,3,2,0,1457.3902978219,1508.1840319257415,19.0,2020-11-09,Israel,,Plan 1
22,1,0,2,2,1,0,0,4,2,3,2,0,1471.0499229558754,1493.9456664043694,19.0,2020-11-10,Israel,,Plan 1
23,1,0,2,2,1,0,0,4,2,3,2,0,1496.3353315015663,1486.3183091726555,19.0,2020-11-11,Israel,,Plan 1
24,1,0,2,2,1,0,0,4,2,3,2,0,1530.460977776642,1486.6527668684867,19.0,2020-11-12,Israel,,Plan 1
