C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
2,0,2,2,1,0,0,4,2,3,2,0,1566.1488244925622,1577.7289558764107,24.0,2020-10-19,Israel,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,1532.1032906706923,1577.7289558764107,24.0,2020-10-20,Israel,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,1539.4187829425528,1577.7289558764107,24.0,2020-10-21,Israel,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,1560.6896126375573,1577.7289558764107,24.0,2020-10-22,Israel,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,1586.8603188958857,1577.7289558764107,24.0,2020-10-23,Israel,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,1614.9399414313098,1577.7289558764107,24.0,2020-10-24,Israel,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,1643.9419200643142,1577.7289558764107,24.0,2020-10-25,Israel,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,1661.034520521912,1591.2840553091748,30.0,2020-10-26,Israel,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,1665.7252396263766,1610.3729051599869,30.0,2020-10-27,Israel,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,1662.7094749895114,1627.9858611666953,30.0,2020-10-28,Israel,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,1654.3729936525228,1641.3692013116904,30.0,2020-10-29,Israel,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,1642.1557895040478,1649.2685542557135,30.0,2020-10-30,Israel,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,1627.0417930865306,1650.9973902064594,30.0,2020-10-31,Israel,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,1609.7527402237165,1646.1132216578023,30.0,2020-11-01,Israel,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,1590.837066135311,1636.0850138882886,30.0,2020-11-02,Israel,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,1570.7184816054812,1622.5126198853034,30.0,2020-11-03,Israel,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,1549.72683212356,1606.3722423330246,30.0,2020-11-04,Israel,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,1528.1197739058246,1588.336068083496,30.0,2020-11-05,Israel,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,1506.0988669642943,1568.8993648635312,30.0,2020-11-06,Israel,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,1483.8218473408874,1548.4393726141534,30.0,2020-11-07,Israel,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,1461.412123718242,1527.2478559705146,30.0,2020-11-08,Israel,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,1457.3902978219,1508.1840319257417,19.0,2020-11-09,Israel,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,1471.0499229558754,1493.9456664043696,19.0,2020-11-10,Israel,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,1496.3353315015663,1486.3183091726555,19.0,2020-11-11,Israel,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,1530.460977776642,1486.6527668684869,19.0,2020-11-12,Israel,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,1571.926666045619,1496.0567381658188,19.0,2020-11-13,Israel,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,1619.8007555094025,1515.482296475607,19.0,2020-11-14,Israel,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,1673.4471778244974,1545.7730184907862,19.0,2020-11-15,Israel,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1737.1249526241604,1585.735112033966,16.5,2020-11-16,Israel,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1811.354286943912,1634.350021175114,16.5,2020-11-17,Israel,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1894.7436667775676,1691.2654976431147,16.5,2020-11-18,Israel,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1986.701113823272,1756.4426599354902,16.5,2020-11-19,Israel,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,2086.972478181149,1830.0206330977087,16.5,2020-11-20,Israel,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,2195.4753474382032,1912.2598605161088,16.5,2020-11-21,Israel,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,2312.2342816894447,2003.515161068244,16.5,2020-11-22,Israel,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2445.027519976708,2104.6440992614653,14.0,2020-11-23,Israel,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2596.284792557981,2216.777028634904,14.0,2020-11-24,Israel,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2764.711407154246,2341.058134403001,14.0,2020-11-25,Israel,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2950.2050927225737,2478.701559960044,14.0,2020-11-26,Israel,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,3153.152865014589,2631.013043793392,14.0,2020-11-27,Israel,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,3374.190523259681,2799.4009260536027,14.0,2020-11-28,Israel,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,3614.116758390948,2985.384137010961,14.0,2020-11-29,Israel,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,3873.859619894898,3189.5030084278446,14.0,2020-11-30,Israel,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,4154.461543681447,3412.099687159769,14.0,2020-12-01,Israel,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,4457.071410199539,3653.8654018805255,14.0,2020-12-02,Israel,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,4782.939546239773,3915.68460952584,14.0,2020-12-03,Israel,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,5133.414085317683,4198.5790695691385,14.0,2020-12-04,Israel,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,5509.937900647528,4503.685837767402,14.0,2020-12-05,Israel,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,5914.045689928797,4832.247113701381,14.0,2020-12-06,Israel,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,6303.193606876756,5179.2948261273605,21.5,2020-12-07,Israel,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,6660.5382267141895,5537.3057808463245,21.5,2020-12-08,Israel,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,6996.47920825907,5900.078323426257,21.5,2020-12-09,Israel,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,7316.238846759256,6261.978223500469,21.5,2020-12-10,Israel,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,7623.211721830133,6617.663600145103,21.5,2020-12-11,Israel,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,7920.007498145659,6961.959256930551,21.5,2020-12-12,Israel,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,8208.779471588578,7289.778368596235,21.5,2020-12-13,Israel,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,8491.337587180657,7602.370365782504,21.5,2020-12-14,Israel,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,8769.199169361531,7903.607643303555,21.5,2020-12-15,Israel,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,9043.62335374543,8196.056806944463,21.5,2020-12-16,Israel,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,9315.640863730818,8481.685666511827,21.5,2020-12-17,Israel,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,9586.081669628533,8762.095659054457,21.5,2020-12-18,Israel,,Plan 1
