,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,2,4,2,0,0,4,2,3,2,4,21643.376829563556,19316.373086345942,0.12386535714285621,2020-11-01,Italy,,Plan 1
1,3,0,2,4,2,0,0,4,2,3,2,4,20265.132159215973,19316.373086345942,0.12386535714285621,2020-11-02,Italy,,Plan 1
2,3,0,2,4,2,0,0,4,2,3,2,4,19544.063738954457,19316.373086345942,0.12386535714285621,2020-11-03,Italy,,Plan 1
3,3,0,2,4,2,0,0,4,2,3,2,4,19045.337587153026,19316.373086345942,0.12386535714285621,2020-11-04,Italy,,Plan 1
4,3,0,2,4,2,0,0,4,2,3,2,4,18624.66801745312,19316.373086345942,0.12386535714285621,2020-11-05,Italy,,Plan 1
5,3,0,2,4,2,0,0,4,2,3,2,4,18234.155888463323,19316.373086345942,0.12386535714285621,2020-11-06,Italy,,Plan 1
6,3,0,2,4,2,0,0,4,2,3,2,4,17857.877383618135,19316.373086345942,0.12386535714285621,2020-11-07,Italy,,Plan 1
7,3,0,2,4,2,0,0,4,2,3,2,4,17490.51671315835,18723.107355430915,0.12386535714285621,2020-11-08,Italy,,Plan 1
8,3,0,2,4,2,0,0,4,2,3,2,4,17130.276241089585,18275.270795698572,0.12386535714285621,2020-11-09,Italy,,Plan 1
9,3,0,2,4,2,0,0,4,2,3,2,4,16776.5243600646,17879.908027285735,0.12386535714285621,2020-11-10,Italy,,Plan 1
10,3,0,2,4,2,0,0,4,2,3,2,4,16429.014977697952,17506.14765450644,0.12386535714285621,2020-11-11,Italy,,Plan 1
11,3,0,2,4,2,0,0,4,2,3,2,4,16087.628485011852,17143.713435586254,0.12386535714285621,2020-11-12,Italy,,Plan 1
12,3,0,2,4,2,0,0,4,2,3,2,4,15752.286115958914,16789.16061094277,0.12386535714285621,2020-11-13,Italy,,Plan 1
13,3,0,2,4,2,0,0,4,2,3,2,4,15422.921317266333,16441.309744321083,0.12386535714285621,2020-11-14,Italy,,Plan 1
14,3,0,2,4,2,1,0,4,2,3,2,4,15050.23389308892,16092.697912882593,0.14124630952380854,2020-11-15,Italy,,Plan 1
15,3,0,2,4,2,1,0,4,2,3,2,4,14657.132434879624,15739.3916548526,0.14124630952380854,2020-11-16,Italy,,Plan 1
16,3,0,2,4,2,1,0,4,2,3,2,4,14254.541095062761,15379.10833128091,0.14124630952380854,2020-11-17,Italy,,Plan 1
17,3,0,2,4,2,1,0,4,2,3,2,4,13848.632666322203,15010.48228679866,0.14124630952380854,2020-11-18,Italy,,Plan 1
18,3,0,2,4,2,1,0,4,2,3,2,4,13443.38478362113,14632.733186599984,0.14124630952380854,2020-11-19,Italy,,Plan 1
19,3,0,2,4,2,1,0,4,2,3,2,4,13041.563118791903,14245.487044147552,0.14124630952380854,2020-11-20,Italy,,Plan 1
20,3,0,2,4,2,1,0,4,2,3,2,4,12645.155657523064,13848.663378469942,0.14124630952380854,2020-11-21,Italy,,Plan 1
21,3,0,2,1,2,0,0,0,2,3,2,4,12701.626768763897,13513.14807499494,0.06357517857142801,2020-11-22,Italy,,Plan 1
22,3,0,2,1,2,0,0,0,2,3,2,4,13048.502053355809,13283.343734777252,0.06357517857142801,2020-11-23,Italy,,Plan 1
23,3,0,2,1,2,0,0,0,2,3,2,4,13598.69573261378,13189.651540141685,0.06357517857142801,2020-11-24,Italy,,Plan 1
24,3,0,2,1,2,0,0,0,2,3,2,4,14318.952181618844,13256.840042326918,0.06357517857142801,2020-11-25,Italy,,Plan 1
25,3,0,2,1,2,0,0,0,2,3,2,4,15196.813123638442,13507.329805186533,0.06357517857142801,2020-11-26,Italy,,Plan 1
26,3,0,2,1,2,0,0,0,2,3,2,4,16228.85793645549,13962.657636281332,0.06357517857142801,2020-11-27,Italy,,Plan 1
27,3,0,2,1,2,0,0,0,2,3,2,4,17416.43911092416,14644.269558195776,0.06357517857142801,2020-11-28,Italy,,Plan 1
28,3,0,2,4,2,0,0,0,2,3,2,4,18686.00762771585,15499.181109474624,0.0743296428571422,2020-11-29,Italy,,Plan 1
29,3,0,2,4,2,0,0,0,2,3,2,4,20020.751525162195,16495.21674830411,0.0743296428571422,2020-11-30,Italy,,Plan 1
30,3,0,2,4,2,0,0,0,2,3,2,4,21439.628841557635,17615.350049581804,0.0743296428571422,2020-12-01,Italy,,Plan 1
31,3,0,2,4,2,0,0,0,2,3,2,4,22952.718278948305,18848.745206343156,0.0743296428571422,2020-12-02,Italy,,Plan 1
32,3,0,2,4,2,0,0,0,2,3,2,4,24567.541444225055,20187.42068071267,0.0743296428571422,2020-12-03,Italy,,Plan 1
33,3,0,2,4,2,0,0,0,2,3,2,4,26291.044103168966,21624.87584738602,0.0743296428571422,2020-12-04,Italy,,Plan 1
34,3,0,2,4,2,0,0,0,2,3,2,4,28130.219339758445,23155.415880076638,0.0743296428571422,2020-12-05,Italy,,Plan 1
35,3,0,2,4,2,0,0,4,2,3,2,4,29404.1024806296,24686.572287635743,0.12386535714285621,2020-12-06,Italy,,Plan 1
36,3,0,2,4,2,0,0,4,2,3,2,4,30271.668634138467,26150.9890174895,0.12386535714285621,2020-12-07,Italy,,Plan 1
37,3,0,2,4,2,0,0,4,2,3,2,4,30823.53807978407,27491.547480093268,0.12386535714285621,2020-12-08,Italy,,Plan 1
38,3,0,2,4,2,0,0,4,2,3,2,4,31119.12640465825,28658.17721233755,0.12386535714285621,2020-12-09,Italy,,Plan 1
39,3,0,2,4,2,0,0,4,2,3,2,4,31205.794296615106,29606.499048393274,0.12386535714285621,2020-12-10,Italy,,Plan 1
40,3,0,2,4,2,0,0,4,2,3,2,4,31123.678411640343,30296.8753781749,0.12386535714285621,2020-12-11,Italy,,Plan 1
41,3,0,2,4,2,0,0,4,2,3,2,4,30906.93552887106,30693.5491194767,0.12386535714285621,2020-12-12,Italy,,Plan 1
42,3,0,2,4,2,0,0,4,2,3,2,4,30584.286203650692,30862.146794194,0.12386535714285621,2020-12-13,Italy,,Plan 1
43,3,0,2,4,2,0,0,4,2,3,2,4,30179.53758843453,30848.98521623629,0.12386535714285621,2020-12-14,Italy,,Plan 1
44,3,0,2,4,2,0,0,4,2,3,2,4,29712.174915998705,30690.219049981242,0.12386535714285621,2020-12-15,Italy,,Plan 1
45,3,0,2,4,2,0,0,4,2,3,2,4,29197.97938511209,30415.769475760364,0.12386535714285621,2020-12-16,Italy,,Plan 1
46,3,0,2,4,2,0,0,4,2,3,2,4,28649.624094472514,30050.602304025702,0.12386535714285621,2020-12-17,Italy,,Plan 1
47,3,0,2,4,2,0,0,4,2,3,2,4,28077.214860498876,29615.393225291213,0.12386535714285621,2020-12-18,Italy,,Plan 1
48,3,0,2,4,2,0,0,4,2,3,2,4,27488.7646371182,29127.083097897943,0.12386535714285621,2020-12-19,Italy,,Plan 1
49,3,0,2,4,2,0,0,0,2,3,2,4,27605.860895159552,28701.593768113496,0.0743296428571422,2020-12-20,Italy,,Plan 1
50,3,0,2,4,2,0,0,0,2,3,2,4,28148.737718985583,28411.47950104936,0.0743296428571422,2020-12-21,Italy,,Plan 1
51,3,0,2,4,2,0,0,0,2,3,2,4,28989.72313189035,28308.272103319596,0.0743296428571422,2020-12-22,Italy,,Plan 1
52,3,0,2,4,2,0,0,0,2,3,2,4,30072.259527006016,28433.1692664473,0.0743296428571422,2020-12-23,Italy,,Plan 1
53,3,0,2,4,2,0,0,0,2,3,2,4,31367.949603412268,28821.501482010124,0.0743296428571422,2020-12-24,Italy,,Plan 1
54,3,0,2,4,2,0,0,0,2,3,2,4,32860.90622262636,29504.88596231405,0.0743296428571422,2020-12-25,Italy,,Plan 1
55,3,0,2,4,2,0,0,0,2,3,2,4,34541.79734878958,30512.462063981387,0.0743296428571422,2020-12-26,Italy,,Plan 1
56,3,0,2,4,2,0,0,0,2,3,2,4,36405.34321298143,31769.53096652737,0.0743296428571422,2020-12-27,Italy,,Plan 1
57,3,0,2,4,2,0,0,0,2,3,2,4,38449.0938269987,33241.01041052924,0.0743296428571422,2020-12-28,Italy,,Plan 1
58,3,0,2,4,2,0,0,0,2,3,2,4,40672.72633522709,34910.010868148776,0.0743296428571422,2020-12-29,Italy,,Plan 1
59,3,0,2,4,2,0,0,0,2,3,2,4,43077.58500047991,36767.914507216476,0.0743296428571422,2020-12-30,Italy,,Plan 1
60,3,0,2,4,2,0,0,0,2,3,2,4,45666.35239001476,38810.543476731116,0.0743296428571422,2020-12-31,Italy,,Plan 1
61,3,3,2,4,2,3,2,4,2,3,2,4,19313.45054010513,12676.948061631914,0.4745260714285701,2020-11-01,Italy,,Plan 2
62,3,3,2,4,2,3,2,4,2,3,2,4,16015.940556629559,12676.948061631914,0.4745260714285701,2020-11-02,Italy,,Plan 2
63,3,3,2,4,2,3,2,4,2,3,2,4,13733.280564690975,12676.948061631914,0.4745260714285701,2020-11-03,Italy,,Plan 2
64,3,3,2,4,2,3,2,4,2,3,2,4,11950.539150074377,12676.948061631914,0.4745260714285701,2020-11-04,Italy,,Plan 2
65,3,3,2,4,2,3,2,4,2,3,2,4,10464.378008341033,12676.948061631914,0.4745260714285701,2020-11-05,Italy,,Plan 2
66,3,3,2,4,2,3,2,4,2,3,2,4,9186.938565297065,12676.948061631914,0.4745260714285701,2020-11-06,Italy,,Plan 2
