C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
2,0,2,0,2,0,0,4,2,3,2,0,23556.530127747956,26659.706404614742,1.1075871137409594,2020-11-01,Italy,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,23978.432781878244,26659.706404614742,1.1075871137409594,2020-11-02,Italy,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,25023.313552019717,26659.706404614742,1.1075871137409594,2020-11-03,Italy,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,26309.648044586364,26659.706404614742,1.1075871137409594,2020-11-04,Italy,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,27720.774438024902,26659.706404614742,1.1075871137409594,2020-11-05,Italy,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,29222.56954922672,26659.706404614742,1.1075871137409594,2020-11-06,Italy,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,30806.676338819278,26659.706404614742,1.1075871137409594,2020-11-07,Italy,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,32472.817656404684,27933.461765851414,1.1075871137409594,2020-11-08,Italy,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,34223.284084415194,29397.01195192812,1.1075871137409594,2020-11-09,Italy,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,36061.21166503877,30973.854539502274,1.1075871137409594,2020-11-10,Italy,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,37990.03844932573,32642.481740179326,1.1075871137409594,2020-11-11,Italy,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,40013.32855811066,34398.560900191565,1.1075871137409594,2020-11-12,Italy,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,42134.70853402614,36243.15218373435,1.1075871137409594,2020-11-13,Italy,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,44357.83767976821,38179.032375298484,1.1075871137409594,2020-11-14,Italy,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,46312.309308793694,40156.10261135405,1.2899506903353049,2020-11-15,Italy,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,48111.29375321166,42140.1039926107,1.2899506903353049,2020-11-16,Italy,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,49802.527266252575,44103.149078498376,1.2899506903353049,2020-11-17,Italy,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,51411.751071371866,46020.536595933554,1.2899506903353049,2020-11-18,Italy,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,52956.1472634045,47869.5106966898,1.2899506903353049,2020-11-19,Italy,,Plan 1
