C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,4,2,3,2,4,21643.37682956356,19316.373086345946,0.1238653571428562,2020-11-01,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,20265.132159215973,19316.373086345946,0.1238653571428562,2020-11-02,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,19544.063738954457,19316.373086345946,0.1238653571428562,2020-11-03,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,19045.337587153026,19316.373086345946,0.1238653571428562,2020-11-04,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,18624.668017453117,19316.373086345946,0.1238653571428562,2020-11-05,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,18234.155888463327,19316.373086345946,0.1238653571428562,2020-11-06,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,17857.87738361814,19316.373086345946,0.1238653571428562,2020-11-07,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,17490.51671315835,18723.107355430915,0.1238653571428562,2020-11-08,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,17130.276241089585,18275.27079569857,0.1238653571428562,2020-11-09,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,16776.5243600646,17879.908027285735,0.1238653571428562,2020-11-10,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,16429.014977697952,17506.14765450644,0.1238653571428562,2020-11-11,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,16087.628485011854,17143.713435586254,0.1238653571428562,2020-11-12,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,15752.286115958914,16789.16061094277,0.1238653571428562,2020-11-13,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,15422.921317266333,16441.309744321083,0.1238653571428562,2020-11-14,Italy,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,15424.668112685933,16146.188515682166,0.08671357142857071,2020-11-15,Italy,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,15614.099853204807,15929.591888841484,0.08671357142857071,2020-11-16,Italy,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,15931.623201071565,15808.89172327105,0.08671357142857071,2020-11-17,Italy,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,16349.214312215548,15797.49162820214,0.08671357142857071,2020-11-18,Italy,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,16851.500710234664,15906.616231805396,0.08671357142857071,2020-11-19,Italy,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,17428.849285199234,16146.125255982583,0.08671357142857071,2020-11-20,Italy,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,18074.703110361945,16524.951226424808,0.08671357142857071,2020-11-21,Italy,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,18784.433696600896,17004.917738412663,0.08671357142857071,2020-11-22,Italy,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,19554.762796021,17567.869587386405,0.08671357142857071,2020-11-23,Italy,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,20383.42256349715,18203.840924875778,0.08671357142857071,2020-11-24,Italy,,Plan 1
