,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,3,2,2,2,0,1,4,2,3,2,1,20923.292589448294,17021.295754571856,44.01,2020-11-01,Italy,,Plan 1
1,3,3,2,2,2,0,1,4,2,3,2,1,18919.700048030558,17021.295754571856,44.01,2020-11-02,Italy,,Plan 1
2,3,3,2,2,2,0,1,4,2,3,2,1,17648.981709490312,17021.295754571856,44.01,2020-11-03,Italy,,Plan 1
3,3,3,2,2,2,0,1,4,2,3,2,1,16656.667986174503,17021.295754571856,44.01,2020-11-04,Italy,,Plan 1
4,3,3,2,2,2,0,1,4,2,3,2,1,15786.566082596437,17021.295754571856,44.01,2020-11-05,Italy,,Plan 1
5,3,3,2,2,2,0,1,4,2,3,2,1,14984.172839840458,17021.295754571856,44.01,2020-11-06,Italy,,Plan 1
6,3,3,2,2,2,0,1,4,2,3,2,1,14229.68902642243,17021.295754571856,44.01,2020-11-07,Italy,,Plan 1
7,2,0,2,2,1,0,0,4,2,3,2,0,13986.052732122229,16030.261489239561,24.0,2020-11-08,Italy,,Plan 1
8,2,0,2,2,1,0,0,4,2,3,2,0,13987.789406657486,15325.702826186267,24.0,2020-11-09,Italy,,Plan 1
9,2,0,2,2,1,0,0,4,2,3,2,0,14133.84435416019,14823.540346853391,24.0,2020-11-10,Italy,,Plan 1
10,2,0,2,2,1,0,0,4,2,3,2,0,14381.571433781315,14498.526553654363,24.0,2020-11-11,Italy,,Plan 1
11,2,0,2,2,1,0,0,4,2,3,2,0,14709.655340705618,14344.682161955674,24.0,2020-11-12,Italy,,Plan 1
12,2,0,2,2,1,0,0,4,2,3,2,0,15105.415255728301,14362.002507082509,24.0,2020-11-13,Italy,,Plan 1
13,2,0,2,2,1,0,0,4,2,3,2,0,15560.329117628458,14552.09394868337,24.0,2020-11-14,Italy,,Plan 1
14,1,0,2,2,1,0,0,4,2,3,2,0,16190.550952666965,14867.022265904048,19.0,2020-11-15,Italy,,Plan 1
15,1,0,2,2,1,0,0,4,2,3,2,0,16962.702538437654,15292.009856158356,19.0,2020-11-16,Italy,,Plan 1
16,1,0,2,2,1,0,0,4,2,3,2,0,17856.784618084494,15823.8584652904,19.0,2020-11-17,Italy,,Plan 1
17,1,0,2,2,1,0,0,4,2,3,2,0,18865.220469215914,16464.37975606677,19.0,2020-11-18,Italy,,Plan 1
18,1,0,2,2,1,0,0,4,2,3,2,0,19985.57099330687,17218.081992152664,19.0,2020-11-19,Italy,,Plan 1
19,1,0,2,2,1,0,0,4,2,3,2,0,21217.96632737248,18091.30357381612,19.0,2020-11-20,Italy,,Plan 1
20,1,0,2,2,1,0,0,4,2,3,2,0,22564.125517309545,19091.845916627703,19.0,2020-11-21,Italy,,Plan 1
21,2,0,2,2,0,0,0,4,2,3,2,0,23896.535049128994,20192.70078755085,23.0,2020-11-22,Italy,,Plan 1
22,2,0,2,2,0,0,0,4,2,3,2,0,25234.709853809414,21374.416118318244,23.0,2020-11-23,Italy,,Plan 1
23,2,0,2,2,0,0,0,4,2,3,2,0,26597.00196724903,22623.018596770322,23.0,2020-11-24,Italy,,Plan 1
24,2,0,2,2,0,0,0,4,2,3,2,0,27992.622883080887,23926.93322732246,23.0,2020-11-25,Italy,,Plan 1
25,2,0,2,2,0,0,0,4,2,3,2,0,29427.672096490183,25275.804813491504,23.0,2020-11-26,Italy,,Plan 1
26,2,0,2,2,0,0,0,4,2,3,2,0,30907.030509908775,26659.95683956812,23.0,2020-11-27,Italy,,Plan 1
27,2,0,2,2,0,0,0,4,2,3,2,0,32434.976371549565,28070.078390173836,23.0,2020-11-28,Italy,,Plan 1
28,3,0,2,2,2,0,0,4,2,3,2,0,33648.04954832373,29463.151890058798,30.0,2020-11-29,Italy,,Plan 1
29,3,0,2,2,2,0,0,4,2,3,2,0,34656.6417999932,30809.142168085054,30.0,2020-11-30,Italy,,Plan 1
30,3,0,2,2,2,0,0,4,2,3,2,0,35510.858055599274,32082.550180706516,30.0,2020-12-01,Italy,,Plan 1
31,3,0,2,2,2,0,0,4,2,3,2,0,36240.56422807872,33260.82751570621,30.0,2020-12-02,Italy,,Plan 1
32,3,0,2,2,2,0,0,4,2,3,2,0,36867.449682161365,34323.6528850878,30.0,2020-12-03,Italy,,Plan 1
33,3,0,2,2,2,0,0,4,2,3,2,0,37408.80530785588,35252.47785622311,30.0,2020-12-04,Italy,,Plan 1
34,3,0,2,2,2,0,0,4,2,3,2,0,37878.857951831604,36030.17522483483,30.0,2020-12-05,Italy,,Plan 1
35,2,0,2,2,0,0,0,4,2,3,2,0,38725.6940958574,36755.55301733963,23.0,2020-12-06,Italy,,Plan 1
36,2,0,2,2,0,0,0,4,2,3,2,0,39803.104384357976,37490.76195796317,23.0,2020-12-07,Italy,,Plan 1
37,2,0,2,2,0,0,0,4,2,3,2,0,41052.29798417937,38282.39623347462,23.0,2020-12-08,Italy,,Plan 1
38,2,0,2,2,0,0,0,4,2,3,2,0,42445.691023489155,39168.84291853325,23.0,2020-12-09,Italy,,Plan 1
39,2,0,2,2,0,0,0,4,2,3,2,0,43967.761348191765,40183.173156537596,23.0,2020-12-10,Italy,,Plan 1
40,2,0,2,2,0,0,0,4,2,3,2,0,45608.35871835949,41354.53792946668,23.0,2020-12-11,Italy,,Plan 1
41,2,0,2,2,0,0,0,4,2,3,2,0,47360.20744005266,42709.01642778398,23.0,2020-12-12,Italy,,Plan 1
42,2,0,1,0,2,0,0,4,2,3,2,0,49636.497896261135,44267.702684984506,16.5,2020-12-13,Italy,,Plan 1
43,2,0,1,0,2,0,0,4,2,3,2,0,52407.9935915249,46068.40114315121,16.5,2020-12-14,Italy,,Plan 1
44,2,0,1,0,2,0,0,4,2,3,2,0,55606.12232071068,48147.51890551283,16.5,2020-12-15,Italy,,Plan 1
45,2,0,1,0,2,0,0,4,2,3,2,0,59209.402262487194,50542.334796798255,16.5,2020-12-16,Italy,,Plan 1
46,2,0,1,0,2,0,0,4,2,3,2,0,63214.41769938086,53291.85713268242,16.5,2020-12-17,Italy,,Plan 1
47,2,0,1,0,2,0,0,4,2,3,2,0,67625.88704641115,56437.21832240408,16.5,2020-12-18,Italy,,Plan 1
48,2,0,1,0,2,0,0,4,2,3,2,0,72453.02108753337,60021.9059863299,16.5,2020-12-19,Italy,,Plan 1
49,3,0,2,2,2,0,0,4,2,3,2,0,76311.2298200997,63832.58197544969,30.0,2020-12-20,Italy,,Plan 1
50,3,0,2,2,2,0,0,4,2,3,2,0,79390.74639942712,67687.26094800716,30.0,2020-12-21,Italy,,Plan 1
51,3,0,2,2,2,0,0,4,2,3,2,0,81877.23546733447,71440.27711181054,30.0,2020-12-22,Italy,,Plan 1
52,3,0,2,2,2,0,0,4,2,3,2,0,83875.67106149212,74964.02979738268,30.0,2020-12-23,Italy,,Plan 1
53,3,0,2,2,2,0,0,4,2,3,2,0,85462.73015312775,78142.36014791796,30.0,2020-12-24,Italy,,Plan 1
54,3,0,2,2,2,0,0,4,2,3,2,0,86701.47821616738,80867.44460074026,30.0,2020-12-25,Italy,,Plan 1
55,3,0,2,2,2,0,0,4,2,3,2,0,87645.54280975628,83037.80484677212,30.0,2020-12-26,Italy,,Plan 1
56,3,0,2,2,2,0,0,4,2,3,2,0,88340.57530255144,84756.28277283665,30.0,2020-12-27,Italy,,Plan 1
57,3,0,2,2,2,0,0,4,2,3,2,0,88825.13810450835,86104.05301641968,30.0,2020-12-28,Italy,,Plan 1
58,3,0,2,2,2,0,0,4,2,3,2,0,89131.5250782907,87140.38010369915,30.0,2020-12-29,Italy,,Plan 1
59,3,0,2,2,2,0,0,4,2,3,2,0,89286.58234715625,87913.36743022258,30.0,2020-12-30,Italy,,Plan 1
60,3,0,2,2,2,0,0,4,2,3,2,0,89312.50951792991,88463.33591090862,30.0,2020-12-31,Italy,,Plan 1
61,3,3,2,4,2,3,2,4,2,3,2,4,19313.45054010513,12676.948061631914,78.00999999999999,2020-11-01,Italy,,Plan 2
62,3,3,2,4,2,3,2,4,2,3,2,4,16015.940556629559,12676.948061631914,78.00999999999999,2020-11-02,Italy,,Plan 2
63,3,3,2,4,2,3,2,4,2,3,2,4,13733.280564690975,12676.948061631914,78.00999999999999,2020-11-03,Italy,,Plan 2
64,3,3,2,4,2,3,2,4,2,3,2,4,11950.539150074377,12676.948061631914,78.00999999999999,2020-11-04,Italy,,Plan 2
65,3,3,2,4,2,3,2,4,2,3,2,4,10464.378008341033,12676.948061631914,78.00999999999999,2020-11-05,Italy,,Plan 2
66,3,3,2,4,2,3,2,4,2,3,2,4,9186.938565297065,12676.948061631914,78.00999999999999,2020-11-06,Italy,,Plan 2
67,3,3,2,4,2,3,2,4,2,3,2,4,8074.109046285252,12676.948061631914,78.00999999999999,2020-11-07,Italy,,Plan 2
68,3,3,2,4,2,3,2,4,2,3,2,4,7099.175029417082,10932.051560105048,78.00999999999999,2020-11-08,Italy,,Plan 2
69,3,3,2,4,2,3,2,4,2,3,2,4,6243.038597099084,9535.922708743552,78.00999999999999,2020-11-09,Italy,,Plan 2
70,3,3,2,4,2,3,2,4,2,3,2,4,5490.4999517418855,8358.382621179397,78.00999999999999,2020-11-10,Italy,,Plan 2
71,3,3,2,4,2,3,2,4,2,3,2,4,4828.768083477093,7340.9867545226425,78.00999999999999,2020-11-11,Italy,,Plan 2
72,3,3,2,4,2,3,2,4,2,3,2,4,4246.799852230093,6452.76130364965,78.00999999999999,2020-11-12,Italy,,Plan 2
73,3,3,2,4,2,3,2,4,2,3,2,4,3734.9551480092314,5673.906529751389,78.00999999999999,2020-11-13,Italy,,Plan 2
74,3,3,2,4,2,3,2,4,2,3,2,4,3284.7795946027773,4989.716608082464,78.00999999999999,2020-11-14,Italy,,Plan 2
75,3,3,2,4,2,3,2,4,2,3,2,4,2888.8446470886297,4388.240839178399,78.00999999999999,2020-11-15,Italy,,Plan 2
76,3,3,2,4,2,3,2,4,2,3,2,4,2540.6182017684196,3859.323639845447,78.00999999999999,2020-11-16,Italy,,Plan 2
77,3,3,2,4,2,3,2,4,2,3,2,4,2234.3547964956174,3394.160046238837,78.00999999999999,2020-11-17,Italy,,Plan 2
78,3,3,2,4,2,3,2,4,2,3,2,4,1965.000421424425,2985.0503802313133,78.00999999999999,2020-11-18,Italy,,Plan 2
79,3,3,2,4,2,3,2,4,2,3,2,4,1728.1092426174898,2625.237436000941,78.00999999999999,2020-11-19,Italy,,Plan 2
80,3,3,2,4,2,3,2,4,2,3,2,4,1519.7704754370436,2308.782482776343,78.00999999999999,2020-11-20,Italy,,Plan 2
81,3,3,2,4,2,3,2,4,2,3,2,4,1336.544076127554,2030.4631229941683,78.00999999999999,2020-11-21,Italy,,Plan 2
82,3,3,2,4,2,3,2,4,2,3,2,4,1175.4041578252982,1785.6859102422638,78.00999999999999,2020-11-22,Italy,,Plan 2
83,3,3,2,4,2,3,2,4,2,3,2,4,1033.689195301072,1570.4103378897858,78.00999999999999,2020-11-23,Italy,,Plan 2
84,3,3,2,4,2,3,2,4,2,3,2,4,909.0582035719685,1381.0822531864073,78.00999999999999,2020-11-24,Italy,,Plan 2
85,3,3,2,4,2,3,2,4,2,3,2,4,799.4521754963345,1214.5753609109656,78.00999999999999,2020-11-25,Italy,,Plan 2
86,3,3,2,4,2,3,2,4,2,3,2,4,703.0601493685724,1068.1397761611204,78.00999999999999,2020-11-26,Italy,,Plan 2
