C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,2,0,0,0,4,2,3,2,0,22652.226760222333,22948.16782488439,28.0,2020-11-01,Italy,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,22198.208176147138,22948.16782488439,28.0,2020-11-02,Italy,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,22351.97676278255,22948.16782488439,28.0,2020-11-03,Italy,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,22704.78710095136,22948.16782488439,28.0,2020-11-04,Italy,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,23125.628018601557,22948.16782488439,28.0,2020-11-05,Italy,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,23572.48504687299,22948.16782488439,28.0,2020-11-06,Italy,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,24031.8629086128,22948.16782488439,28.0,2020-11-07,Italy,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,24499.402472305534,23212.0500694677,28.0,2020-11-08,Italy,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,24973.668024855542,23608.5443335689,28.0,2020-11-09,Italy,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,25454.156371978534,24051.71284916833,28.0,2020-11-10,Italy,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,25940.657785072948,24513.98008975713,28.0,2020-11-11,Italy,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,26433.051292604257,24986.46912890037,28.0,2020-11-12,Italy,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,26931.238913353627,25466.291109826183,28.0,2020-11-13,Italy,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,27435.124181489693,25952.471291665734,28.0,2020-11-14,Italy,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,28135.111655025485,26471.858317768583,24.0,2020-11-15,Italy,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,28962.755596233408,27041.727970822565,24.0,2020-11-16,Italy,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,29889.87713951065,27675.402366184302,24.0,2020-11-17,Italy,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,30902.808029516,28384.280972533306,24.0,2020-11-18,Italy,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,31993.64879928713,29178.65204491657,24.0,2020-11-19,Italy,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,33157.193060861166,30068.074065989083,24.0,2020-11-20,Italy,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,34389.753225525536,31061.592500851337,24.0,2020-11-21,Italy,,Plan 1
