,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,2,4,2,0,0,4,2,3,2,4,11021.017565970447,10458.389838129102,0.12386535714285621,2021-01-29,Italy,,Plan 1
1,3,0,2,4,2,0,0,4,2,3,2,4,10542.823161086822,10458.389838129102,0.12386535714285621,2021-01-30,Italy,,Plan 1
2,3,0,2,4,2,0,0,4,2,3,2,4,10384.93100112685,10458.389838129102,0.12386535714285621,2021-01-31,Italy,,Plan 1
3,3,0,2,4,2,0,0,4,2,3,2,4,10332.561600586683,10458.389838129102,0.12386535714285621,2021-02-01,Italy,,Plan 1
4,3,0,2,4,2,0,0,4,2,3,2,4,10314.741529959503,10458.389838129102,0.12386535714285621,2021-02-02,Italy,,Plan 1
5,3,0,2,4,2,0,0,4,2,3,2,4,10308.016972185656,10458.389838129102,0.12386535714285621,2021-02-03,Italy,,Plan 1
6,3,0,2,4,2,0,0,4,2,3,2,4,10304.637035987747,10458.389838129102,0.12386535714285621,2021-02-04,Italy,,Plan 1
7,3,0,2,2,2,0,0,3,2,3,2,4,10441.978482451379,10375.669969054949,0.1043117857142849,2021-02-05,Italy,,Plan 1
8,3,0,2,2,2,0,0,3,2,3,2,4,10690.854246817198,10396.817267016431,0.1043117857142849,2021-02-06,Italy,,Plan 1
9,3,0,2,2,2,0,0,3,2,3,2,4,11011.42330991287,10486.316168271576,0.1043117857142849,2021-02-07,Italy,,Plan 1
10,3,0,2,2,2,0,0,3,2,3,2,4,11387.423292299038,10637.010695659057,0.1043117857142849,2021-02-08,Italy,,Plan 1
11,3,0,2,2,2,0,0,3,2,3,2,4,11811.108753746736,10850.777441914377,0.1043117857142849,2021-02-09,Italy,,Plan 1
12,3,0,2,2,2,0,0,3,2,3,2,4,12278.1827244123,11132.229692232466,0.1043117857142849,2021-02-10,Italy,,Plan 1
13,3,0,2,2,2,0,0,3,2,3,2,4,12786.013347338683,11486.712022425458,0.1043117857142849,2021-02-11,Italy,,Plan 1
14,3,0,2,4,2,0,0,3,2,3,2,4,13274.230203053721,11891.319411082935,0.1114814285714277,2021-02-12,Italy,,Plan 1
15,3,0,2,4,2,0,0,3,2,3,2,4,13742.294058024125,12327.239384112498,0.1114814285714277,2021-02-13,Italy,,Plan 1
16,3,0,2,4,2,0,0,3,2,3,2,4,14202.154441295024,12783.05811716709,0.1114814285714277,2021-02-14,Italy,,Plan 1
17,3,0,2,4,2,0,0,3,2,3,2,4,14659.243650398632,13250.46102546703,0.1114814285714277,2021-02-15,Italy,,Plan 1
18,3,0,2,4,2,0,0,3,2,3,2,4,15116.645833785582,13722.680608329723,0.1114814285714277,2021-02-16,Italy,,Plan 1
19,3,0,2,4,2,0,0,3,2,3,2,4,15576.478288636665,14193.865688933205,0.1114814285714277,2021-02-17,Italy,,Plan 1
20,3,0,2,4,2,0,0,3,2,3,2,4,16040.371586061125,14658.774008750695,0.1114814285714277,2021-02-18,Italy,,Plan 1
21,3,0,2,4,2,0,0,4,2,3,2,4,16410.437166761498,15106.803574994663,0.12386535714285621,2021-02-19,Italy,,Plan 1
22,3,0,2,4,2,0,0,4,2,3,2,4,16691.48663026834,15528.116799600979,0.12386535714285621,2021-02-20,Italy,,Plan 1
23,3,0,2,4,2,0,0,4,2,3,2,4,16909.159889301598,15914.831863601921,0.12386535714285621,2021-02-21,Italy,,Plan 1
24,3,0,2,4,2,0,0,4,2,3,2,4,17077.87368601446,16260.350440118467,0.12386535714285621,2021-02-22,Italy,,Plan 1
25,3,0,2,4,2,0,0,4,2,3,2,4,17207.42150228195,16559.03267847509,0.12386535714285621,2021-02-23,Italy,,Plan 1
26,3,0,2,4,2,0,0,4,2,3,2,4,17305.21689351531,16805.9953363149,0.12386535714285621,2021-02-24,Italy,,Plan 1
