C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,4,2,3,2,4,11021.01756597045,10458.389838129102,0.1238653571428562,2021-01-29,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10542.823161086822,10458.389838129102,0.1238653571428562,2021-01-30,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10384.93100112685,10458.389838129102,0.1238653571428562,2021-01-31,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10332.561600586683,10458.389838129102,0.1238653571428562,2021-02-01,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10314.741529959503,10458.389838129102,0.1238653571428562,2021-02-02,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10308.016972185656,10458.389838129102,0.1238653571428562,2021-02-03,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10304.637035987747,10458.389838129102,0.1238653571428562,2021-02-04,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10302.040409129862,10355.678815723304,0.1238653571428562,2021-02-05,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10299.380768048346,10320.90133100352,0.1238653571428562,2021-02-06,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10296.378781897414,10308.251013970745,0.1238653571428562,2021-02-07,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10292.942519572976,10302.5911452545,0.1238653571428562,2021-02-08,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10289.042058703362,10298.919792217908,0.1238653571428562,2021-02-09,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10284.668061452345,10295.584233541722,0.1238653571428562,2021-02-10,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10279.81801791572,10292.038659531432,0.1238653571428562,2021-02-11,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10274.491747116366,10288.103136386648,0.1238653571428562,2021-02-12,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10268.689895243657,10283.718725985977,0.1238653571428562,2021-02-13,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10262.413441048708,10278.866534436162,0.1238653571428562,2021-02-14,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10255.66353159957,10273.540964725677,0.1238653571428562,2021-02-15,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10248.441427778747,10267.740874593586,0.1238653571428562,2021-02-16,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10240.748485593447,10261.466649470887,0.1238653571428562,2021-02-17,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10232.586149645986,10254.719239718068,0.1238653571428562,2021-02-18,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10223.955950585703,10247.499840213688,0.1238653571428562,2021-02-19,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10214.85950385223,10239.809784300627,0.1238653571428562,2021-02-20,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10205.298508822718,10231.650508268343,0.1238653571428562,2021-02-21,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10195.274748071772,10223.023539192944,0.1238653571428562,2021-02-22,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10184.790086647525,10213.930490459912,0.1238653571428562,2021-02-23,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10173.8464713143,10204.373059848604,0.1238653571428562,2021-02-24,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10162.44592979072,10194.353028440712,0.1238653571428562,2021-02-25,Italy,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,10567.36688190183,10243.41173291444,0.0505394642857138,2021-02-26,Italy,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,11338.883706955638,10403.986619072071,0.0505394642857138,2021-02-27,Italy,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,12402.130535472354,10717.819765736303,0.0505394642857138,2021-02-28,Italy,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,13750.451094848897,11225.70210099018,0.0505394642857138,2021-03-01,Italy,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,15404.507218614644,11971.37597698548,0.0505394642857138,2021-03-02,Italy,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,17399.22950112968,13003.573552673392,0.0505394642857138,2021-03-03,Italy,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,19780.127626384798,14377.528080758262,0.0505394642857138,2021-03-04,Italy,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,22602.72856012579,16096.865463361684,0.0505394642857138,2021-03-05,Italy,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,25933.13964266684,18181.75916846329,0.0505394642857138,2021-03-06,Italy,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,29849.113957576094,20674.185371620963,0.0505394642857138,2021-03-07,Italy,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,34441.421724696345,23630.038318742027,0.0505394642857138,2021-03-08,Italy,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,39815.46396033659,27117.31785327373,0.0505394642857138,2021-03-09,Italy,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,46093.09934417003,31216.44211656521,0.0505394642857138,2021-03-10,Italy,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,53414.65894027476,36021.375161406635,0.0505394642857138,2021-03-11,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,60360.08344134472,41415.28300158076,0.1238653571428562,2021-03-12,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,66318.11161283197,47184.56471160436,0.1238653571428562,2021-03-13,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,71398.48289029987,53120.18884485061,0.1238653571428562,2021-03-14,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,75654.25573277389,59007.736560290265,0.1238653571428562,2021-03-15,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,79145.08476807905,64626.25381853919,0.1238653571428562,2021-03-16,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,81944.36881835751,69747.86374342312,0.1238653571428562,2021-03-17,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,84133.20938149888,74136.22809216942,0.1238653571428562,2021-03-18,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,85793.37923964638,77769.55606335537,0.1238653571428562,2021-03-19,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,87002.25232485616,80724.43330793026,0.1238653571428562,2021-03-20,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,87829.8999321778,83071.7785996271,0.1238653571428562,2021-03-21,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,88337.86060474756,84883.72215276619,0.1238653571428562,2021-03-22,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,88578.99911169248,86231.42420185384,0.1238653571428562,2021-03-23,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,88598.01750405873,87181.94544266828,0.1238653571428562,2021-03-24,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,88432.28692988523,87796.09937815205,0.1238653571428562,2021-03-25,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,88112.80228994413,88127.44552819457,0.1238653571428562,2021-03-26,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,87665.13056501378,88222.14241964566,0.1238653571428562,2021-03-27,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,87110.29239837057,88119.3413433875,0.1238653571428562,2021-03-28,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,86465.54445287568,87851.8676074058,0.1238653571428562,2021-03-29,Italy,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,85745.05467062294,87447.01840153872,0.1238653571428562,2021-03-30,Italy,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,10835.235779873266,9850.607959845269,0.1412463095238085,2021-01-29,Italy,,Plan 2
3,0,2,4,2,1,0,4,2,3,2,4,10201.304056623192,9850.607959845269,0.1412463095238085,2021-01-30,Italy,,Plan 2
3,0,2,4,2,1,0,4,2,3,2,4,9901.913111005852,9850.607959845269,0.1412463095238085,2021-01-31,Italy,,Plan 2
3,0,2,4,2,1,0,4,2,3,2,4,9715.009185363846,9850.607959845269,0.1412463095238085,2021-02-01,Italy,,Plan 2
3,0,2,4,2,1,0,4,2,3,2,4,9566.530069750908,9850.607959845269,0.1412463095238085,2021-02-02,Italy,,Plan 2
3,0,2,4,2,1,0,4,2,3,2,4,9431.77169387208,9850.607959845269,0.1412463095238085,2021-02-03,Italy,,Plan 2
3,0,2,4,2,1,0,4,2,3,2,4,9302.491822427724,9850.607959845269,0.1412463095238085,2021-02-04,Italy,,Plan 2
3,0,2,4,2,1,0,4,2,3,2,4,9175.93898801068,9613.565561007754,0.1412463095238085,2021-02-05,Italy,,Plan 2
3,0,2,4,2,1,0,4,2,3,2,4,9051.192887083247,9449.26396535919,0.1412463095238085,2021-02-06,Italy,,Plan 2
3,0,2,4,2,1,0,4,2,3,2,4,8927.943855663209,9310.125500310243,0.1412463095238085,2021-02-07,Italy,,Plan 2
3,0,2,4,2,1,0,4,2,3,2,4,8806.085724950955,9180.27929167983,0.1412463095238085,2021-02-08,Italy,,Plan 2
3,0,2,4,2,1,0,4,2,3,2,4,8685.579941197942,9054.42927331512,0.1412463095238085,2021-02-09,Italy,,Plan 2
