C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,1,2,2,1,0,0,4,2,3,2,0,11351.515901071767,11601.275912742014,32.67,2021-01-29,Italy,,Plan 1
3,1,2,2,1,0,0,4,2,3,2,0,11155.880759967891,11601.275912742014,32.67,2021-01-30,Italy,,Plan 1
3,1,2,2,1,0,0,4,2,3,2,0,11263.962482985064,11601.275912742014,32.67,2021-01-31,Italy,,Plan 1
3,1,2,2,1,0,0,4,2,3,2,0,11474.432035242951,11601.275912742014,32.67,2021-02-01,Italy,,Plan 1
3,1,2,2,1,0,0,4,2,3,2,0,11721.80011916144,11601.275912742014,32.67,2021-02-02,Italy,,Plan 1
3,1,2,2,1,0,0,4,2,3,2,0,11984.79596270297,11601.275912742014,32.67,2021-02-03,Italy,,Plan 1
3,1,2,2,1,0,0,4,2,3,2,0,12256.54412806202,11601.275912742014,32.67,2021-02-04,Italy,,Plan 1
3,1,2,2,1,0,0,4,2,3,2,0,12534.855146519654,11770.324376377426,32.67,2021-02-05,Italy,,Plan 1
3,1,2,2,1,0,0,4,2,3,2,0,12819.064441390901,12007.922045152143,32.67,2021-02-06,Italy,,Plan 1
3,1,2,2,1,0,0,4,2,3,2,0,13109.003388539562,12271.499317374211,32.67,2021-02-07,Italy,,Plan 1
3,1,2,2,1,0,0,4,2,3,2,0,13404.664032639568,12547.246745573733,32.67,2021-02-08,Italy,,Plan 1
3,1,2,2,1,0,0,4,2,3,2,0,13706.089905435176,12830.716715041406,32.67,2021-02-09,Italy,,Plan 1
3,1,2,2,1,0,0,4,2,3,2,0,14013.340379508209,13120.508774585014,32.67,2021-02-10,Italy,,Plan 1
3,1,2,2,1,0,0,4,2,3,2,0,14326.478844986104,13416.213734145596,32.67,2021-02-11,Italy,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,14822.739602221469,13743.054370674428,24.0,2021-02-12,Italy,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,15490.699346439373,14124.716499967062,24.0,2021-02-13,Italy,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,16292.392965017032,14579.486439463848,24.0,2021-02-14,Italy,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,17213.946388418888,15123.669633146608,24.0,2021-02-15,Italy,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,18250.65493218153,15772.893208396084,24.0,2021-02-16,Italy,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,19401.84076411061,16542.678977625,24.0,2021-02-17,Italy,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,20669.00144260547,17448.75363442777,24.0,2021-02-18,Italy,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,22055.082560985866,18481.945485679826,24.0,2021-02-19,Italy,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,23564.14830859692,19635.29533741661,24.0,2021-02-20,Italy,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,25201.20741107917,20907.98311542549,24.0,2021-02-21,Italy,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,26972.10654969553,22302.00599560788,24.0,2021-02-22,Italy,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,28883.458799119853,23820.977976599057,24.0,2021-02-23,Italy,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,30942.59229478161,25469.656766694916,24.0,2021-02-24,Italy,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,33157.51132812652,27253.72960748364,24.0,2021-02-25,Italy,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,35301.59245370553,29146.08816358645,29.0,2021-02-26,Italy,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,37354.19242638634,31116.094466127797,29.0,2021-02-27,Italy,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,39359.275342562636,33138.67559919686,29.0,2021-02-28,Italy,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,41338.64978835922,35191.038919005965,29.0,2021-03-01,Italy,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,43306.35265597569,37251.452327128216,29.0,2021-03-02,Italy,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,45273.133625168244,39298.672517183455,29.0,2021-03-03,Italy,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,47247.893193879034,41311.58421229095,29.0,2021-03-04,Italy,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,49238.187393931395,43302.52634660894,29.0,2021-03-05,Italy,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,51250.45248644628,45287.70635518894,29.0,2021-03-06,Italy,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,53290.14398548125,47277.830447034445,29.0,2021-03-07,Italy,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,55361.84643248225,49281.144253337734,29.0,2021-03-08,Italy,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,57469.368913709375,51304.43229015684,29.0,2021-03-09,Italy,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,59615.82904161164,53353.388778220164,29.0,2021-03-10,Italy,,Plan 1
