,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,2,4,2,0,0,4,2,3,2,4,17589.059350294956,17616.799481259055,0.12386535714285621,2020-12-09,Italy,,Plan 1
1,3,0,2,4,2,0,0,4,2,3,2,4,17158.26064094968,17616.799481259055,0.12386535714285621,2020-12-10,Italy,,Plan 1
2,3,0,2,4,2,0,0,4,2,3,2,4,17210.97605945295,17616.799481259055,0.12386535714285621,2020-12-11,Italy,,Plan 1
3,3,0,2,4,2,0,0,4,2,3,2,4,17423.21653405807,17616.799481259055,0.12386535714285621,2020-12-12,Italy,,Plan 1
4,3,0,2,4,2,0,0,4,2,3,2,4,17689.591730565047,17616.799481259055,0.12386535714285621,2020-12-13,Italy,,Plan 1
5,3,0,2,4,2,0,0,4,2,3,2,4,17975.805759754585,17616.799481259055,0.12386535714285621,2020-12-14,Italy,,Plan 1
6,3,0,2,4,2,0,0,4,2,3,2,4,18270.686293738112,17616.799481259055,0.12386535714285621,2020-12-15,Italy,,Plan 1
7,3,0,2,4,2,0,0,4,2,3,2,4,18570.58087121415,17757.01684139037,0.12386535714285621,2020-12-16,Italy,,Plan 1
8,3,0,2,4,2,0,0,4,2,3,2,4,18874.28110555026,18002.162622047596,0.12386535714285621,2020-12-17,Italy,,Plan 1
9,3,0,2,4,2,0,0,4,2,3,2,4,19181.372037122936,18283.647761714736,0.12386535714285621,2020-12-18,Italy,,Plan 1
10,3,0,2,4,2,0,0,4,2,3,2,4,19491.694561074237,18579.144622717045,0.12386535714285621,2020-12-19,Italy,,Plan 1
11,3,0,2,4,2,0,0,4,2,3,2,4,19805.17076456906,18881.370199003337,0.12386535714285621,2020-12-20,Italy,,Plan 1
12,3,0,2,4,2,0,0,4,2,3,2,4,20121.746877897072,19187.933215880832,0.12386535714285621,2020-12-21,Italy,,Plan 1
13,3,0,2,4,2,0,0,4,2,3,2,4,20441.374843093854,19498.031580074512,0.12386535714285621,2020-12-22,Italy,,Plan 1
14,3,0,2,4,2,0,0,4,2,3,2,4,20764.006055473852,19811.37803496875,0.12386535714285621,2020-12-23,Italy,,Plan 1
15,3,0,2,4,2,0,0,4,2,3,2,4,21089.58939691049,20127.850648020212,0.12386535714285621,2020-12-24,Italy,,Plan 1
16,3,0,2,4,2,0,0,4,2,3,2,4,21418.0705213498,20447.379002909765,0.12386535714285621,2020-12-25,Italy,,Plan 1
17,3,0,2,4,2,0,0,4,2,3,2,4,21749.39157212515,20769.90714734561,0.12386535714285621,2020-12-26,Italy,,Plan 1
18,3,0,2,4,2,0,0,4,2,3,2,4,22083.491041808487,21095.38147266553,0.12386535714285621,2020-12-27,Italy,,Plan 1
