C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,1,2,0,0,4,2,3,2,0,18679.333489553566,21785.936473223817,1.4022534516765282,2020-12-09,Italy,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,19222.295415444405,21785.936473223817,1.4022534516765282,2020-12-10,Italy,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,20245.26240063949,21785.936473223817,1.4022534516765282,2020-12-11,Italy,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,21472.351681275013,21785.936473223817,1.4022534516765282,2020-12-12,Italy,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,22819.483444034177,21785.936473223817,1.4022534516765282,2020-12-13,Italy,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,24263.257511839838,21785.936473223817,1.4022534516765282,2020-12-14,Italy,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,25799.571369780235,21785.936473223817,1.4022534516765282,2020-12-15,Italy,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,27430.556603892608,23036.11120384368,1.4022534516765282,2020-12-16,Italy,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,29160.455838294136,24455.84840710793,1.4022534516765282,2020-12-17,Italy,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,30994.319469065536,25991.42798831165,1.4022534516765282,2020-12-18,Italy,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,32937.593004577066,27629.319605926226,1.4022534516765282,2020-12-19,Italy,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,34995.98335565309,29368.819593300355,1.4022534516765282,2020-12-20,Italy,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,37175.41184037182,31213.413068804926,1.4022534516765282,2020-12-21,Italy,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,39481.992793526406,33168.04470076867,1.4022534516765282,2020-12-22,Italy,,Plan 1
