,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,3,2,4,2,2,1,4,2,3,2,2,15731.958125310295,11675.812036013138,58.01,2020-12-09,Italy,,Plan 1
1,3,3,2,4,2,2,1,4,2,3,2,2,13704.732720008802,11675.812036013138,58.01,2020-12-10,Italy,,Plan 1
2,3,3,2,4,2,2,1,4,2,3,2,2,12348.13424343223,11675.812036013138,58.01,2020-12-11,Italy,,Plan 1
3,3,3,2,4,2,2,1,4,2,3,2,2,11279.015378079008,11675.812036013138,58.01,2020-12-12,Italy,,Plan 1
4,3,3,2,4,2,2,1,4,2,3,2,2,10357.768424666985,11675.812036013138,58.01,2020-12-13,Italy,,Plan 1
5,3,3,2,4,2,2,1,4,2,3,2,2,9531.362804007842,11675.812036013138,58.01,2020-12-14,Italy,,Plan 1
6,3,3,2,4,2,2,1,4,2,3,2,2,8777.712556586797,11675.812036013138,58.01,2020-12-15,Italy,,Plan 1
7,3,0,2,2,2,0,0,4,2,3,2,0,8484.939136611483,10640.523609056165,30.0,2020-12-16,Italy,,Plan 1
8,3,0,2,2,2,0,0,4,2,3,2,0,8425.137576728632,9886.29573144471,30.0,2020-12-17,Italy,,Plan 1
9,3,0,2,2,2,0,0,4,2,3,2,0,8490.314697379303,9335.17865343715,30.0,2020-12-18,Italy,,Plan 1
10,3,0,2,2,2,0,0,4,2,3,2,0,8639.16111090894,8958.056615269998,30.0,2020-12-19,Italy,,Plan 1
11,3,0,2,2,2,0,0,4,2,3,2,0,8853.276346418907,8743.129175520271,30.0,2020-12-20,Italy,,Plan 1
12,3,0,2,2,2,0,0,4,2,3,2,0,9122.697923329939,8684.748478280571,30.0,2020-12-21,Italy,,Plan 1
13,3,0,2,2,2,0,0,4,2,3,2,0,9441.12892864577,8779.522245717568,30.0,2020-12-22,Italy,,Plan 1
14,3,0,2,2,0,0,0,4,2,3,2,0,9836.683989056271,8972.62865320968,28.0,2020-12-23,Italy,,Plan 1
15,3,0,2,2,0,0,0,4,2,3,2,0,10304.476945615095,9241.105705907747,28.0,2020-12-24,Italy,,Plan 1
16,3,0,2,2,0,0,0,4,2,3,2,0,10836.508584756504,9576.276261247347,28.0,2020-12-25,Italy,,Plan 1
17,3,0,2,2,0,0,0,4,2,3,2,0,11429.66404967479,9974.919538213897,28.0,2020-12-26,Italy,,Plan 1
18,3,0,2,2,0,0,0,4,2,3,2,0,12082.981446160962,10436.305981034191,28.0,2020-12-27,Italy,,Plan 1
19,3,0,2,2,0,0,0,4,2,3,2,0,12796.662089101656,10961.158004715864,28.0,2020-12-28,Italy,,Plan 1
20,3,0,2,2,0,0,0,4,2,3,2,0,13571.676185834154,11551.236184314203,28.0,2020-12-29,Italy,,Plan 1
21,3,0,2,2,2,0,0,4,2,3,2,0,14366.514833151383,12198.354876327792,30.0,2020-12-30,Italy,,Plan 1
