C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,1,0,4,2,3,2,0,2817.193370524461,3074.0630215429296,1.9452761341222868,2021-05-01,Malaysia,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,2831.844131152688,3074.0630215429296,1.9452761341222868,2021-05-02,Malaysia,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,2920.7674769282416,3074.0630215429296,1.9452761341222868,2021-05-03,Malaysia,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,3036.883775214218,3074.0630215429296,1.9452761341222868,2021-05-04,Malaysia,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,3165.38832310556,3074.0630215429296,1.9452761341222868,2021-05-05,Malaysia,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,3301.732572576886,3074.0630215429296,1.9452761341222868,2021-05-06,Malaysia,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,3444.631501298453,3074.0630215429296,1.9452761341222868,2021-05-07,Malaysia,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,3593.842545583836,3185.012903694269,1.9452761341222868,2021-05-08,Malaysia,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,3749.460337566445,3316.100933181948,1.9452761341222868,2021-05-09,Malaysia,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,3911.6929105402533,3457.6617094122357,1.9452761341222868,2021-05-10,Malaysia,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,4080.7907181536602,3606.7912726892987,1.9452761341222868,2021-05-11,Malaysia,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,4257.024263214758,3762.7392641334704,1.9452761341222868,2021-05-12,Malaysia,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,4440.677152031881,3925.445632627041,1.9452761341222868,2021-05-13,Malaysia,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,4632.044040748226,4095.0759954055798,1.9452761341222868,2021-05-14,Malaysia,,Plan 1
3,0,2,3,2,0,0,4,2,3,2,0,4879.264738927699,4278.707737311845,1.6268589743589734,2021-05-15,Malaysia,,Plan 1
3,0,2,3,2,0,0,4,2,3,2,0,5174.7102087034145,4482.3148617599845,1.6268589743589734,2021-05-16,Malaysia,,Plan 1
3,0,2,3,2,0,0,4,2,3,2,0,5512.24713931207,4710.965465870245,1.6268589743589734,2021-05-17,Malaysia,,Plan 1
3,0,2,3,2,0,0,4,2,3,2,0,5890.549408929771,4969.5024216954025,1.6268589743589734,2021-05-18,Malaysia,,Plan 1
3,0,2,3,2,0,0,4,2,3,2,0,6310.15257510984,5262.806466251844,1.6268589743589734,2021-05-19,Malaysia,,Plan 1
