C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,1,0,4,2,3,2,4,2738.075266569303,2773.7508721137892,0.1412463095238085,2021-05-01,Malaysia,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,2681.191549354856,2773.7508721137892,0.1412463095238085,2021-05-02,Malaysia,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,2699.541293207963,2773.7508721137892,0.1412463095238085,2021-05-03,Malaysia,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,2742.921278530693,2773.7508721137892,0.1412463095238085,2021-05-04,Malaysia,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,2795.1108967008504,2773.7508721137892,0.1412463095238085,2021-05-05,Malaysia,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,2850.8769077086627,2773.7508721137892,0.1412463095238085,2021-05-06,Malaysia,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,2908.5389127241942,2773.7508721137892,0.1412463095238085,2021-05-07,Malaysia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2987.4787164486897,2809.379936382273,0.1238653571428562,2021-05-08,Malaysia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3081.6987163440144,2866.5952459521527,0.1238653571428562,2021-05-09,Malaysia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3186.9777221393074,2936.229021513773,0.1238653571428562,2021-05-10,Malaysia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3301.586039145284,3016.038273030143,0.1238653571428562,2021-05-11,Malaysia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3424.703775576658,3105.980112869544,0.1238653571428562,2021-05-12,Malaysia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3555.890862842426,3206.696392174368,0.1238653571428562,2021-05-13,Malaysia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3694.899577914062,3319.0336300586346,0.1238653571428562,2021-05-14,Malaysia,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,3981.232370957096,3460.998437845549,0.0867135714285707,2021-05-15,Malaysia,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,4393.0559212538565,3648.3351814040975,0.0867135714285707,2021-05-16,Malaysia,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,4919.888048973397,3895.893799523255,0.0867135714285707,2021-05-17,Malaysia,,Plan 1
