C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,3,2,4,2,3,1,4,2,3,2,2,2279.9276029394987,1415.056624094134,62.01,2021-05-01,Malaysia,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,1842.0978469841416,1415.056624094134,62.01,2021-05-02,Malaysia,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,1542.0328403747726,1415.056624094134,62.01,2021-05-03,Malaysia,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,1312.5209574125095,1415.056624094134,62.01,2021-05-04,Malaysia,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,1125.6138658915338,1415.056624094134,62.01,2021-05-05,Malaysia,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,968.5579911340376,1415.056624094134,62.01,2021-05-06,Malaysia,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,834.6452639224423,1415.056624094134,62.01,2021-05-07,Malaysia,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,797.2417948246069,1203.2443657920064,30.0,2021-05-08,Malaysia,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,799.1371928679891,1054.249986632556,30.0,2021-05-09,Malaysia,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,819.8479287026275,951.0807135365352,30.0,2021-05-10,Malaysia,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,853.3518496381754,885.4851267116303,30.0,2021-05-11,Malaysia,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,897.9032759027921,852.9550424275245,30.0,2021-05-12,Malaysia,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,953.0091068880248,850.7337732495225,30.0,2021-05-13,Malaysia,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,1018.6169259399167,877.0154392520192,30.0,2021-05-14,Malaysia,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,1086.6978552153653,918.3663050221272,33.67,2021-05-15,Malaysia,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,1158.5098091403954,969.7052502038997,33.67,2021-05-16,Malaysia,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,1235.301323819502,1029.0557352205958,33.67,2021-05-17,Malaysia,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,1317.6718595889427,1095.3871652135626,33.67,2021-05-18,Malaysia,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,1406.0384910345422,1167.977910232384,33.67,2021-05-19,Malaysia,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,1500.7832866698745,1246.2313644869341,33.67,2021-05-20,Malaysia,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,1602.2999838049936,1329.6146584676594,33.67,2021-05-21,Malaysia,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,1698.5428954027045,1417.0210927801363,37.34,2021-05-22,Malaysia,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,1791.1725642065555,1507.4014863610166,37.34,2021-05-23,Malaysia,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,1882.128956224404,1599.8054338474308,37.34,2021-05-24,Malaysia,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,1972.4219056856641,1693.3411547183912,37.34,2021-05-25,Malaysia,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,2062.733371518802,1787.1547090732856,37.34,2021-05-26,Malaysia,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,2153.605375868416,1880.41500753022,37.34,2021-05-27,Malaysia,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,2245.5014882540845,1972.3009367372326,37.34,2021-05-28,Malaysia,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,2387.984284339392,2070.7925637281883,28.0,2021-05-29,Malaysia,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,2574.3604939526235,2182.6765536919124,28.0,2021-05-30,Malaysia,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,2799.7332664839037,2313.7628837289835,28.0,2021-05-31,Malaysia,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,3064.3191818146943,2469.748208890273,28.0,2021-06-01,Malaysia,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,3370.433852264948,2656.56256328258,28.0,2021-06-02,Malaysia,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,3721.5119483949543,2880.5492165006567,28.0,2021-06-03,Malaysia,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,4121.804968501235,3148.592570821679,28.0,2021-06-04,Malaysia,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,4634.573068618416,3469.5338257186822,23.0,2021-06-05,Malaysia,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,5268.044048877619,3854.3457621365374,23.0,2021-06-06,Malaysia,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,6032.672313404692,4316.194197410937,23.0,2021-06-07,Malaysia,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,6946.849186297578,4870.8413409084915,23.0,2021-06-08,Malaysia,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,8034.287487262611,5537.106145908158,23.0,2021-06-09,Malaysia,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,9323.629677055837,6337.408678573999,23.0,2021-06-10,Malaysia,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,10848.82367233867,7298.411350550775,23.0,2021-06-11,Malaysia,,Plan 1
2,1,2,2,0,0,0,4,2,3,2,0,12575.505292961308,8432.830239742616,26.67,2021-06-12,Malaysia,,Plan 1
2,1,2,2,0,0,0,4,2,3,2,0,14535.801757260246,9756.79562665442,26.67,2021-06-13,Malaysia,,Plan 1
2,1,2,2,0,0,0,4,2,3,2,0,16770.885470284782,11290.826077637292,26.67,2021-06-14,Malaysia,,Plan 1
2,1,2,2,0,0,0,4,2,3,2,0,19322.22918606355,13058.737506175286,26.67,2021-06-15,Malaysia,,Plan 1
2,1,2,2,0,0,0,4,2,3,2,0,22235.25644207782,15087.447356863177,26.67,2021-06-16,Malaysia,,Plan 1
2,1,2,2,0,0,0,4,2,3,2,0,25560.81264808021,17407.044924152367,26.67,2021-06-17,Malaysia,,Plan 1
2,1,2,2,0,0,0,4,2,3,2,0,29356.01584956084,20050.9295208984,26.67,2021-06-18,Malaysia,,Plan 1
3,3,2,2,2,0,0,4,2,3,2,0,32730.341471165313,22930.19183207039,41.01,2021-06-19,Malaysia,,Plan 1
3,3,2,2,2,0,0,4,2,3,2,0,35638.5921591121,25944.87617519209,41.01,2021-06-20,Malaysia,,Plan 1
3,3,2,2,2,0,0,4,2,3,2,0,38139.44877561848,28997.528075954044,41.01,2021-06-21,Malaysia,,Plan 1
3,3,2,2,2,0,0,4,2,3,2,0,40264.60170754279,31989.295579022506,41.01,2021-06-22,Malaysia,,Plan 1
3,3,2,2,2,0,0,4,2,3,2,0,42046.14803975273,34819.42295011892,41.01,2021-06-23,Malaysia,,Plan 1
3,3,2,2,2,0,0,4,2,3,2,0,43519.82740176913,37384.9964863602,41.01,2021-06-24,Malaysia,,Plan 1
3,3,2,2,2,0,0,4,2,3,2,0,44722.893863923164,39580.26477412623,41.01,2021-06-25,Malaysia,,Plan 1
3,3,2,2,2,0,0,4,2,3,2,0,45691.6351473724,41431.87815644154,41.01,2021-06-26,Malaysia,,Plan 1
3,3,2,2,2,0,0,4,2,3,2,0,46459.65819170891,42977.744732526786,41.01,2021-06-27,Malaysia,,Plan 1
3,3,2,2,2,0,0,4,2,3,2,0,47056.98549012819,44251.678548885335,41.01,2021-06-28,Malaysia,,Plan 1
3,3,2,2,2,0,0,4,2,3,2,0,47509.74891666802,45286.69957876036,41.01,2021-06-29,Malaysia,,Plan 1
3,3,2,2,2,0,0,4,2,3,2,0,47840.27239240928,46114.431629139865,41.01,2021-06-30,Malaysia,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,2193.050539602277,1229.3974998925025,78.00999999999998,2021-05-01,Malaysia,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,1692.8844776481617,1229.3974998925025,78.00999999999998,2021-05-02,Malaysia,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,1353.1674762371786,1229.3974998925025,78.00999999999998,2021-05-03,Malaysia,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,1101.184891273314,1229.3974998925025,78.00999999999998,2021-05-04,Malaysia,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,904.0940272419302,1229.3974998925025,78.00999999999998,2021-05-05,Malaysia,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,745.4664217602502,1229.3974998925025,78.00999999999998,2021-05-06,Malaysia,,Plan 10
