,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,2,4,2,0,0,4,2,3,2,4,584.1019620407517,468.96274968329345,0.12386535714285621,2020-10-02,Portugal,,Plan 1
1,3,0,2,4,2,0,0,4,2,3,2,4,508.65403404730426,468.96274968329345,0.12386535714285621,2020-10-03,Portugal,,Plan 1
2,3,0,2,4,2,0,0,4,2,3,2,4,471.02765229982447,468.96274968329345,0.12386535714285621,2020-10-04,Portugal,,Plan 1
3,3,0,2,4,2,0,0,4,2,3,2,4,449.38132241666534,468.96274968329345,0.12386535714285621,2020-10-05,Portugal,,Plan 1
4,3,0,2,4,2,0,0,4,2,3,2,4,434.5618561828787,468.96274968329345,0.12386535714285621,2020-10-06,Portugal,,Plan 1
5,3,0,2,4,2,0,0,4,2,3,2,4,422.7317980370935,468.96274968329345,0.12386535714285621,2020-10-07,Portugal,,Plan 1
6,3,0,2,4,2,0,0,4,2,3,2,4,412.2806227585361,468.96274968329345,0.12386535714285621,2020-10-08,Portugal,,Plan 1
7,3,0,2,4,2,0,0,4,2,3,2,4,402.53084662614816,443.0240189097786,0.12386535714285621,2020-10-09,Portugal,,Plan 1
8,3,0,2,4,2,0,0,4,2,3,2,4,393.19593223907765,426.53000436574627,0.12386535714285621,2020-10-10,Portugal,,Plan 1
9,3,0,2,4,2,0,0,4,2,3,2,4,384.1531836193177,414.11936598281676,0.12386535714285621,2020-10-11,Portugal,,Plan 1
10,3,0,2,4,2,0,0,4,2,3,2,4,375.3485986887462,403.543262593114,0.12386535714285621,2020-10-12,Portugal,,Plan 1
11,3,0,2,4,2,0,0,4,2,3,2,4,366.75701100087707,393.85685613854235,0.12386535714285621,2020-10-13,Portugal,,Plan 1
12,3,0,2,4,2,0,0,4,2,3,2,4,358.36538962245095,384.6616549364506,0.12386535714285621,2020-10-14,Portugal,,Plan 1
13,3,0,2,4,2,0,0,4,2,3,2,4,350.16583671444545,375.78811407300907,0.12386535714285621,2020-10-15,Portugal,,Plan 1
14,3,0,2,3,2,0,0,2,2,3,2,4,347.9645611075516,367.99293042749525,0.09551267857142781,2020-10-16,Portugal,,Plan 1
15,3,0,2,3,2,0,0,2,2,3,2,4,348.79252324522537,361.64958628551636,0.09551267857142781,2020-10-17,Portugal,,Plan 1
16,3,0,2,3,2,0,0,2,2,3,2,4,351.33813150169806,356.961721697285,0.09551267857142781,2020-10-18,Portugal,,Plan 1
17,3,0,2,3,2,0,0,2,2,3,2,4,354.9995163285818,354.05470993154717,0.09551267857142781,2020-10-19,Portugal,,Plan 1
18,3,0,2,3,2,0,0,2,2,3,2,4,359.47774225767927,353.01481439680464,0.09551267857142781,2020-10-20,Portugal,,Plan 1
19,3,0,2,3,2,0,0,2,2,3,2,4,364.60585900621766,353.906310023057,0.09551267857142781,2020-10-21,Portugal,,Plan 1
20,3,0,2,3,2,0,0,2,2,3,2,4,370.27778581064126,356.77944560822783,0.09551267857142781,2020-10-22,Portugal,,Plan 1
21,3,0,2,4,2,0,0,0,2,3,2,4,380.2267466500184,361.38832925715167,0.0743296428571422,2020-10-23,Portugal,,Plan 1
22,3,0,2,4,2,0,0,0,2,3,2,4,392.89534117534333,367.68873181859715,0.0743296428571422,2020-10-24,Portugal,,Plan 1
23,3,0,2,4,2,0,0,0,2,3,2,4,407.54395855805996,375.7181356837917,0.0743296428571422,2020-10-25,Portugal,,Plan 1
24,3,0,2,4,2,0,0,0,2,3,2,4,423.84777950563443,385.553601851942,0.0743296428571422,2020-10-26,Portugal,,Plan 1
25,3,0,2,4,2,0,0,0,2,3,2,4,441.6590607732125,397.29379021130393,0.0743296428571422,2020-10-27,Portugal,,Plan 1
