C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,0,2,0,0,4,2,3,2,0,607.115504626275,550.4652694164554,1.2899506903353049,2020-10-02,Portugal,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,553.4142729866655,550.4652694164554,1.2899506903353049,2020-10-03,Portugal,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,535.7246751419208,550.4652694164554,1.2899506903353049,2020-10-04,Portugal,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,532.6886565217419,550.4652694164554,1.2899506903353049,2020-10-05,Portugal,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,535.6458735334761,550.4652694164554,1.2899506903353049,2020-10-06,Portugal,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,541.0850606714076,550.4652694164554,1.2899506903353049,2020-10-07,Portugal,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,547.5828424337008,550.4652694164554,1.2899506903353049,2020-10-08,Portugal,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,554.5625461173111,542.9577039151749,1.2899506903353049,2020-10-09,Portugal,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,561.790849428937,544.1543576926422,1.2899506903353049,2020-10-10,Portugal,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,569.1736615166692,548.9327843176062,1.2899506903353049,2020-10-11,Portugal,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,576.6733554618378,555.21631273762,1.2899506903353049,2020-10-12,Portugal,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,584.2752105894241,562.1633608884696,1.2899506903353049,2020-10-13,Portugal,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,591.9737909835715,569.4331795044931,1.2899506903353049,2020-10-14,Portugal,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,599.7674285576455,576.8881203793422,1.2899506903353049,2020-10-15,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,618.2845060956593,585.9912575191064,0.8389316239316235,2020-10-16,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,644.2574355247443,597.7721983899362,0.8389316239316235,2020-10-17,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,675.3770488435504,612.9441108652047,0.8389316239316235,2020-10-18,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,710.7389842291668,632.0963435462518,0.8389316239316235,2020-10-19,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,750.0164640698849,655.7736654720318,0.8389316239316235,2020-10-20,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,793.1267911861007,684.5098083581075,0.8389316239316235,2020-10-21,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,840.0989274423204,718.8428796273466,0.8389316239316235,2020-10-22,Portugal,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,884.0949389483148,756.8157986062976,1.1075871137409594,2020-10-23,Portugal,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,925.6280372311484,797.0115988500694,1.1075871137409594,2020-10-24,Portugal,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,966.2931958046362,838.571048415939,1.1075871137409594,2020-10-25,Portugal,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,1006.8456555933653,880.8720014679673,1.1075871137409594,2020-10-26,Portugal,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,1047.6948797289742,923.3974894192658,1.1075871137409594,2020-10-27,Portugal,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,1089.1005790279858,965.6794591109636,1.1075871137409594,2020-10-28,Portugal,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,1131.251993737701,1007.2727542960181,1.1075871137409594,2020-10-29,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,1183.915355574843,1050.104242385522,0.8389316239316235,2020-10-30,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,1246.1783545161152,1095.897144854803,0.8389316239316235,2020-10-31,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,1316.0240777948904,1145.8586994248394,0.8389316239316235,2020-11-01,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,1392.7389341399644,1200.986310645782,0.8389316239316235,2020-11-02,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,1476.1550963613931,1262.1949130218418,0.8389316239316235,2020-11-03,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,1566.3469646129429,1330.372968105407,0.8389316239316235,2020-11-04,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,1663.5095709573895,1406.4097648510767,0.8389316239316235,2020-11-05,Portugal,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,1764.8027935663424,1489.3936845641479,0.9252235371466134,2020-11-06,Portugal,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,1869.8564977817418,1578.4905621735236,0.9252235371466134,2020-11-07,Portugal,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,1979.8408743840844,1673.321533114837,0.9252235371466134,2020-11-08,Portugal,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,2095.435650050399,1773.706778244899,0.9252235371466134,2020-11-09,Portugal,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,2217.133911041444,1879.560894627764,0.9252235371466134,2020-11-10,Portugal,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,2345.3622247622493,1990.848788934807,0.9252235371466134,2020-11-11,Portugal,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,2480.5285974159688,2107.5657927146044,0.9252235371466134,2020-11-12,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,2627.708620225664,2230.838053665936,0.8389316239316235,2020-11-13,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,2788.2774047403364,2362.041040374307,0.8389316239316235,2020-11-14,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,2961.4301569895006,2502.2680807465085,0.8389316239316235,2020-11-15,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,3147.184432407334,2652.5179067975,0.8389316239316235,2020-11-16,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,3345.914375709297,2813.7722588929073,0.8389316239316235,2020-11-17,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,3558.166944265296,2987.030075964771,0.8389316239316235,2020-11-18,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,3784.5890873805824,3173.324431674001,0.8389316239316235,2020-11-19,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,4025.8986406314507,3373.0658631605434,0.8389316239316235,2020-11-20,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,4282.8724877202085,3586.579446443381,0.8389316239316235,2020-11-21,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,4556.34157014032,3814.423934036356,0.8389316239316235,2020-11-22,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,4847.188628261902,4057.281676301294,0.8389316239316235,2020-11-23,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,5156.347032176426,4315.914912939456,0.8389316239316235,2020-11-24,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,5484.799973224811,4591.148202790814,0.8389316239316235,2020-11-25,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,5833.579729303395,4883.86115163693,0.8389316239316235,2020-11-26,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,6203.766841768352,5194.9851803707725,0.8389316239316235,2020-11-27,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,6596.489109565228,5525.501840634347,0.8389316239316235,2020-11-28,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,7012.9202927006645,5876.441658142968,0.8389316239316235,2020-11-29,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,7454.278393366154,6248.883053157862,0.8389316239316235,2020-11-30,Portugal,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,7921.8235870226235,6643.9511324216055,0.8389316239316235,2020-12-01,Portugal,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,537.0777405662909,330.31965046787985,4.326982248520709,2020-10-02,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,420.33732451010934,330.31965046787985,4.326982248520709,2020-10-03,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,349.0845710476127,330.31965046787985,4.326982248520709,2020-10-04,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,300.349812082067,330.31965046787985,4.326982248520709,2020-10-05,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,263.5253091674874,330.31965046787985,4.326982248520709,2020-10-06,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,233.62659222124645,330.31965046787985,4.326982248520709,2020-10-07,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,208.2362036803453,330.31965046787985,4.326982248520709,2020-10-08,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,186.1165235418952,280.1823337501091,4.326982248520709,2020-10-09,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,166.5794009802369,243.93120181727016,4.326982248520709,2020-10-10,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,149.19890756991362,215.37610703474166,4.326982248520709,2020-10-11,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,133.67977808278997,191.5661021777021,4.326982248520709,2020-10-12,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,119.79656488342995,171.03342442283682,4.326982248520709,2020-10-13,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,107.36495606839864,152.99604782957275,4.326982248520709,2020-10-14,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,96.22779647537642,136.99484680029153,4.326982248520709,2020-10-15,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,86.24786907804761,122.72789616259901,4.326982248520709,2020-10-16,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,77.30383311502193,109.97424361042543,4.326982248520709,2020-10-17,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,69.28767423817573,98.5583531344629,4.326982248520709,2020-10-18,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,62.10291371139288,88.33308679569187,4.326982248520709,2020-10-19,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,55.663227309533774,79.17118142799244,4.326982248520709,2020-10-20,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,49.89130888045455,70.96066040114326,4.326982248520709,2020-10-21,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,44.7178976592338,63.60210342740862,4.326982248520709,2020-10-22,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,40.08092720237357,57.00682601659803,4.326982248520709,2020-10-23,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,35.92477193794199,51.09553156272948,4.326982248520709,2020-10-24,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,32.19957605010219,45.79723182157611,4.326982248520709,2020-10-25,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,28.86065383514244,41.04833755354033,4.326982248520709,2020-10-26,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,25.867953066222764,36.791869804495896,4.326982248520709,2020-10-27,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,23.185574361743537,32.97676487325147,4.326982248520709,2020-10-28,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,20.7813405400278,29.557256713364897,4.326982248520709,2020-10-29,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,18.626410684727738,26.49232578227264,4.326982248520709,2020-10-30,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,16.694934245213243,23.745206111882812,4.326982248520709,2020-10-31,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,14.963741004512539,21.282943962512864,4.326982248520709,2020-11-01,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,13.412063189778348,19.076002441746567,4.326982248520709,2020-11-02,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,12.021286390868983,17.097907202410315,4.326982248520709,2020-11-03,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,10.774726300126767,15.324928907893634,4.326982248520709,2020-11-04,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,9.657428596755572,13.735798630283313,4.326982248520709,2020-11-05,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,8.655989576862055,12.311452757731075,4.326982248520709,2020-11-06,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,7.758395378909488,11.034804348259106,4.326982248520709,2020-11-07,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,6.953877877170714,9.890538187210273,4.326982248520709,2020-11-08,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,6.232785515489553,8.864927090883304,4.326982248520709,2020-11-09,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,5.586467532685594,7.945667253999964,4.326982248520709,2020-11-10,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,5.007170191416997,7.121730667041424,4.326982248520709,2020-11-11,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,4.487943766173056,6.383232834101065,4.326982248520709,2020-11-12,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,4.0225591750256235,5.72131420526729,4.326982248520709,2020-11-13,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,3.6054332553664032,5.128033901903993,4.326982248520709,2020-11-14,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,3.2315617874812106,4.596274460519777,4.326982248520709,2020-11-15,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,2.8964594626991333,4.119656452978289,4.326982248520709,2020-11-16,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,2.5961060761185912,3.6924619591830026,4.326982248520709,2020-11-17,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,2.326898298547185,3.3095659744873167,4.326982248520709,2020-11-18,Portugal,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,2.0856064491937802,2.9663749292045614,4.326982248520709,2020-11-19,Portugal,,Plan 10
3,3,2,4,2,3,1,4,2,3,2,4,1.8752877021444958,2.659621861650113,4.029891518737672,2020-11-20,Portugal,,Plan 10
3,3,2,4,2,3,1,4,2,3,2,4,1.6891942602155519,2.385873433771421,4.029891518737672,2020-11-21,Portugal,,Plan 10
3,3,2,4,2,3,1,4,2,3,2,4,1.5231595891496459,2.141815976866912,4.029891518737672,2020-11-22,Portugal,,Plan 10
3,3,2,4,2,3,1,4,2,3,2,4,1.3743297221367974,1.9243688710722928,4.029891518737672,2020-11-23,Portugal,,Plan 10
3,3,2,4,2,3,1,4,2,3,2,4,1.2405630117579671,1.7307198618779174,4.029891518737672,2020-11-24,Portugal,,Plan 10
3,3,2,4,2,3,1,4,2,3,2,4,1.1201399793230775,1.5583258162744735,4.029891518737672,2020-11-25,Portugal,,Plan 10
3,3,2,4,2,3,1,4,2,3,2,4,1.0116176282821845,1.4048988418585313,4.029891518737672,2020-11-26,Portugal,,Plan 10
3,3,2,4,2,3,1,4,2,3,2,4,0.9137518506421052,1.26753657735819,4.029891518737672,2020-11-27,Portugal,,Plan 10
3,3,2,4,2,3,1,4,2,3,2,4,0.8254526614461764,1.1441449203911362,4.029891518737672,2020-11-28,Portugal,,Plan 10
3,3,2,4,2,3,1,4,2,3,2,4,0.7457558690265106,1.0330872460878309,4.029891518737672,2020-11-29,Portugal,,Plan 10
3,3,2,4,2,3,1,4,2,3,2,4,0.6738034432665899,0.9330120633920874,4.029891518737672,2020-11-30,Portugal,,Plan 10
3,3,2,4,2,3,1,4,2,3,2,4,0.6088288395887459,0.8427643245107701,4.029891518737672,2020-12-01,Portugal,,Plan 10
3,3,2,4,2,3,0,4,2,3,2,0,550.6806029714305,366.8716463902661,3.3158382642998014,2020-10-02,Portugal,,Plan 5
3,3,2,4,2,3,0,4,2,3,2,0,445.4495183347958,366.8716463902661,3.3158382642998014,2020-10-03,Portugal,,Plan 5
3,3,2,4,2,3,0,4,2,3,2,0,382.9629226611898,366.8716463902661,3.3158382642998014,2020-10-04,Portugal,,Plan 5
3,3,2,4,2,3,0,4,2,3,2,0,340.63473563882417,366.8716463902661,3.3158382642998014,2020-10-05,Portugal,,Plan 5
3,3,2,4,2,3,0,4,2,3,2,0,308.38011020760797,366.8716463902661,3.3158382642998014,2020-10-06,Portugal,,Plan 5
3,3,2,4,2,3,0,4,2,3,2,0,281.6488330466814,366.8716463902661,3.3158382642998014,2020-10-07,Portugal,,Plan 5
3,3,2,4,2,3,0,4,2,3,2,0,258.3448018713327,366.8716463902661,3.3158382642998014,2020-10-08,Portugal,,Plan 5
3,0,2,4,2,0,0,4,2,3,2,0,245.30740692603248,323.24690409806635,1.7391617357001965,2020-10-09,Portugal,,Plan 5
3,0,2,4,2,0,0,4,2,3,2,0,236.63928580686772,293.41687087979096,1.7391617357001965,2020-10-10,Portugal,,Plan 5
3,0,2,4,2,0,0,4,2,3,2,0,229.9620893911089,271.559608984065,1.7391617357001965,2020-10-11,Portugal,,Plan 5
3,0,2,4,2,0,0,4,2,3,2,0,224.32325220806013,254.94368277967016,1.7391617357001965,2020-10-12,Portugal,,Plan 5
3,0,2,4,2,0,0,4,2,3,2,0,219.32760584616767,242.2218964423216,1.7391617357001965,2020-10-13,Portugal,,Plan 5
3,0,2,4,2,0,0,4,2,3,2,0,214.79316129480785,232.671086192054,1.7391617357001965,2020-10-14,Portugal,,Plan 5
3,0,2,4,2,0,0,4,2,3,2,0,210.6198469518602,225.85323548927212,1.7391617357001965,2020-10-15,Portugal,,Plan 5
3,0,2,0,1,0,0,4,2,3,2,0,209.30371284712226,220.70985062085643,1.24680473372781,2020-10-16,Portugal,,Plan 5
3,0,2,0,1,0,0,4,2,3,2,0,209.4771302274554,216.8295426809404,1.24680473372781,2020-10-17,Portugal,,Plan 5
3,0,2,0,1,0,0,4,2,3,2,0,210.530048589548,214.05353685214592,1.24680473372781,2020-10-18,Portugal,,Plan 5
3,0,2,0,1,0,0,4,2,3,2,0,212.17527064667863,212.3181109148057,1.24680473372781,2020-10-19,Portugal,,Plan 5
3,0,2,0,1,0,0,4,2,3,2,0,214.26360703208482,211.5946825127939,1.24680473372781,2020-10-20,Portugal,,Plan 5
3,0,2,0,1,0,0,4,2,3,2,0,216.70682029610782,211.8680623701225,1.24680473372781,2020-10-21,Portugal,,Plan 5
3,0,2,0,1,0,0,4,2,3,2,0,219.44570988904252,213.128899932577,1.24680473372781,2020-10-22,Portugal,,Plan 5
3,0,2,0,2,0,0,4,2,3,2,0,222.0848445483696,214.95477588989812,1.2899506903353049,2020-10-23,Portugal,,Plan 5
3,0,2,0,2,0,0,4,2,3,2,0,224.7427095202796,217.13557293173008,1.2899506903353049,2020-10-24,Portugal,,Plan 5
3,0,2,0,2,0,0,4,2,3,2,0,227.4609117817625,219.55426767347507,1.2899506903353049,2020-10-25,Portugal,,Plan 5
3,0,2,0,2,0,0,4,2,3,2,0,230.250965891764,222.1365098513444,1.2899506903353049,2020-10-26,Portugal,,Plan 5
3,0,2,0,2,0,0,4,2,3,2,0,233.11318345914688,224.82930648378186,1.2899506903353049,2020-10-27,Portugal,,Plan 5
3,0,2,0,2,0,0,4,2,3,2,0,236.04418578369442,227.59178726772282,1.2899506903353049,2020-10-28,Portugal,,Plan 5
3,0,2,0,2,0,0,4,2,3,2,0,239.0398051458691,230.39094373298371,1.2899506903353049,2020-10-29,Portugal,,Plan 5
3,0,2,0,1,0,0,4,2,3,2,0,242.4741131890854,233.30369639594315,1.24680473372781,2020-10-30,Portugal,,Plan 5
3,0,2,0,1,0,0,4,2,3,2,0,246.18358803876816,236.3666790414415,1.24680473372781,2020-10-31,Portugal,,Plan 5
3,0,2,0,1,0,0,4,2,3,2,0,250.0925503412061,239.59977026421916,1.24680473372781,2020-11-01,Portugal,,Plan 5
3,0,2,0,1,0,0,4,2,3,2,0,254.16293484731446,243.01576582929772,1.24680473372781,2020-11-02,Portugal,,Plan 5
3,0,2,0,1,0,0,4,2,3,2,0,258.3734674437007,246.62437782709117,1.24680473372781,2020-11-03,Portugal,,Plan 5
3,0,2,0,1,0,0,4,2,3,2,0,262.710916643566,250.43391080707283,1.24680473372781,2020-11-04,Portugal,,Plan 5
3,0,2,0,1,0,0,4,2,3,2,0,267.16631554873845,254.4519837217685,1.24680473372781,2020-11-05,Portugal,,Plan 5
3,0,2,0,1,0,0,4,2,3,2,0,271.733246610568,258.63185992483744,1.24680473372781,2020-11-06,Portugal,,Plan 5
3,0,2,0,1,0,0,4,2,3,2,0,276.40699789953254,262.9494899049466,1.24680473372781,2020-11-07,Portugal,,Plan 5
3,0,2,0,1,0,0,4,2,3,2,0,281.18409854901984,267.39113964892005,1.24680473372781,2020-11-08,Portugal,,Plan 5
3,0,2,0,1,0,0,4,2,3,2,0,286.0620308520447,271.9481533638815,1.24680473372781,2020-11-09,Portugal,,Plan 5
3,0,2,0,1,0,0,4,2,3,2,0,291.03903339146166,276.6146627849902,1.24680473372781,2020-11-10,Portugal,,Plan 5
3,0,2,0,1,0,0,4,2,3,2,0,296.11395503492736,281.3865254123275,1.24680473372781,2020-11-11,Portugal,,Plan 5
3,0,2,0,1,0,0,4,2,3,2,0,301.28614140239813,286.26078624856467,1.24680473372781,2020-11-12,Portugal,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,311.19409466212386,291.89805025592966,0.8389316239316235,2020-11-13,Portugal,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,324.57671252285763,298.7794380592618,0.8389316239316235,2020-11-14,Portugal,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,340.44751592841425,307.2456405420325,0.8389316239316235,2020-11-15,Portugal,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,358.41637079046586,317.5819748189498,0.8389316239316235,2020-11-16,Portugal,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,378.3426070755545,330.05391391667735,0.8389316239316235,2020-11-17,Portugal,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,400.1938617840187,344.92247202369043,0.8389316239316235,2020-11-18,Portugal,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,423.98922260243484,362.45148362369565,0.8389316239316235,2020-11-19,Portugal,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,449.7763785476968,382.2489527502062,0.8389316239316235,2020-11-20,Portugal,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,477.62233398369034,404.1126129588965,0.8389316239316235,2020-11-21,Portugal,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,507.6095412057268,427.99290228422683,0.8389316239316235,2020-11-22,Portugal,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,539.8342175431751,453.9097375346138,0.8389316239316235,2020-11-23,Portugal,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,574.4055843032479,481.91873428142713,0.8389316239316235,2020-11-24,Portugal,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,611.445539023321,512.0975453156133,0.8389316239316235,2020-11-25,Portugal,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,651.0885606498438,544.5403078938144,0.8389316239316235,2020-11-26,Portugal,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,693.4817708695026,579.3553639397868,0.8389316239316235,2020-11-27,Portugal,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,738.7851161118617,616.6643328152397,0.8389316239316235,2020-11-28,Portugal,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,787.1716492475157,656.6017768212097,0.8389316239316235,2020-11-29,Portugal,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,838.8279005261894,699.3151601044974,0.8389316239316235,2020-11-30,Portugal,,Plan 5
1,0,2,0,0,0,0,4,2,3,2,0,893.9543341497682,744.9649815111432,0.8389316239316235,2020-12-01,Portugal,,Plan 5
3,3,2,4,2,3,2,4,2,3,2,4,537.0777405662909,330.31965046787985,4.326982248520709,2020-10-02,Portugal,,Plan 8
3,3,2,4,2,3,2,4,2,3,2,4,420.33732451010934,330.31965046787985,4.326982248520709,2020-10-03,Portugal,,Plan 8
3,3,2,4,2,3,2,4,2,3,2,4,349.0845710476127,330.31965046787985,4.326982248520709,2020-10-04,Portugal,,Plan 8
3,3,2,4,2,3,2,4,2,3,2,4,300.349812082067,330.31965046787985,4.326982248520709,2020-10-05,Portugal,,Plan 8
3,3,2,4,2,3,2,4,2,3,2,4,263.5253091674874,330.31965046787985,4.326982248520709,2020-10-06,Portugal,,Plan 8
3,3,2,4,2,3,2,4,2,3,2,4,233.62659222124645,330.31965046787985,4.326982248520709,2020-10-07,Portugal,,Plan 8
3,3,2,4,2,3,2,4,2,3,2,4,208.2362036803453,330.31965046787985,4.326982248520709,2020-10-08,Portugal,,Plan 8
3,3,2,4,2,3,2,4,2,3,2,4,186.1165235418952,280.1823337501091,4.326982248520709,2020-10-09,Portugal,,Plan 8
3,3,2,4,2,3,2,4,2,3,2,4,166.5794009802369,243.93120181727016,4.326982248520709,2020-10-10,Portugal,,Plan 8
3,3,2,4,2,3,2,4,2,3,2,4,149.19890756991362,215.37610703474166,4.326982248520709,2020-10-11,Portugal,,Plan 8
3,3,2,4,2,3,2,4,2,3,2,4,133.67977808278997,191.5661021777021,4.326982248520709,2020-10-12,Portugal,,Plan 8
