C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,4,2,3,2,4,584.1019620407517,468.9627496832935,0.1238653571428562,2020-10-02,Portugal,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,508.6540340473042,468.9627496832935,0.1238653571428562,2020-10-03,Portugal,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,471.0276522998245,468.9627496832935,0.1238653571428562,2020-10-04,Portugal,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,449.3813224166653,468.9627496832935,0.1238653571428562,2020-10-05,Portugal,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,434.5618561828787,468.9627496832935,0.1238653571428562,2020-10-06,Portugal,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,422.7317980370935,468.9627496832935,0.1238653571428562,2020-10-07,Portugal,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,412.28062275853614,468.9627496832935,0.1238653571428562,2020-10-08,Portugal,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,402.5308466261482,443.0240189097786,0.1238653571428562,2020-10-09,Portugal,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,393.1959322390777,426.5300043657463,0.1238653571428562,2020-10-10,Portugal,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,384.1531836193177,414.1193659828169,0.1238653571428562,2020-10-11,Portugal,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,375.34859868874616,403.5432625931141,0.1238653571428562,2020-10-12,Portugal,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,366.757011000877,393.8568561385424,0.1238653571428562,2020-10-13,Portugal,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,358.36538962245095,384.66165493645065,0.1238653571428562,2020-10-14,Portugal,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,350.16583671444545,375.788114073009,0.1238653571428562,2020-10-15,Portugal,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,356.04691788148017,369.1475528237708,0.0505394642857138,2020-10-16,Portugal,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,370.6404757164176,365.925344749105,0.0505394642857138,2020-10-17,Portugal,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,390.5589090923883,366.8404483881152,0.0505394642857138,2020-10-18,Portugal,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,414.598320215513,372.44755146336746,0.0505394642857138,2020-10-19,Portugal,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,442.4132633200294,383.25558750896073,0.0505394642857138,2020-10-20,Portugal,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,473.9934874525384,399.7738871989732,0.0505394642857138,2020-10-21,Portugal,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,509.4673132877822,422.5312409951642,0.0505394642857138,2020-10-22,Portugal,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,549.0316348992611,450.1004862834186,0.0505394642857138,2020-10-23,Portugal,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,592.9289106247372,481.8559769846072,0.0505394642857138,2020-10-24,Portugal,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,641.440814570859,517.6962491958171,0.0505394642857138,2020-10-25,Portugal,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,694.8875598074135,557.7375691375172,0.0505394642857138,2020-10-26,Portugal,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,753.6291206014708,602.1969773205802,0.0505394642857138,2020-10-27,Portugal,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,818.0671554496405,651.3503584630233,0.0505394642857138,2020-10-28,Portugal,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,888.6473028178779,705.5189283958944,0.0505394642857138,2020-10-29,Portugal,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,958.6913953471512,764.0417513170213,0.0743296428571422,2020-10-30,Portugal,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1025.967856707017,825.9044579002043,0.0743296428571422,2020-10-31,Portugal,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1092.651076005826,890.3630666766281,0.0743296428571422,2020-11-01,Portugal,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1159.8275358606932,956.783063255668,0.0743296428571422,2020-11-02,Portugal,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1228.1444271983266,1024.570964198076,0.0743296428571422,2020-11-03,Portugal,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1298.0621753957937,1093.141681333241,0.0743296428571422,2020-11-04,Portugal,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1369.9542926440872,1161.899822736985,0.0743296428571422,2020-11-05,Portugal,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1444.1483736457126,1231.2508196367794,0.0743296428571422,2020-11-06,Portugal,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1520.9442010737616,1301.961725974886,0.0743296428571422,2020-11-07,Portugal,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1600.6228336286413,1374.529119921002,0.0743296428571422,2020-11-08,Portugal,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1683.4520104836954,1449.332616295717,0.0743296428571422,2020-11-09,Portugal,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1769.6899171025348,1526.6962577106035,0.0743296428571422,2020-11-10,Portugal,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1859.5881022244212,1606.9142472575504,0.0743296428571422,2020-11-11,Portugal,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1953.393889065955,1690.2627610321033,0.0743296428571422,2020-11-12,Portugal,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,2059.792126751464,1778.2118686186388,0.063575178571428,2020-11-13,Portugal,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,2180.392982774586,1872.4188374330429,0.063575178571428,2020-11-14,Portugal,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,2313.131775474309,1974.205829125281,0.063575178571428,2020-11-15,Portugal,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,2457.4321498822587,2084.7744204679325,0.063575178571428,2020-11-16,Portugal,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,2613.343586825543,2205.296373285505,0.063575178571428,2020-11-17,Portugal,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,2781.200282324849,2336.955256156995,0.063575178571428,2020-11-18,Portugal,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,2961.485816716621,2480.9683886785183,0.063575178571428,2020-11-19,Portugal,,Plan 1
