C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
2,0,2,2,1,0,0,4,2,3,2,0,616.3941264537651,586.1515721724958,24.0,2020-10-02,Portugal,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,571.7452313935443,586.1515721724958,24.0,2020-10-03,Portugal,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,562.7595842035406,586.1515721724958,24.0,2020-10-04,Portugal,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,568.2974647999365,586.1515721724958,24.0,2020-10-05,Portugal,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,579.8977517087982,586.1515721724958,24.0,2020-10-06,Portugal,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,594.1777835335675,586.1515721724958,24.0,2020-10-07,Portugal,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,609.7890631143188,586.1515721724958,24.0,2020-10-08,Portugal,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,626.1980475348603,587.552132326938,24.0,2020-10-09,Portugal,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,643.1977700091571,597.7596378434542,24.0,2020-10-10,Portugal,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,660.7122192188543,611.7528714170704,24.0,2020-10-11,Portugal,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,678.7179972568844,627.5272331966344,24.0,2020-10-12,Portugal,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,697.2129417307636,644.2865460569153,24.0,2020-10-13,Portugal,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,716.2035573810876,661.7187994637038,24.0,2020-10-14,Portugal,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,735.6999829089146,679.7060737200744,24.0,2020-10-15,Portugal,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,763.8481023630288,699.3703672669559,16.5,2020-10-16,Portugal,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,798.6181455298799,721.5732780556307,16.5,2020-10-17,Portugal,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,838.3007219019612,746.9430641532173,16.5,2020-10-18,Portugal,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,882.2341689241404,776.0168029628253,16.5,2020-10-19,Portugal,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,930.1918407171803,809.2995028180277,16.5,2020-10-20,Portugal,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,982.1358036474124,847.2898237132167,16.5,2020-10-21,Portugal,,Plan 1
