,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,3,2,4,2,3,1,4,2,3,2,2,743.1510666048015,791.968881149245,62.01,2020-04-04,Portugal,,Plan 1
1,3,3,2,4,2,3,1,4,2,3,2,2,741.5866371437425,791.968881149245,62.01,2020-04-05,Portugal,,Plan 1
2,3,3,2,4,2,3,1,4,2,3,2,2,759.1044834934212,791.968881149245,62.01,2020-04-06,Portugal,,Plan 1
3,3,3,2,4,2,3,1,4,2,3,2,2,783.2456074044159,791.968881149245,62.01,2020-04-07,Portugal,,Plan 1
4,3,3,2,4,2,3,1,4,2,3,2,2,810.1146659816573,791.968881149245,62.01,2020-04-08,Portugal,,Plan 1
5,3,3,2,4,2,3,1,4,2,3,2,2,838.5085662505684,791.968881149245,62.01,2020-04-09,Portugal,,Plan 1
6,3,3,2,4,2,3,1,4,2,3,2,2,868.0711411661084,791.968881149245,62.01,2020-04-10,Portugal,,Plan 1
7,3,3,2,4,2,3,1,4,2,3,2,2,898.7130719509885,814.1920247701289,62.01,2020-04-11,Portugal,,Plan 1
8,3,3,2,4,2,3,1,4,2,3,2,2,930.4295701604917,841.1695866296644,62.01,2020-04-12,Portugal,,Plan 1
9,3,3,2,4,2,3,1,4,2,3,2,2,963.2431000599616,870.3322461391703,62.01,2020-04-13,Portugal,,Plan 1
10,3,3,2,4,2,3,1,4,2,3,2,2,997.1853770415415,900.8950703730453,62.01,2020-04-14,Portugal,,Plan 1
11,3,3,2,4,2,3,1,4,2,3,2,2,1032.2917037260927,932.6346471936789,62.01,2020-04-15,Portugal,,Plan 1
12,3,3,2,4,2,3,1,4,2,3,2,2,1068.5992240355122,965.5047411629566,62.01,2020-04-16,Portugal,,Plan 1
13,3,3,2,4,2,3,1,4,2,3,2,2,1106.146376322711,999.5154890424712,62.01,2020-04-17,Portugal,,Plan 1
14,3,3,2,4,2,1,1,4,2,3,2,2,1149.464862098035,1035.3371733491922,54.01,2020-04-18,Portugal,,Plan 1
15,3,3,2,4,2,1,1,4,2,3,2,2,1197.2419065656195,1073.4532214070675,54.01,2020-04-19,Portugal,,Plan 1
16,3,3,2,4,2,1,1,4,2,3,2,2,1248.9899944924225,1114.2742063259907,54.01,2020-04-20,Portugal,,Plan 1
17,3,3,2,4,2,1,1,4,2,3,2,2,1304.5173406444756,1158.1787725549814,54.01,2020-04-21,Portugal,,Plan 1
18,3,3,2,4,2,1,1,4,2,3,2,2,1363.7530316890636,1205.5303908354056,54.01,2020-04-22,Portugal,,Plan 1
19,3,3,2,4,2,1,1,4,2,3,2,2,1426.6867757537216,1256.6857553665784,54.01,2020-04-23,Portugal,,Plan 1
