,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,2,4,2,1,2,4,2,3,2,4,618.814601163323,636.4113519815677,0.21946059523809414,2021-03-13,Portugal,,Plan 1
1,3,0,2,4,2,1,2,4,2,3,2,4,609.4251286934888,636.4113519815677,0.21946059523809414,2021-03-14,Portugal,,Plan 1
2,3,0,2,4,2,1,2,4,2,3,2,4,616.5924016071829,636.4113519815677,0.21946059523809414,2021-03-15,Portugal,,Plan 1
3,3,0,2,4,2,1,2,4,2,3,2,4,629.378403146664,636.4113519815677,0.21946059523809414,2021-03-16,Portugal,,Plan 1
4,3,0,2,4,2,1,2,4,2,3,2,4,644.2402096874359,636.4113519815677,0.21946059523809414,2021-03-17,Portugal,,Plan 1
5,3,0,2,4,2,1,2,4,2,3,2,4,660.0340553906057,636.4113519815677,0.21946059523809414,2021-03-18,Portugal,,Plan 1
6,3,0,2,4,2,1,2,4,2,3,2,4,676.3946641822738,636.4113519815677,0.21946059523809414,2021-03-19,Portugal,,Plan 1
7,3,0,2,4,2,1,0,4,2,3,2,4,698.4980872122588,647.7947071314156,0.14124630952380854,2021-03-20,Portugal,,Plan 1
8,3,0,2,4,2,1,0,4,2,3,2,4,725.1271482100761,664.3235670623568,0.14124630952380854,2021-03-21,Portugal,,Plan 1
9,3,0,2,4,2,1,0,4,2,3,2,4,755.127016526131,684.1142263364922,0.14124630952380854,2021-03-22,Portugal,,Plan 1
10,3,0,2,4,2,1,0,4,2,3,2,4,788.0507909966415,706.7817103150604,0.14124630952380854,2021-03-23,Portugal,,Plan 1
11,3,0,2,4,2,1,0,4,2,3,2,4,823.7099248999863,732.4202410597105,0.14124630952380854,2021-03-24,Portugal,,Plan 1
12,3,0,2,4,2,1,0,4,2,3,2,4,862.0236532398118,761.2758978953113,0.14124630952380854,2021-03-25,Portugal,,Plan 1
13,3,0,2,4,2,1,0,4,2,3,2,4,902.9660752970087,793.6432423402736,0.14124630952380854,2021-03-26,Portugal,,Plan 1
14,3,0,2,4,2,1,0,4,2,3,2,4,946.5455862423174,829.0785993445676,0.14124630952380854,2021-03-27,Portugal,,Plan 1
15,3,0,2,4,2,1,0,4,2,3,2,4,992.7955331381419,867.316940048577,0.14124630952380854,2021-03-28,Portugal,,Plan 1
16,3,0,2,4,2,1,0,4,2,3,2,4,1041.7691335238987,908.2658139054009,0.14124630952380854,2021-03-29,Portugal,,Plan 1
17,3,0,2,4,2,1,0,4,2,3,2,4,1093.5362821229683,951.9065983520189,0.14124630952380854,2021-03-30,Portugal,,Plan 1
18,3,0,2,4,2,1,0,4,2,3,2,4,1148.1813519379307,998.2596593574397,0.14124630952380854,2021-03-31,Portugal,,Plan 1
19,3,0,2,4,2,1,0,4,2,3,2,4,1205.8016095938474,1047.3707959794447,0.14124630952380854,2021-04-01,Portugal,,Plan 1
20,3,0,2,4,2,1,0,4,2,3,2,4,1266.5060523908096,1099.3050784214163,0.14124630952380854,2021-04-02,Portugal,,Plan 1
21,3,0,2,4,2,0,0,4,2,3,2,4,1335.5648485233744,1154.8792587472815,0.12386535714285621,2021-04-03,Portugal,,Plan 1
22,3,0,2,4,2,0,0,4,2,3,2,4,1412.7075491762776,1214.8666896098725,0.12386535714285621,2021-04-04,Portugal,,Plan 1
23,3,0,2,4,2,0,0,4,2,3,2,4,1497.356251076644,1279.9505635459789,0.12386535714285621,2021-04-05,Portugal,,Plan 1
24,3,0,2,4,2,0,0,4,2,3,2,4,1589.4543296017207,1350.7959989000863,0.12386535714285621,2021-04-06,Portugal,,Plan 1
25,3,0,2,4,2,0,0,4,2,3,2,4,1689.1525080873614,1428.0775926357194,0.12386535714285621,2021-04-07,Portugal,,Plan 1
26,3,0,2,4,2,0,0,4,2,3,2,4,1796.7042943106162,1512.4922618809721,0.12386535714285621,2021-04-08,Portugal,,Plan 1
27,3,0,2,4,2,0,0,4,2,3,2,4,1912.429753011186,1604.7670762553114,0.12386535714285621,2021-04-09,Portugal,,Plan 1
28,3,0,2,4,2,1,0,4,2,3,2,4,2029.1319761023913,1703.8480944808853,0.14124630952380854,2021-04-10,Portugal,,Plan 1
29,3,0,2,4,2,1,0,4,2,3,2,4,2147.5090721378365,1808.819740618251,0.14124630952380854,2021-04-11,Portugal,,Plan 1
30,3,0,2,4,2,1,0,4,2,3,2,4,2268.961359496912,1919.0490418211464,0.14124630952380854,2021-04-12,Portugal,,Plan 1
31,3,0,2,4,2,1,0,4,2,3,2,4,2394.2593167036,2034.0211828357005,0.14124630952380854,2021-04-13,Portugal,,Plan 1
32,3,0,2,4,2,1,0,4,2,3,2,4,2523.9591826561473,2153.27927920267,0.14124630952380854,2021-04-14,Portugal,,Plan 1
33,3,0,2,4,2,1,0,4,2,3,2,4,2658.536029096168,2276.398098457749,0.14124630952380854,2021-04-15,Portugal,,Plan 1
34,3,0,2,4,2,1,0,4,2,3,2,4,2798.428100973653,2402.9692910238155,0.14124630952380854,2021-04-16,Portugal,,Plan 1
35,3,0,2,4,2,1,0,4,2,3,2,4,2944.0530939482614,2533.6723078589393,0.14124630952380854,2021-04-17,Portugal,,Plan 1
36,3,0,2,4,2,1,0,4,2,3,2,4,3095.815367895225,2669.1446358242806,0.14124630952380854,2021-04-18,Portugal,,Plan 1
