C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,4,2,3,2,0,667.7466748340779,836.2995372337064,1.7391617357001965,2021-03-13,Portugal,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,0,703.6266643914016,836.2995372337064,1.7391617357001965,2021-03-14,Portugal,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,0,757.3614171331352,836.2995372337064,1.7391617357001965,2021-03-15,Portugal,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,0,820.2882337232553,836.2995372337064,1.7391617357001965,2021-03-16,Portugal,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,0,890.0202172810982,836.2995372337064,1.7391617357001965,2021-03-17,Portugal,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,0,966.1481184855292,836.2995372337064,1.7391617357001965,2021-03-18,Portugal,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,0,1048.9054347874471,836.2995372337064,1.7391617357001965,2021-03-19,Portugal,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,0,1138.7552698370553,903.5864793769887,1.7391617357001965,2021-03-20,Portugal,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,0,1236.2641146809501,979.6775437040669,1.7391617357001965,2021-03-21,Portugal,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,0,1342.0650445702506,1063.2066333379407,1.7391617357001965,2021-03-22,Portugal,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,0,1456.8488826957084,1154.143868905434,1.7391617357001965,2021-03-23,Portugal,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,0,1581.3642288819653,1252.9072991341293,1.7391617357001965,2021-03-24,Portugal,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,0,1716.4204140868032,1360.089055648597,1.7391617357001965,2021-03-25,Portugal,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,0,1862.8915344761103,1476.3727841755488,1.7391617357001965,2021-03-26,Portugal,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,0,2021.720991034722,1602.510744346644,1.7391617357001965,2021-03-27,Portugal,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,0,2193.9263540760408,1739.3196356888004,1.7391617357001965,2021-03-28,Portugal,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,0,2380.604491499533,1887.682413821555,1.7391617357001965,2021-03-29,Portugal,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,0,2582.936933269566,2048.552135332106,1.7391617357001965,2021-03-30,Portugal,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,0,2802.1954507502155,2222.9565955989992,1.7391617357001965,2021-03-31,Portugal,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,0,3039.7478262161812,2412.0033687603386,1.7391617357001965,2021-04-01,Portugal,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,0,3297.0637806007658,2616.8851182067183,1.7391617357001965,2021-04-02,Portugal,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,0,3575.721017955918,2838.8851220526026,1.7391617357001965,2021-04-03,Portugal,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,0,3877.4113332831844,3079.3829762250525,1.7391617357001965,2021-04-04,Portugal,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,0,4203.946716490403,3339.8604369380328,1.7391617357001965,2021-04-05,Portugal,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,0,4557.265368920373,3621.907356316721,1.7391617357001965,2021-04-06,Portugal,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,0,4939.437529937813,3927.2276533435193,1.7391617357001965,2021-04-07,Portugal,,Plan 2
