C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,1,0,4,2,3,2,4,639.8201059651842,717.2047256968242,0.1412463095238085,2021-03-13,Portugal,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,649.4084386908947,717.2047256968242,0.1412463095238085,2021-03-14,Portugal,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,675.4803351105194,717.2047256968242,0.1412463095238085,2021-03-15,Portugal,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,707.977334611717,717.2047256968242,0.1412463095238085,2021-03-16,Portugal,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,743.7564983467415,717.2047256968242,0.1412463095238085,2021-03-17,Portugal,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,781.8791270530113,717.2047256968242,0.1412463095238085,2021-03-18,Portugal,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,822.1112400997009,717.2047256968242,0.1412463095238085,2021-03-19,Portugal,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,864.4462745847978,749.2941783567688,0.1412463095238085,2021-03-20,Portugal,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,908.9532856550333,786.3720136373603,0.1412463095238085,2021-03-21,Portugal,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,955.7287538505664,826.4075020287953,0.1412463095238085,2021-03-22,Portugal,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1004.881352681315,868.8223617530236,0.1412463095238085,2021-03-23,Portugal,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1056.5272881637595,913.503903155455,0.1412463095238085,2021-03-24,Portugal,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1110.7889197382829,960.491016396208,0.1412463095238085,2021-03-25,Portugal,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1167.7944822202658,1009.8743366991456,0.1412463095238085,2021-03-26,Portugal,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1227.6781445642544,1061.764603839068,0.1412463095238085,2021-03-27,Portugal,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1290.5801799639294,1116.282731597482,0.1412463095238085,2021-03-28,Portugal,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1356.6471732381865,1173.556791509999,0.1412463095238085,2021-03-29,Portugal,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1426.0322414645912,1233.7212041933242,0.1412463095238085,2021-03-30,Portugal,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1498.895259636933,1296.916628689492,0.1412463095238085,2021-03-31,Portugal,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1575.403088081709,1363.2900813099816,0.1412463095238085,2021-04-01,Portugal,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1655.729799853943,1432.9951266862206,0.1412463095238085,2021-04-02,Portugal,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1740.0569067031076,1506.192092706057,0.1412463095238085,2021-04-03,Portugal,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1828.5735822051893,1583.048293026237,0.1412463095238085,2021-04-04,Portugal,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1921.4768805354024,1663.7382512115537,0.1412463095238085,2021-04-05,Portugal,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,2018.9719491828412,1748.4439237427323,0.1412463095238085,2021-04-06,Portugal,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,2121.2722337070245,1837.35492003846,0.1412463095238085,2021-04-07,Portugal,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,2228.5996724132765,1930.6687178001123,0.1412463095238085,2021-04-08,Portugal,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,2341.1848785811644,2028.5908719040008,0.1412463095238085,2021-04-09,Portugal,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2468.700901732924,2132.6828711939747,0.1238653571428562,2021-04-10,Portugal,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2610.691964176946,2244.4140686185115,0.1238653571428562,2021-04-11,Portugal,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2766.100137384149,2365.0745338826173,0.1238653571428562,2021-04-12,Portugal,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2934.8012443028874,2495.9072903283386,0.1238653571428562,2021-04-13,Portugal,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3117.0362151132435,2638.159287672085,0.1238653571428562,2021-04-14,Portugal,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3313.2217376462745,2793.1052969910847,0.1238653571428562,2021-04-15,Portugal,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3523.884343710213,2962.062363438091,0.1238653571428562,2021-04-16,Portugal,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3749.635262338531,3145.052986381749,0.1238653571428562,2021-04-17,Portugal,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3991.159201389844,3342.2625916978773,0.1238653571428562,2021-04-18,Portugal,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,4249.208264497392,3554.135181285484,0.1238653571428562,2021-04-19,Portugal,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,4524.597962279391,3781.2489981392696,0.1238653571428562,2021-04-20,Portugal,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,4818.204217733886,4024.272998513648,0.1238653571428562,2021-04-21,Portugal,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,5130.960882544146,4283.950019213343,0.1238653571428562,2021-04-22,Portugal,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,5463.857489180735,4561.089039994847,0.1238653571428562,2021-04-23,Portugal,,Plan 1
3,0,2,4,2,1,1,4,2,3,2,4,5780.011721034793,4851.142819808598,0.1803534523809513,2021-04-24,Portugal,,Plan 1
3,0,2,4,2,1,1,4,2,3,2,4,6081.872257071539,5149.816113477412,0.1803534523809513,2021-04-25,Portugal,,Plan 1
3,0,2,4,2,1,1,4,2,3,2,4,6375.753232006444,5453.60825169299,0.1803534523809513,2021-04-26,Portugal,,Plan 1
3,0,2,4,2,1,1,4,2,3,2,4,6664.858219505868,5759.35971701106,0.1803534523809513,2021-04-27,Portugal,,Plan 1
3,0,2,4,2,1,1,4,2,3,2,4,6951.272596805746,6064.083771164181,0.1803534523809513,2021-04-28,Portugal,,Plan 1
3,0,2,4,2,1,1,4,2,3,2,4,7236.589572008311,6364.887869659063,0.1803534523809513,2021-04-29,Portugal,,Plan 1
3,0,2,4,2,1,1,4,2,3,2,4,7522.115335638947,6658.924704867379,0.1803534523809513,2021-04-30,Portugal,,Plan 1
3,0,2,4,2,1,1,4,2,3,2,4,7808.945323453542,6948.77236235577,0.1803534523809513,2021-05-01,Portugal,,Plan 1
3,0,2,4,2,1,1,4,2,3,2,4,8098.000722532988,7236.790714564549,0.1803534523809513,2021-05-02,Portugal,,Plan 1
3,0,2,4,2,1,1,4,2,3,2,4,8390.05219763589,7524.54770965447,0.1803534523809513,2021-05-03,Portugal,,Plan 1
3,0,2,4,2,1,1,4,2,3,2,4,8685.738756494118,7813.244929224221,0.1803534523809513,2021-05-04,Portugal,,Plan 1
3,0,2,4,2,1,1,4,2,3,2,4,8985.583923100854,8103.860832980666,0.1803534523809513,2021-05-05,Portugal,,Plan 1
3,0,2,4,2,1,1,4,2,3,2,4,9290.009763777804,8397.206574662021,0.1803534523809513,2021-05-06,Portugal,,Plan 1
3,0,2,4,2,1,1,4,2,3,2,4,9599.349028156985,8693.954245021741,0.1803534523809513,2021-05-07,Portugal,,Plan 1
3,0,2,4,2,1,1,4,2,3,2,4,9913.85548253194,8994.655696318654,0.1803534523809513,2021-05-08,Portugal,,Plan 1
3,0,2,4,2,1,1,4,2,3,2,4,10233.712628777956,9299.757397210791,0.1803534523809513,2021-05-09,Portugal,,Plan 1
3,0,2,4,2,1,1,4,2,3,2,4,10559.040983475265,9609.612938044987,0.1803534523809513,2021-05-10,Portugal,,Plan 1
3,0,2,4,2,1,1,4,2,3,2,4,10889.904046101565,9924.493693703194,0.1803534523809513,2021-05-11,Portugal,,Plan 1
3,0,2,4,2,1,1,4,2,3,2,4,11226.313188088396,10244.597874415702,0.1803534523809513,2021-05-12,Portugal,,Plan 1
3,0,2,4,2,1,1,4,2,3,2,4,629.2992538906474,675.8290098563427,0.1803534523809513,2021-03-13,Portugal,,Plan 2
3,0,2,4,2,1,1,4,2,3,2,4,629.2955244011449,675.8290098563427,0.1803534523809513,2021-03-14,Portugal,,Plan 2
3,0,2,4,2,1,1,4,2,3,2,4,645.6950679081832,675.8290098563427,0.1803534523809513,2021-03-15,Portugal,,Plan 2
3,0,2,4,2,1,1,4,2,3,2,4,667.9856309957572,675.8290098563427,0.1803534523809513,2021-03-16,Portugal,,Plan 2
3,0,2,4,2,1,1,4,2,3,2,4,692.8122137169664,675.8290098563427,0.1803534523809513,2021-03-17,Portugal,,Plan 2
3,0,2,4,2,1,1,4,2,3,2,4,719.1202388345357,675.8290098563427,0.1803534523809513,2021-03-18,Portugal,,Plan 2
3,0,2,4,2,1,1,4,2,3,2,4,746.5951392471643,675.8290098563427,0.1803534523809513,2021-03-19,Portugal,,Plan 2
3,0,2,4,2,1,1,4,2,3,2,4,775.1609383882364,696.6663933559984,0.1803534523809513,2021-03-20,Portugal,,Plan 2
3,0,2,4,2,1,1,4,2,3,2,4,804.819158312854,721.7411982005283,0.1803534523809513,2021-03-21,Portugal,,Plan 2
3,0,2,4,2,1,1,4,2,3,2,4,835.5970947797646,748.8700591821828,0.1803534523809513,2021-03-22,Portugal,,Plan 2
3,0,2,4,2,1,1,4,2,3,2,4,867.5312110880913,777.3765706239448,0.1803534523809513,2021-03-23,Portugal,,Plan 2
3,0,2,4,2,1,1,4,2,3,2,4,900.661807693471,807.0693697634455,0.1803534523809513,2021-03-24,Portugal,,Plan 2
3,0,2,4,2,1,1,4,2,3,2,4,935.0313532265776,837.9138146765943,0.1803534523809513,2021-03-25,Portugal,,Plan 2
3,0,2,4,2,1,1,4,2,3,2,4,970.6839524193878,869.9265022726262,0.1803534523809513,2021-03-26,Portugal,,Plan 2
3,0,2,4,2,1,0,4,2,3,2,4,1010.8711610497076,903.5993912242648,0.1412463095238085,2021-03-27,Portugal,,Plan 2
3,0,2,4,2,1,0,4,2,3,2,4,1055.2294579716784,939.3722911755256,0.1412463095238085,2021-03-28,Portugal,,Plan 2
