C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,3,2,3,2,0,1,4,2,3,2,1,605.7835295287571,589.865101713733,46.51,2021-03-13,Portugal,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,584.9728349836778,589.865101713733,46.51,2021-03-14,Portugal,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,581.2302836424411,589.865101713733,46.51,2021-03-15,Portugal,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,583.1131217159866,589.865101713733,46.51,2021-03-16,Portugal,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,586.8624138857399,589.865101713733,46.51,2021-03-17,Portugal,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,591.2433285688037,589.865101713733,46.51,2021-03-18,Portugal,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,595.8501996707258,589.865101713733,46.51,2021-03-19,Portugal,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,600.5497526611714,589.117419304078,46.51,2021-03-20,Portugal,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,605.2981851053516,592.0210407500315,46.51,2021-03-21,Portugal,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,610.0810938681054,596.1425850679834,46.51,2021-03-22,Portugal,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,614.8937265485578,600.6826714726367,46.51,2021-03-23,Portugal,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,619.7345007877826,605.3786838872139,46.51,2021-03-24,Portugal,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,624.6028723426882,610.144332997769,46.51,2021-03-25,Portugal,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,629.4986349101388,614.9512523176851,46.51,2021-03-26,Portugal,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,647.7091490445383,621.6883089438804,33.67,2021-03-27,Portugal,,Plan 1
