C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,2,2,0,0,4,2,3,2,0,901.1472328480417,837.4741868235678,1.5145562130177506,2021-04-02,Slovenia,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,855.7065553649252,837.4741868235678,1.5145562130177506,2021-04-03,Slovenia,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,836.9611834383702,837.4741868235678,1.5145562130177506,2021-04-04,Slovenia,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,827.0019391972771,837.4741868235678,1.5145562130177506,2021-04-05,Slovenia,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,819.9135044598274,837.4741868235678,1.5145562130177506,2021-04-06,Slovenia,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,813.7428547035438,837.4741868235678,1.5145562130177506,2021-04-07,Slovenia,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,807.8460377529892,837.4741868235678,1.5145562130177506,2021-04-08,Slovenia,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,809.842439790373,824.4306449581867,1.2036587771203149,2021-04-09,Slovenia,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,816.6303999841083,818.8483370466413,1.2036587771203149,2021-04-10,Slovenia,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,826.3605734729405,817.3339641944369,1.2036587771203149,2021-04-11,Slovenia,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,838.1899204017972,818.9322472236541,1.2036587771203149,2021-04-12,Slovenia,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,851.6564221091228,823.4669497449821,1.2036587771203149,2021-04-13,Slovenia,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,866.4624818802762,830.9983250559437,1.2036587771203149,2021-04-14,Slovenia,,Plan 1
