,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,2,4,2,1,0,4,2,3,2,4,858.4110296726391,698.1577119325835,0.14124630952380854,2021-04-02,Slovenia,,Plan 1
1,3,0,2,4,2,1,0,4,2,3,2,4,775.4911548382654,698.1577119325835,0.14124630952380854,2021-04-03,Slovenia,,Plan 1
2,3,0,2,4,2,1,0,4,2,3,2,4,723.3459683255958,698.1577119325835,0.14124630952380854,2021-04-04,Slovenia,,Plan 1
3,3,0,2,4,2,1,0,4,2,3,2,4,682.9024521700642,698.1577119325835,0.14124630952380854,2021-04-05,Slovenia,,Plan 1
4,3,0,2,4,2,1,0,4,2,3,2,4,647.5602220096112,698.1577119325835,0.14124630952380854,2021-04-06,Slovenia,,Plan 1
5,3,0,2,4,2,1,0,4,2,3,2,4,615.0034946149746,698.1577119325835,0.14124630952380854,2021-04-07,Slovenia,,Plan 1
6,3,0,2,4,2,1,0,4,2,3,2,4,584.3896618969341,698.1577119325835,0.14124630952380854,2021-04-08,Slovenia,,Plan 1
7,3,0,2,4,2,0,0,4,2,3,2,4,557.7734651083723,655.2094884234026,0.12386535714285621,2021-04-09,Slovenia,,Plan 1
8,3,0,2,4,2,0,0,4,2,3,2,4,533.5953193309829,620.6529404937908,0.12386535714285621,2021-04-10,Slovenia,,Plan 1
9,3,0,2,4,2,0,0,4,2,3,2,4,511.1678392632192,590.3417791991654,0.12386535714285621,2021-04-11,Slovenia,,Plan 1
10,3,0,2,4,2,0,0,4,2,3,2,4,490.1356108406626,562.803659009251,0.12386535714285621,2021-04-12,Slovenia,,Plan 1
11,3,0,2,4,2,0,0,4,2,3,2,4,470.2823298845599,537.4782458485294,0.12386535714285621,2021-04-13,Slovenia,,Plan 1
12,3,0,2,4,2,0,0,4,2,3,2,4,451.45882283839256,514.1147213090177,0.12386535714285621,2021-04-14,Slovenia,,Plan 1
13,3,0,2,4,2,0,0,4,2,3,2,4,433.553785438547,492.5667389578195,0.12386535714285621,2021-04-15,Slovenia,,Plan 1
14,3,0,2,4,2,0,0,4,2,3,2,4,416.4802271779805,472.3819906820492,0.12386535714285621,2021-04-16,Slovenia,,Plan 1
15,3,0,2,4,2,0,0,4,2,3,2,4,400.1681492930471,453.3209663909156,0.12386535714285621,2021-04-17,Slovenia,,Plan 1
16,3,0,2,4,2,0,0,4,2,3,2,4,384.56002077196945,435.23413517787986,0.12386535714285621,2021-04-18,Slovenia,,Plan 1
17,3,0,2,4,2,0,0,4,2,3,2,4,369.6077104879345,418.0158636989187,0.12386535714285621,2021-04-19,Slovenia,,Plan 1
18,3,0,2,4,2,0,0,4,2,3,2,4,355.27029259393316,401.5855726574006,0.12386535714285621,2021-04-20,Slovenia,,Plan 1
19,3,0,2,4,2,0,0,4,2,3,2,4,341.5124315581553,385.87894533165246,0.12386535714285621,2021-04-21,Slovenia,,Plan 1
20,3,0,2,4,2,0,0,4,2,3,2,4,328.3031719500098,370.84314340471855,0.12386535714285621,2021-04-22,Slovenia,,Plan 1
