C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,4,2,3,2,4,870.0375209329288,734.0605946124605,0.1238653571428562,2021-04-02,Slovenia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,797.0736942105818,734.0605946124605,0.1238653571428562,2021-04-03,Slovenia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,753.4971638809454,734.0605946124605,0.1238653571428562,2021-04-04,Slovenia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,720.5690880497901,734.0605946124605,0.1238653571428562,2021-04-05,Slovenia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,691.9039262435939,734.0605946124605,0.1238653571428562,2021-04-06,Slovenia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,665.3122911653489,734.0605946124605,0.1238653571428562,2021-04-07,Slovenia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,640.0304778040341,734.0605946124605,0.1238653571428562,2021-04-08,Slovenia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,615.7795565037297,697.7380282654319,0.1238653571428562,2021-04-09,Slovenia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,592.4457366393988,668.5054628981203,0.1238653571428562,2021-04-10,Slovenia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,569.971787692576,642.2875520140673,0.1238653571428562,2021-04-11,Slovenia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,548.3201557387806,617.6805616839231,0.1238653571428562,2021-04-12,Slovenia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,527.460435368852,594.1886344161029,0.1238653571428562,2021-04-13,Slovenia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,507.3651019334745,571.6247502401209,0.1238653571428562,2021-04-14,Slovenia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,488.0080699021131,549.9072633969893,0.1238653571428562,2021-04-15,Slovenia,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,477.892342819121,530.2090900134737,0.0955126785714278,2021-04-16,Slovenia,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,473.10438085693016,513.1603249016923,0.0955126785714278,2021-04-17,Slovenia,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,471.67210279996834,499.1175127741771,0.0955126785714278,2021-04-18,Slovenia,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,472.6211862276412,488.3033742725857,0.0955126785714278,2021-04-19,Slovenia,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,475.3879709831508,480.8644507889141,0.0955126785714278,2021-04-20,Slovenia,,Plan 1
