C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,2,2,2,2,0,0,4,2,3,2,0,867.3550472707468,725.6486354782165,37.34,2021-04-02,Slovenia,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,792.0781886772787,725.6486354782165,37.34,2021-04-03,Slovenia,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,746.4906504137085,725.6486354782165,37.34,2021-04-04,Slovenia,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,711.7781747021638,725.6486354782165,37.34,2021-04-05,Slovenia,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,681.5080577070571,725.6486354782165,37.34,2021-04-06,Slovenia,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,653.4640500850572,725.6486354782165,37.34,2021-04-07,Slovenia,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,626.8662794915048,725.6486354782165,37.34,2021-04-08,Slovenia,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,1,606.1323822099063,688.3311118980968,33.0,2021-04-09,Slovenia,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,1,588.4959153099419,659.2479299884773,33.0,2021-04-10,Slovenia,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,1,572.7885077578612,634.4333381804989,33.0,2021-04-11,Slovenia,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,1,558.4381742614613,612.5276238318272,33.0,2021-04-12,Slovenia,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,1,545.1155862393412,593.0429850507251,33.0,2021-04-13,Slovenia,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,1,532.6047844992859,575.7773756813289,33.0,2021-04-14,Slovenia,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,1,520.7521282408467,560.6182112169491,33.0,2021-04-15,Slovenia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,525.0163001156924,549.0301994892044,14.0,2021-04-16,Slovenia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,541.5689447111275,542.3263465465167,14.0,2021-04-17,Slovenia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,566.6058496727445,541.4431096772142,14.0,2021-04-18,Slovenia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,598.7457970416432,547.2013415029545,14.0,2021-04-19,Slovenia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,637.5141614965643,560.4011379682721,14.0,2021-04-20,Slovenia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,682.8181772725443,581.8601940787374,14.0,2021-04-21,Slovenia,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,734.7621353279915,612.433052234044,14.0,2021-04-22,Slovenia,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,783.1744571821358,649.3127889578217,25.0,2021-04-23,Slovenia,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,825.9860740959602,689.9438074413691,25.0,2021-04-24,Slovenia,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,865.1698038973932,732.595800902033,25.0,2021-04-25,Slovenia,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,901.6419169005568,775.8666751675923,25.0,2021-04-26,Slovenia,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,935.9620721494096,818.5020909751416,25.0,2021-04-27,Slovenia,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,968.5474016765296,859.3205516042825,25.0,2021-04-28,Slovenia,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,999.7387430393312,897.1743527059024,25.0,2021-04-29,Slovenia,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,1032.261640880874,932.7582360914364,23.0,2021-04-30,Slovenia,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,1066.4956765559582,967.1167507285792,23.0,2021-05-01,Slovenia,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,1102.0424538386749,1000.9557007201907,23.0,2021-05-02,Slovenia,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,1138.7734398609375,1034.8316325716737,23.0,2021-05-03,Slovenia,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,1176.648273179599,1069.2153755759866,23.0,2021-05-04,Slovenia,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,1215.6559295296406,1104.5165938407165,23.0,2021-05-05,Slovenia,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,1255.7954422424775,1141.096122298309,23.0,2021-05-06,Slovenia,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1307.658342525331,1180.438508247517,16.5,2021-05-07,Slovenia,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1371.895872588821,1224.067107680783,16.5,2021-05-08,Slovenia,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1446.256244125436,1273.2405062931775,16.5,2021-05-09,Slovenia,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1529.9323518460303,1329.1203508624765,16.5,2021-05-10,Slovenia,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1622.6615797185248,1392.8365375108945,16.5,2021-05-11,Slovenia,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1724.4182521359094,1465.51686931179,16.5,2021-05-12,Slovenia,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,1835.3023913137124,1548.3035763219666,16.5,2021-05-13,Slovenia,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,1949.6107511526127,1640.011063268721,19.0,2021-05-14,Slovenia,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,2066.441505325649,1739.2318679454108,19.0,2021-05-15,Slovenia,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,2187.047675594402,1845.0592152981203,19.0,2021-05-16,Slovenia,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,2312.0256798468467,1956.7868335839512,19.0,2021-05-17,Slovenia,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,2441.746326411187,2073.7989402543312,19.0,2021-05-18,Slovenia,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,2576.491189517314,2195.523645594532,19.0,2021-05-19,Slovenia,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,2716.495774525045,2321.408414624723,19.0,2021-05-20,Slovenia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,2827.5504797184717,2446.828375848417,29.0,2021-05-21,Slovenia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,2908.8415674769594,2567.171241870032,29.0,2021-05-22,Slovenia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,2967.7122086459576,2678.6947465916837,29.0,2021-05-23,Slovenia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,3008.486143100029,2778.189098484995,29.0,2021-05-24,Slovenia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,3034.3253488517985,2862.843244547939,29.0,2021-05-25,Slovenia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,3047.7889654914497,2930.1714982585304,29.0,2021-05-26,Slovenia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,3051.0138294039784,2977.959791812664,29.0,2021-05-27,Slovenia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,3045.7901792647053,3009.1368917478394,29.0,2021-05-28,Slovenia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,3033.6105267730827,3026.961028790143,29.0,2021-05-29,Slovenia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,3015.711506883141,3033.818071395455,29.0,2021-05-30,Slovenia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,2993.112474324,3031.62183299888,29.0,2021-05-31,Slovenia,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,2966.6505812841083,3021.954009060638,29.0,2021-06-01,Slovenia,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,867.3550472707468,725.6486354782165,37.34,2021-04-02,Slovenia,,Plan 2
3,2,2,2,2,0,0,4,2,3,2,0,792.0781886772787,725.6486354782165,37.34,2021-04-03,Slovenia,,Plan 2
3,2,2,2,2,0,0,4,2,3,2,0,746.4906504137085,725.6486354782165,37.34,2021-04-04,Slovenia,,Plan 2
3,2,2,2,2,0,0,4,2,3,2,0,711.7781747021638,725.6486354782165,37.34,2021-04-05,Slovenia,,Plan 2
3,2,2,2,2,0,0,4,2,3,2,0,681.5080577070571,725.6486354782165,37.34,2021-04-06,Slovenia,,Plan 2
3,2,2,2,2,0,0,4,2,3,2,0,653.4640500850572,725.6486354782165,37.34,2021-04-07,Slovenia,,Plan 2
3,2,2,2,2,0,0,4,2,3,2,0,626.8662794915048,725.6486354782165,37.34,2021-04-08,Slovenia,,Plan 2
3,0,2,2,2,0,1,4,2,3,2,1,606.1323822099063,688.3311118980968,33.0,2021-04-09,Slovenia,,Plan 2
3,0,2,2,2,0,1,4,2,3,2,1,588.4959153099419,659.2479299884773,33.0,2021-04-10,Slovenia,,Plan 2
3,0,2,2,2,0,1,4,2,3,2,1,572.7885077578612,634.4333381804989,33.0,2021-04-11,Slovenia,,Plan 2
3,0,2,2,2,0,1,4,2,3,2,1,558.4381742614613,612.5276238318272,33.0,2021-04-12,Slovenia,,Plan 2
3,0,2,2,2,0,1,4,2,3,2,1,545.1155862393412,593.0429850507251,33.0,2021-04-13,Slovenia,,Plan 2
3,0,2,2,2,0,1,4,2,3,2,1,532.6047844992859,575.7773756813289,33.0,2021-04-14,Slovenia,,Plan 2
3,0,2,2,2,0,1,4,2,3,2,1,520.7521282408467,560.6182112169491,33.0,2021-04-15,Slovenia,,Plan 2
3,0,2,2,2,0,1,4,2,3,2,1,509.4433735747659,546.8054956976433,33.0,2021-04-16,Slovenia,,Plan 2
3,0,2,2,2,0,1,4,2,3,2,1,498.5915908770187,533.9620207786544,33.0,2021-04-17,Slovenia,,Plan 2
3,0,2,2,2,0,1,4,2,3,2,1,488.1297908024857,521.867918356458,33.0,2021-04-18,Slovenia,,Plan 2
3,0,2,2,2,0,1,4,2,3,2,1,478.00593451660177,510.3775983929065,33.0,2021-04-19,Slovenia,,Plan 2
3,0,2,2,2,0,1,4,2,3,2,1,468.179352919507,499.3867079186445,33.0,2021-04-20,Slovenia,,Plan 2
3,0,2,2,2,0,1,4,2,3,2,1,458.61809240527566,488.8171804766432,33.0,2021-04-21,Slovenia,,Plan 2
3,0,2,2,2,0,1,4,2,3,2,1,449.2969131355269,478.6092926044545,33.0,2021-04-22,Slovenia,,Plan 2
1,0,2,2,1,0,0,4,2,3,2,0,449.2527091848605,470.01062626303946,19.0,2021-04-23,Slovenia,,Plan 2
1,0,2,2,1,0,0,4,2,3,2,0,456.0083997324144,463.9273132423817,19.0,2021-04-24,Slovenia,,Plan 2
1,0,2,2,1,0,0,4,2,3,2,0,467.3583365587258,460.9599626361304,19.0,2021-04-25,Slovenia,,Plan 2
