C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,1,0,4,2,3,2,0,1129.0039622438267,1083.0292102424194,1.9452761341222868,2020-10-25,Slovenia,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,1086.567552278876,1083.0292102424194,1.9452761341222868,2020-10-26,Slovenia,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,1074.3021871287365,1083.0292102424194,1.9452761341222868,2020-10-27,Slovenia,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,1071.645663305804,1083.0292102424194,1.9452761341222868,2020-10-28,Slovenia,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,1071.979089634966,1083.0292102424194,1.9452761341222868,2020-10-29,Slovenia,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,1073.1711055243118,1083.0292102424194,1.9452761341222868,2020-10-30,Slovenia,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,1074.534911580413,1083.0292102424194,1.9452761341222868,2020-10-31,Slovenia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,1079.6078714919536,1075.9726258492942,1.7391617357001965,2020-11-01,Slovenia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,1086.5914515082213,1075.9760400249154,1.7391617357001965,2020-11-02,Slovenia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,1094.7469754738631,1078.896724074219,1.7391617357001965,2020-11-03,Slovenia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,1103.7115564718229,1083.477565955079,1.7391617357001965,2020-11-04,Slovenia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,1113.2698049721942,1089.3762395746828,1.7391617357001965,2020-11-05,Slovenia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,1123.2742921831343,1096.5338376688003,1.7391617357001965,2020-11-06,Slovenia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,1133.6152715912565,1104.9738890989208,1.7391617357001965,2020-11-07,Slovenia,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,1152.4257149984448,1115.3764381712767,1.4022534516765282,2020-11-08,Slovenia,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,1176.5237078585644,1128.2239033641831,1.4022534516765282,2020-11-09,Slovenia,,Plan 1
