,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,3,2,3,2,0,1,4,2,3,2,1,1082.1191104476104,923.8563089775963,46.51,2020-10-25,Slovenia,,Plan 1
1,3,3,2,3,2,0,1,4,2,3,2,1,997.8691126359942,923.8563089775963,46.51,2020-10-26,Slovenia,,Plan 1
2,3,3,2,3,2,0,1,4,2,3,2,1,947.3317873427374,923.8563089775963,46.51,2020-10-27,Slovenia,,Plan 1
3,3,3,2,3,2,0,1,4,2,3,2,1,908.7373933745523,923.8563089775963,46.51,2020-10-28,Slovenia,,Plan 1
4,3,3,2,3,2,0,1,4,2,3,2,1,874.827977484314,923.8563089775963,46.51,2020-10-29,Slovenia,,Plan 1
5,3,3,2,3,2,0,1,4,2,3,2,1,843.1708390122611,923.8563089775963,46.51,2020-10-30,Slovenia,,Plan 1
6,3,3,2,3,2,0,1,4,2,3,2,1,812.9379425457051,923.8563089775963,46.51,2020-10-31,Slovenia,,Plan 1
7,3,1,2,2,2,0,1,4,2,3,2,0,795.3818222012476,882.893839228116,35.67,2020-11-01,Slovenia,,Plan 1
8,3,1,2,2,2,0,1,4,2,3,2,0,784.1847535965248,852.3675022224774,35.67,2020-11-02,Slovenia,,Plan 1
9,3,1,2,2,2,0,1,4,2,3,2,0,776.7591336500569,827.9999802663804,35.67,2020-11-03,Slovenia,,Plan 1
10,3,1,2,2,2,0,1,4,2,3,2,0,771.8746566956241,808.448160740819,35.67,2020-11-04,Slovenia,,Plan 1
11,3,1,2,2,2,0,1,4,2,3,2,0,768.8350228929432,793.3063100849089,35.67,2020-11-05,Slovenia,,Plan 1
12,3,1,2,2,2,0,1,4,2,3,2,0,767.1854457868807,782.4512539098547,35.67,2020-11-06,Slovenia,,Plan 1
13,3,1,2,2,2,0,1,4,2,3,2,0,766.6010143739917,775.831692742467,35.67,2020-11-07,Slovenia,,Plan 1
14,3,1,2,2,2,0,0,4,2,3,2,0,768.6324026588238,772.0103470935493,33.67,2020-11-08,Slovenia,,Plan 1
15,3,1,2,2,2,0,0,4,2,3,2,0,772.360705052043,770.3211973014805,33.67,2020-11-09,Slovenia,,Plan 1
16,3,1,2,2,2,0,0,4,2,3,2,0,777.3179052311748,770.4010218130688,33.67,2020-11-10,Slovenia,,Plan 1
17,3,1,2,2,2,0,0,4,2,3,2,0,783.2188300063224,772.0216180003114,33.67,2020-11-11,Slovenia,,Plan 1
18,3,1,2,2,2,0,0,4,2,3,2,0,789.8652730111905,775.0259394457753,33.67,2020-11-12,Slovenia,,Plan 1
19,3,1,2,2,2,0,0,4,2,3,2,0,797.1086254103677,779.3006793919876,33.67,2020-11-13,Slovenia,,Plan 1
20,3,1,2,2,2,0,0,4,2,3,2,0,804.8330720134824,784.7624019119149,33.67,2020-11-14,Slovenia,,Plan 1
21,2,0,2,2,0,0,0,4,2,3,2,0,825.393440783194,792.8711216439679,23.0,2020-11-15,Slovenia,,Plan 1
22,2,0,2,2,0,0,0,4,2,3,2,0,854.2694946122508,804.5723772954261,23.0,2020-11-16,Slovenia,,Plan 1
23,2,0,2,2,0,0,0,4,2,3,2,0,889.6724189601229,820.6230221138472,23.0,2020-11-17,Slovenia,,Plan 1
24,2,0,2,2,0,0,0,4,2,3,2,0,930.8157925676093,841.7083024797455,23.0,2020-11-18,Slovenia,,Plan 1
25,2,0,2,2,0,0,0,4,2,3,2,0,977.3146309572256,868.4867821863219,23.0,2020-11-19,Slovenia,,Plan 1
26,2,0,2,2,0,0,0,4,2,3,2,0,1028.97162376527,901.6100676655935,23.0,2020-11-20,Slovenia,,Plan 1
27,2,0,2,2,0,0,0,4,2,3,2,0,1085.695573996656,941.7332822346183,23.0,2020-11-21,Slovenia,,Plan 1
28,3,0,2,2,1,0,0,4,2,3,2,0,1137.316006422907,986.2936487545774,29.0,2020-11-22,Slovenia,,Plan 1
29,3,0,2,2,1,0,0,4,2,3,2,0,1186.592352628607,1033.7683427569139,29.0,2020-11-23,Slovenia,,Plan 1
30,3,0,2,2,1,0,0,4,2,3,2,0,1234.5906986521072,1083.0423827129118,29.0,2020-11-24,Slovenia,,Plan 1
31,3,0,2,2,1,0,0,4,2,3,2,0,1281.831651181365,1133.1875053720196,29.0,2020-11-25,Slovenia,,Plan 1
32,3,0,2,2,1,0,0,4,2,3,2,0,1328.641061861293,1183.3769955011721,29.0,2020-11-26,Slovenia,,Plan 1
33,3,0,2,2,1,0,0,4,2,3,2,0,1375.2597530733135,1232.8467282594643,29.0,2020-11-27,Slovenia,,Plan 1
34,3,0,2,2,1,0,0,4,2,3,2,0,1421.879944597735,1280.8730669167612,29.0,2020-11-28,Slovenia,,Plan 1
35,3,0,2,2,2,0,0,4,2,3,2,0,1466.4810736380584,1327.896647947497,30.0,2020-11-29,Slovenia,,Plan 1
36,3,0,2,2,2,0,0,4,2,3,2,0,1509.8805512916447,1374.0806763279309,30.0,2020-11-30,Slovenia,,Plan 1
37,3,0,2,2,2,0,0,4,2,3,2,0,1552.482195089301,1419.49374724753,30.0,2020-12-01,Slovenia,,Plan 1
38,3,0,2,2,2,0,0,4,2,3,2,0,1594.534463863827,1464.165577630739,30.0,2020-12-02,Slovenia,,Plan 1
39,3,0,2,2,2,0,0,4,2,3,2,0,1636.2143764126433,1508.1046225666462,30.0,2020-12-03,Slovenia,,Plan 1
40,3,0,2,2,2,0,0,4,2,3,2,0,1677.6569652067162,1551.3042242999893,30.0,2020-12-04,Slovenia,,Plan 1
41,3,0,2,2,2,0,0,4,2,3,2,0,1718.967374078824,1593.7452856544307,30.0,2020-12-05,Slovenia,,Plan 1
42,2,0,2,2,1,0,0,4,2,3,2,0,1776.3462729595203,1638.0117427003538,24.0,2020-12-06,Slovenia,,Plan 1
43,2,0,2,2,1,0,0,4,2,3,2,0,1844.595860157367,1685.828215395457,24.0,2020-12-07,Slovenia,,Plan 1
44,2,0,2,2,1,0,0,4,2,3,2,0,1921.666303074388,1738.5688022504694,24.0,2020-12-08,Slovenia,,Plan 1
45,2,0,2,2,1,0,0,4,2,3,2,0,2006.6190524031567,1797.4380291846592,24.0,2020-12-09,Slovenia,,Plan 1
46,2,0,2,2,1,0,0,4,2,3,2,0,2098.9446081990295,1863.5423480112859,24.0,2020-12-10,Slovenia,,Plan 1
47,2,0,2,2,1,0,0,4,2,3,2,0,2198.3263244662126,1937.923685048357,24.0,2020-12-11,Slovenia,,Plan 1
48,2,0,2,2,1,0,0,4,2,3,2,0,2304.5517542276016,2021.5785964981822,24.0,2020-12-12,Slovenia,,Plan 1
49,3,0,2,2,2,0,1,4,2,3,2,0,2391.3572834060196,2109.437312276253,32.0,2020-12-13,Slovenia,,Plan 1
50,3,0,2,2,2,0,1,4,2,3,2,0,2466.229356322431,2198.2420974426914,32.0,2020-12-14,Slovenia,,Plan 1
51,3,0,2,2,2,0,1,4,2,3,2,0,2532.3006641632637,2285.475577598245,32.0,2020-12-15,Slovenia,,Plan 1
52,3,0,2,2,2,0,1,4,2,3,2,0,2591.273801142736,2368.997684561042,32.0,2020-12-16,Slovenia,,Plan 1
53,3,0,2,2,2,0,1,4,2,3,2,0,2644.306716811899,2446.9065572200234,32.0,2020-12-17,Slovenia,,Plan 1
54,3,0,2,2,2,0,1,4,2,3,2,0,2692.2902055646787,2517.4728259483754,32.0,2020-12-18,Slovenia,,Plan 1
55,3,0,2,2,2,0,1,4,2,3,2,0,2735.9432568760967,2579.100183469589,32.0,2020-12-19,Slovenia,,Plan 1
56,3,0,2,2,2,0,1,4,2,3,2,0,2775.8537897320034,2634.028255801873,32.0,2020-12-20,Slovenia,,Plan 1
57,3,0,2,2,2,0,1,4,2,3,2,0,2812.502223629616,2683.495808274328,32.0,2020-12-21,Slovenia,,Plan 1
58,3,0,2,2,2,0,1,4,2,3,2,0,2846.279065752798,2728.349865644261,32.0,2020-12-22,Slovenia,,Plan 1
59,3,0,2,2,2,0,1,4,2,3,2,0,2877.4995934183726,2769.239264540781,32.0,2020-12-23,Slovenia,,Plan 1
60,3,0,2,2,2,0,1,4,2,3,2,0,2906.416473067827,2806.6835154344844,32.0,2020-12-24,Slovenia,,Plan 1
61,3,3,2,4,2,3,2,4,2,3,2,4,1012.7162218087258,723.4720969009132,78.00999999999999,2020-10-25,Slovenia,,Plan 2
62,3,3,2,4,2,3,2,4,2,3,2,4,870.980288087633,723.4720969009132,78.00999999999999,2020-10-26,Slovenia,,Plan 2
63,3,3,2,4,2,3,2,4,2,3,2,4,773.1295865012909,723.4720969009132,78.00999999999999,2020-10-27,Slovenia,,Plan 2
64,3,3,2,4,2,3,2,4,2,3,2,4,695.1449505323671,723.4720969009132,78.00999999999999,2020-10-28,Slovenia,,Plan 2
65,3,3,2,4,2,3,2,4,2,3,2,4,628.1870250872382,723.4720969009132,78.00999999999999,2020-10-29,Slovenia,,Plan 2
66,3,3,2,4,2,3,2,4,2,3,2,4,568.7804790608874,723.4720969009132,78.00999999999999,2020-10-30,Slovenia,,Plan 2
67,3,3,2,4,2,3,2,4,2,3,2,4,515.3661272282508,723.4720969009132,78.00999999999999,2020-10-31,Slovenia,,Plan 2
68,3,3,2,4,2,3,2,4,2,3,2,4,467.0881273919636,645.5252262699472,78.00999999999999,2020-11-01,Slovenia,,Plan 2
69,3,3,2,4,2,3,2,4,2,3,2,4,423.3655660800929,581.5802659831559,78.00999999999999,2020-11-02,Slovenia,,Plan 2
70,3,3,2,4,2,3,2,4,2,3,2,4,383.7396254166859,525.9531286853552,78.00999999999999,2020-11-03,Slovenia,,Plan 2
71,3,3,2,4,2,3,2,4,2,3,2,4,347.81765066930035,476.3349429906313,78.00999999999999,2020-11-04,Slovenia,,Plan 2
