C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,0,2,0,0,4,2,3,2,0,2216.114254452996,2494.104731809264,1.2899506903353049,2021-02-14,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,2253.666049385033,2494.104731809264,1.2899506903353049,2021-02-15,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,2346.779019108661,2494.104731809264,1.2899506903353049,2021-02-16,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,2462.0354056708225,2494.104731809264,1.2899506903353049,2021-02-17,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,2588.88657798664,2494.104731809264,1.2899506903353049,2021-02-18,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,2724.163772490958,2494.104731809264,1.2899506903353049,2021-02-19,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,2867.088043569731,2494.104731809264,1.2899506903353049,2021-02-20,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3017.662649339766,2608.611645364516,1.2899506903353049,2021-02-21,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3176.155664025545,2740.395876027447,1.2899506903353049,2021-02-22,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3342.933826931376,2882.7037057164057,1.2899506903353049,2021-02-23,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3518.4096436545315,3033.614311142649,1.2899506903353049,2021-02-24,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3703.024973204902,3192.7769390309727,1.2899506903353049,2021-02-25,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3897.246415867072,3360.3601737989893,1.2899506903353049,2021-02-26,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,4101.564522558442,3536.7139565116618,1.2899506903353049,2021-02-27,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,4316.494260703561,3722.261329563633,1.2899506903353049,2021-02-28,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,4542.575910267148,3917.464221883862,1.2899506903353049,2021-03-01,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,4780.376123652715,4122.813121415481,1.2899506903353049,2021-03-02,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,5030.489063284334,4338.824467076882,1.2899506903353049,2021-03-03,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,5293.537588925871,4566.040555037021,1.2899506903353049,2021-03-04,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,5570.174485241298,4805.03027923334,1.2899506903353049,2021-03-05,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,5861.083725870719,5056.390165420807,1.2899506903353049,2021-03-06,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,6166.981771934854,5320.745524168135,1.2899506903353049,2021-03-07,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,6488.618903156425,5598.751666009461,1.2899506903353049,2021-03-08,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,6826.780579592893,5891.0951597152,1.2899506903353049,2021-03-09,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,7182.288831594263,6198.495126616617,1.2899506903353049,2021-03-10,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,7556.00367512216,6521.704567501802,1.2899506903353049,2021-03-11,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,7948.824549015728,6861.511719469578,1.2899506903353049,2021-03-12,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,8361.691770171954,7218.741440084041,1.2899506903353049,2021-03-13,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,8795.588001919648,7594.256615796154,1.2899506903353049,2021-03-14,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,9251.539730103072,7988.959591074245,1.2899506903353049,2021-03-15,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,9730.61874054759,8403.793614067774,1.2899506903353049,2021-03-16,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,10233.94359064918,8839.744293932761,1.2899506903353049,2021-03-17,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,10762.681066806375,9297.841064173364,1.2899506903353049,2021-03-18,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,11318.047618290164,9779.158645498284,1.2899506903353049,2021-03-19,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,11901.310756917988,10284.818500747717,1.2899506903353049,2021-03-20,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,12513.79041055574,10815.990273410016,1.2899506903353049,2021-03-21,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,13156.860217010091,11373.89320011102,1.2899506903353049,2021-03-22,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,13831.948743285271,11959.7974862164,1.2899506903353049,2021-03-23,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,14540.540613459065,12575.0256323321,1.2899506903353049,2021-03-24,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,15284.17752657506,13220.953698013342,1.2899506903353049,2021-03-25,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,16064.459143948809,13899.012487393144,1.2899506903353049,2021-03-26,South Africa,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,16883.04382313906,14610.68863971044,1.2899506903353049,2021-03-27,South Africa,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,17770.278355989718,15361.615489058153,1.24680473372781,2021-03-28,South Africa,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,18727.88605616752,16157.476323223502,1.24680473372781,2021-03-29,South Africa,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,19753.12932606359,17003.3592636204,1.24680473372781,2021-03-30,South Africa,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,20846.325874109192,17904.185729427565,1.24680473372781,2021-03-31,South Africa,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,22009.002875062703,18864.8750649258,1.24680473372781,2021-04-01,South Africa,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,23243.27631380889,19890.42037490581,1.24680473372781,2021-04-02,South Africa,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,24551.63102244736,20985.932831949853,1.24680473372781,2021-04-03,South Africa,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,25936.833388442432,22152.58355087167,1.24680473372781,2021-04-04,South Africa,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,27401.889294641893,23391.72687065372,1.24680473372781,2021-04-05,South Africa,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,28950.018264701717,24705.568147602025,1.24680473372781,2021-04-06,South Africa,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,30584.633936717317,26096.7550136889,1.24680473372781,2021-04-07,South Africa,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,32309.32733018141,27568.229935848714,1.24680473372781,2021-04-08,South Africa,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,34127.851233572816,29123.169210100703,1.24680473372781,2021-04-09,South Africa,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,36044.10485931721,30764.951186796403,1.24680473372781,2021-04-10,South Africa,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,38062.118260214906,32497.13473990676,1.24680473372781,2021-04-11,South Africa,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,40186.03614803904,34323.4414332492,1.24680473372781,2021-04-12,South Africa,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,42420.10054488136,36247.738901846285,1.24680473372781,2021-04-13,South Africa,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,44768.63196382656,38274.02433429047,1.24680473372781,2021-04-14,South Africa,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,47236.00881597778,40406.40740368996,1.24680473372781,2021-04-15,South Africa,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2152.3430989997805,2248.7729546745586,1.5145562130177506,2021-02-14,South Africa,,Plan 2
3,0,2,2,2,0,0,4,2,3,2,0,2132.629828032112,2248.7729546745586,1.5145562130177506,2021-02-15,South Africa,,Plan 2
3,0,2,2,2,0,0,4,2,3,2,0,2168.5639854635656,2248.7729546745586,1.5145562130177506,2021-02-16,South Africa,,Plan 2
3,0,2,2,2,0,0,4,2,3,2,0,2223.9417170157244,2248.7729546745586,1.5145562130177506,2021-02-17,South Africa,,Plan 2
3,0,2,2,2,0,0,4,2,3,2,0,2286.955508350181,2248.7729546745586,1.5145562130177506,2021-02-18,South Africa,,Plan 2
3,0,2,2,2,0,0,4,2,3,2,0,2353.778966894328,2248.7729546745586,1.5145562130177506,2021-02-19,South Africa,,Plan 2
3,0,2,2,2,0,0,4,2,3,2,0,2423.197577966218,2248.7729546745586,1.5145562130177506,2021-02-20,South Africa,,Plan 2
3,0,2,2,2,0,0,4,2,3,2,0,2494.852190972809,2297.70282495642,1.5145562130177506,2021-02-21,South Africa,,Plan 2
3,0,2,2,2,0,0,4,2,3,2,0,2568.66443882513,2359.993483641137,1.5145562130177506,2021-02-22,South Africa,,Plan 2
3,0,2,2,2,0,0,4,2,3,2,0,2644.648864240516,2428.005609180701,1.5145562130177506,2021-02-23,South Africa,,Plan 2
3,0,2,2,2,0,0,4,2,3,2,0,2722.8514443946915,2499.278427377696,1.5145562130177506,2021-02-24,South Africa,,Plan 2
3,0,2,2,2,0,0,4,2,3,2,0,2803.32952556424,2573.046144122562,1.5145562130177506,2021-02-25,South Africa,,Plan 2
3,0,2,2,2,0,0,4,2,3,2,0,2886.145222628287,2649.0984663702698,1.5145562130177506,2021-02-26,South Africa,,Plan 2
3,0,2,2,2,0,0,4,2,3,2,0,2971.3633500095784,2727.4078623764644,1.5145562130177506,2021-02-27,South Africa,,Plan 2
3,0,2,0,1,0,0,4,2,3,2,0,3080.744396506577,2811.106748881289,1.24680473372781,2021-02-28,South Africa,,Plan 2
3,0,2,0,1,0,0,4,2,3,2,0,3212.44569298255,2903.0754994752065,1.24680473372781,2021-03-01,South Africa,,Plan 2
3,0,2,0,1,0,0,4,2,3,2,0,3362.192219125337,3005.5816930301808,1.24680473372781,2021-03-02,South Africa,,Plan 2
3,0,2,0,1,0,0,4,2,3,2,0,3528.342185069742,3120.6517988409023,1.24680473372781,2021-03-03,South Africa,,Plan 2
3,0,2,0,1,0,0,4,2,3,2,0,3710.273246761303,3250.2151875833392,1.24680473372781,2021-03-04,South Africa,,Plan 2
3,0,2,0,1,0,0,4,2,3,2,0,3907.822562615969,3396.169093295865,1.24680473372781,2021-03-05,South Africa,,Plan 2
3,0,2,0,1,0,0,4,2,3,2,0,4121.082911062881,3560.414744874909,1.24680473372781,2021-03-06,South Africa,,Plan 2
3,0,2,0,1,0,0,4,2,3,2,0,4350.320976458464,3741.7828277251774,1.24680473372781,2021-03-07,South Africa,,Plan 2
3,0,2,0,1,0,0,4,2,3,2,0,4595.939603392353,3939.4248149265777,1.24680473372781,2021-03-08,South Africa,,Plan 2
3,0,2,0,1,0,0,4,2,3,2,0,4858.4573559060245,4153.176977323819,1.24680473372781,2021-03-09,South Africa,,Plan 2
3,0,2,0,1,0,0,4,2,3,2,0,5138.4959131668265,4383.1989384805465,1.24680473372781,2021-03-10,South Africa,,Plan 2
3,0,2,0,1,0,0,4,2,3,2,0,5436.771698967388,4629.841574509986,1.24680473372781,2021-03-11,South Africa,,Plan 2
3,0,2,0,1,0,0,4,2,3,2,0,5754.090195754729,4893.594093529809,1.24680473372781,2021-03-12,South Africa,,Plan 2
3,0,2,0,1,0,0,4,2,3,2,0,6091.342112736325,5175.059693768873,1.24680473372781,2021-03-13,South Africa,,Plan 2
3,0,2,0,2,0,0,4,2,3,2,0,6439.229402391489,5473.4751831878775,1.2899506903353049,2021-03-14,South Africa,,Plan 2
3,0,2,0,2,0,0,4,2,3,2,0,6798.587924191847,5788.139229016376,1.2899506903353049,2021-03-15,South Africa,,Plan 2
3,0,2,0,2,0,0,4,2,3,2,0,7172.074360024977,6118.655943890512,1.2899506903353049,2021-03-16,South Africa,,Plan 2
3,0,2,0,2,0,0,4,2,3,2,0,7561.398271943025,6464.784852287112,1.2899506903353049,2021-03-17,South Africa,,Plan 2
3,0,2,0,2,0,0,4,2,3,2,0,7967.954728769838,6826.382427973176,1.2899506903353049,2021-03-18,South Africa,,Plan 2
3,0,2,0,2,0,0,4,2,3,2,0,8393.033214210456,7203.374287752566,1.2899506903353049,2021-03-19,South Africa,,Plan 2
3,0,2,0,2,0,0,4,2,3,2,0,8837.890276500466,7595.738311147441,1.2899506903353049,2021-03-20,South Africa,,Plan 2
3,0,2,0,2,0,0,4,2,3,2,0,9303.777926030574,8004.959528810168,1.2899506903353049,2021-03-21,South Africa,,Plan 2
3,0,2,0,2,0,0,4,2,3,2,0,9791.957312012391,8432.583727070247,1.2899506903353049,2021-03-22,South Africa,,Plan 2
3,0,2,0,2,0,0,4,2,3,2,0,10303.707199861952,8879.95984704696,1.2899506903353049,2021-03-23,South Africa,,Plan 2
3,0,2,0,2,0,0,4,2,3,2,0,10840.330321313046,9348.378711242674,1.2899506903353049,2021-03-24,South Africa,,Plan 2
3,0,2,0,2,0,0,4,2,3,2,0,11403.158622710947,9839.122124662832,1.2899506903353049,2021-03-25,South Africa,,Plan 2
3,0,2,0,2,0,0,4,2,3,2,0,11993.557843085811,10353.48278593074,1.2899506903353049,2021-03-26,South Africa,,Plan 2
3,0,2,0,2,0,0,4,2,3,2,0,12612.931534858342,10892.774394267582,1.2899506903353049,2021-03-27,South Africa,,Plan 2
3,0,2,0,0,0,0,4,2,3,2,0,13305.509578442729,11464.450344612173,1.2036587771203149,2021-03-28,South Africa,,Plan 2
3,0,2,0,0,0,0,4,2,3,2,0,14072.843310645409,12076.005487274031,1.2036587771203149,2021-03-29,South Africa,,Plan 2
3,0,2,0,0,0,0,4,2,3,2,0,14909.934582780512,12734.037970548114,1.2036587771203149,2021-03-30,South Africa,,Plan 2
3,0,2,0,0,0,0,4,2,3,2,0,15816.388883629876,13444.903479450517,1.2036587771203149,2021-03-31,South Africa,,Plan 2
3,0,2,0,0,0,0,4,2,3,2,0,16793.627421569512,14214.970450716026,1.2036587771203149,2021-04-01,South Africa,,Plan 2
3,0,2,0,0,0,0,4,2,3,2,0,17843.951697016888,15050.741001277607,1.2036587771203149,2021-04-02,South Africa,,Plan 2
3,0,2,0,0,0,0,4,2,3,2,0,18970.216815794283,15958.924612839885,1.2036587771203149,2021-04-03,South Africa,,Plan 2
3,0,2,0,0,0,0,4,2,3,2,0,20175.707477998774,16940.381455633607,1.2036587771203149,2021-04-04,South Africa,,Plan 2
3,0,2,0,0,0,0,4,2,3,2,0,21464.083794918588,17996.27295338692,1.2036587771203149,2021-04-05,South Africa,,Plan 2
3,0,2,0,0,0,0,4,2,3,2,0,22839.352748162,19129.046977012847,1.2036587771203149,2021-04-06,South Africa,,Plan 2
3,0,2,0,0,0,0,4,2,3,2,0,24305.850155636574,20341.827158728087,1.2036587771203149,2021-04-07,South Africa,,Plan 2
3,0,2,0,0,0,0,4,2,3,2,0,25868.227614138985,21638.19861480944,1.2036587771203149,2021-04-08,South Africa,,Plan 2
3,0,2,0,0,0,0,4,2,3,2,0,27531.44195776109,23022.12579491575,1.2036587771203149,2021-04-09,South Africa,,Plan 2
3,0,2,0,0,0,0,4,2,3,2,0,29300.74596931175,24497.915673989683,1.2036587771203149,2021-04-10,South Africa,,Plan 2
3,0,2,0,0,0,0,4,2,3,2,0,31181.679567239826,26070.19740102412,1.2036587771203149,2021-04-11,South Africa,,Plan 2
3,0,2,0,0,0,0,4,2,3,2,0,33180.060762651614,27743.908396414547,1.2036587771203149,2021-04-12,South Africa,,Plan 2
3,0,2,0,0,0,0,4,2,3,2,0,35301.97570730044,29524.28310486289,1.2036587771203149,2021-04-13,South Africa,,Plan 2
3,0,2,0,0,0,0,4,2,3,2,0,37553.7673658262,31416.842706318563,1.2036587771203149,2021-04-14,South Africa,,Plan 2
3,0,2,0,0,0,0,4,2,3,2,0,39942.02230227058,33427.38480462306,1.2036587771203149,2021-04-15,South Africa,,Plan 2
3,0,2,4,2,0,0,4,2,3,2,0,2088.939688330479,2023.1004492063544,1.7391617357001965,2021-02-14,South Africa,,Plan 3
3,0,2,4,2,0,0,4,2,3,2,0,2014.073785750188,2023.1004492063544,1.7391617357001965,2021-02-15,South Africa,,Plan 3
3,0,2,4,2,0,0,4,2,3,2,0,1997.3150354290333,2023.1004492063544,1.7391617357001965,2021-02-16,South Africa,,Plan 3
3,0,2,4,2,0,0,4,2,3,2,0,1999.9103621384384,2023.1004492063544,1.7391617357001965,2021-02-17,South Africa,,Plan 3
3,0,2,4,2,0,0,4,2,3,2,0,2008.977202532487,2023.1004492063544,1.7391617357001965,2021-02-18,South Africa,,Plan 3
3,0,2,4,2,0,0,4,2,3,2,0,2020.2329995456157,2023.1004492063544,1.7391617357001965,2021-02-19,South Africa,,Plan 3
3,0,2,4,2,0,0,4,2,3,2,0,2032.2540707182409,2023.1004492063544,1.7391617357001965,2021-02-20,South Africa,,Plan 3
3,0,2,4,2,0,0,4,2,3,2,0,2044.56713759084,2016.7615133864065,1.7391617357001965,2021-02-21,South Africa,,Plan 3
3,0,2,4,2,0,0,4,2,3,2,0,2057.0148357860853,2022.89594910582,1.7391617357001965,2021-02-22,South Africa,,Plan 3
3,0,2,4,2,0,0,4,2,3,2,0,2069.544848152354,2033.21449378058,1.7391617357001965,2021-02-23,South Africa,,Plan 3
3,0,2,4,2,0,0,4,2,3,2,0,2082.139761614086,2044.9615508485292,1.7391617357001965,2021-02-24,South Africa,,Plan 3
3,0,2,4,2,0,0,4,2,3,2,0,2094.7937653336235,2057.221059820121,1.7391617357001965,2021-02-25,South Africa,,Plan 3
