,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,2,4,2,0,0,4,2,3,2,4,2048.19548867561,1887.2666583192045,0.12386535714285621,2021-02-14,South Africa,,Plan 1
1,3,0,2,4,2,0,0,4,2,3,2,4,1938.844865727227,1887.2666583192045,0.12386535714285621,2021-02-15,South Africa,,Plan 1
2,3,0,2,4,2,0,0,4,2,3,2,4,1890.41123022698,1887.2666583192045,0.12386535714285621,2021-02-16,South Africa,,Plan 1
3,3,0,2,4,2,0,0,4,2,3,2,4,1862.551384728139,1887.2666583192045,0.12386535714285621,2021-02-17,South Africa,,Plan 1
4,3,0,2,4,2,0,0,4,2,3,2,4,1841.705022789348,1887.2666583192045,0.12386535714285621,2021-02-18,South Africa,,Plan 1
5,3,0,2,4,2,0,0,4,2,3,2,4,1823.3137747055107,1887.2666583192045,0.12386535714285621,2021-02-19,South Africa,,Plan 1
6,3,0,2,4,2,0,0,4,2,3,2,4,1805.844841381616,1887.2666583192045,0.12386535714285621,2021-02-20,South Africa,,Plan 1
7,3,0,2,4,2,0,0,4,2,3,2,4,1788.78239158076,1850.2076444485115,0.12386535714285621,2021-02-21,South Africa,,Plan 1
8,3,0,2,4,2,0,0,4,2,3,2,4,1771.9523931315682,1826.365862649132,0.12386535714285621,2021-02-22,South Africa,,Plan 1
9,3,0,2,4,2,0,0,4,2,3,2,4,1755.2957103202186,1807.0636455195945,0.12386535714285621,2021-02-23,South Africa,,Plan 1
10,3,0,2,4,2,0,0,4,2,3,2,4,1738.7918283705628,1789.3837088970834,0.12386535714285621,2021-02-24,South Africa,,Plan 1
11,3,0,2,4,2,0,0,4,2,3,2,4,1722.433209397935,1772.344878412596,0.12386535714285621,2021-02-25,South Africa,,Plan 1
12,3,0,2,4,2,0,0,4,2,3,2,4,1706.2166786942728,1755.616721839562,0.12386535714285621,2021-02-26,South Africa,,Plan 1
13,3,0,2,4,2,0,0,4,2,3,2,4,1690.1405325786136,1739.0875348677048,0.12386535714285621,2021-02-27,South Africa,,Plan 1
14,3,0,2,4,2,0,0,4,2,3,2,4,1674.2035613586359,1722.7191305502581,0.12386535714285621,2021-02-28,South Africa,,Plan 1
15,3,0,2,4,2,0,0,4,2,3,2,4,1658.4047192562643,1706.4980342823576,0.12386535714285621,2021-03-01,South Africa,,Plan 1
16,3,0,2,4,2,0,0,4,2,3,2,4,1642.7430217748804,1690.4190787758805,0.12386535714285621,2021-03-02,South Africa,,Plan 1
17,3,0,2,4,2,0,0,4,2,3,2,4,1627.2175029320565,1674.4798894275227,0.12386535714285621,2021-03-03,South Africa,,Plan 1
18,3,0,2,4,2,0,0,4,2,3,2,4,1611.8272052033935,1658.6790316854454,0.12386535714285621,2021-03-04,South Africa,,Plan 1
19,3,0,2,4,2,0,0,4,2,3,2,4,1596.5711752936777,1643.015388342503,0.12386535714285621,2021-03-05,South Africa,,Plan 1
20,3,0,2,4,2,0,0,4,2,3,2,4,1581.4484627875947,1627.4879498009288,0.12386535714285621,2021-03-06,South Africa,,Plan 1
