C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,1,0,4,2,3,2,4,2009.224889383045,1763.8142573722016,0.1412463095238085,2021-02-14,South Africa,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1867.6037539302904,1763.8142573722016,0.1412463095238085,2021-02-15,South Africa,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1790.473166791062,1763.8142573722016,0.1412463095238085,2021-02-16,South Africa,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1735.9613442847342,1763.8142573722016,0.1412463095238085,2021-02-17,South Africa,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1689.8216971138074,1763.8142573722016,0.1412463095238085,2021-02-18,South Africa,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1647.1963839251016,1763.8142573722016,0.1412463095238085,2021-02-19,South Africa,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1606.4185661773688,1763.8142573722016,0.1412463095238085,2021-02-20,South Africa,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1566.9062790412436,1700.6258844662295,0.1412463095238085,2021-02-21,South Africa,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1528.4465916217014,1652.1748612792887,0.1412463095238085,2021-02-22,South Africa,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1490.9523390242498,1609.386171598315,0.1412463095238085,2021-02-23,South Africa,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1454.3794405911772,1569.1601853563784,0.1412463095238085,2021-02-24,South Africa,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1418.6987759810224,1530.428339480266,0.1412463095238085,2021-02-25,South Africa,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1383.8866471999845,1492.8126628052496,0.1412463095238085,2021-02-26,South Africa,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1349.9215049118386,1456.1702254816023,0.1412463095238085,2021-02-27,South Africa,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1391.6957630176803,1431.1401517639508,0.0505394642857138,2021-02-28,South Africa,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1491.3547837314095,1425.8413220653376,0.0505394642857138,2021-03-01,South Africa,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1634.5973966898116,1446.3620445889896,0.0505394642857138,2021-03-02,South Africa,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1819.83503447268,1498.5699865720608,0.0505394642857138,2021-03-03,South Africa,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2050.369086000488,1588.8086022891275,0.0505394642857138,2021-03-04,South Africa,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2331.9658265531825,1724.24848505387,0.0505394642857138,2021-03-05,South Africa,,Plan 1
