C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,3,2,2,2,0,1,4,2,3,2,0,1953.1229214665848,1596.7811519827908,43.01,2021-02-14,South Africa,,Plan 1
3,3,2,2,2,0,1,4,2,3,2,0,1766.2895375945373,1596.7811519827908,43.01,2021-02-15,South Africa,,Plan 1
3,3,2,2,2,0,1,4,2,3,2,0,1650.5880214799195,1596.7811519827908,43.01,2021-02-16,South Africa,,Plan 1
3,3,2,2,2,0,1,4,2,3,2,0,1561.8624992413504,1596.7811519827908,43.01,2021-02-17,South Africa,,Plan 1
3,3,2,2,2,0,1,4,2,3,2,0,1484.7394339937334,1596.7811519827908,43.01,2021-02-18,South Africa,,Plan 1
3,3,2,2,2,0,1,4,2,3,2,0,1413.7990041230275,1596.7811519827908,43.01,2021-02-19,South Africa,,Plan 1
3,3,2,2,2,0,1,4,2,3,2,0,1347.066645980383,1596.7811519827908,43.01,2021-02-20,South Africa,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,1314.8529203268447,1505.5997232485424,30.0,2021-02-21,South Africa,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,1304.8220582073718,1439.6757976218046,30.0,2021-02-22,South Africa,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,1307.0540849566535,1390.5995209756234,30.0,2021-02-23,South Africa,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,1317.4183025825484,1355.6789214529374,30.0,2021-02-24,South Africa,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,1333.8796445663768,1334.1275229633152,30.0,2021-02-25,South Africa,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,1355.2381581699026,1325.7616878271544,30.0,2021-02-26,South Africa,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,1380.685346945948,1330.5643593936634,30.0,2021-02-27,South Africa,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,1414.8496317077622,1344.8496038766518,28.0,2021-02-28,South Africa,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,1456.598415329245,1366.531940608348,28.0,2021-03-01,South Africa,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,1504.450971129389,1394.7314957758813,28.0,2021-03-02,South Africa,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,1557.6688091492395,1429.0529967139805,28.0,2021-03-03,South Africa,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,1615.829545884501,1469.331554045141,28.0,2021-03-04,South Africa,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,1678.6705623254966,1515.5361832102262,28.0,2021-03-05,South Africa,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,1746.0263115707403,1567.7277495851965,28.0,2021-03-06,South Africa,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,1830.40683353768,1627.0930641323273,24.0,2021-03-07,South Africa,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,1931.2356081495006,1694.898377392364,24.0,2021-03-08,South Africa,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,2046.4444439432111,1772.3260163657671,24.0,2021-03-09,South Africa,,Plan 1
