C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,2,2,0,0,4,2,3,2,0,2152.3430989997805,2248.7729546745586,30.0,2021-02-14,South Africa,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2132.629828032112,2248.7729546745586,30.0,2021-02-15,South Africa,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2168.5639854635656,2248.7729546745586,30.0,2021-02-16,South Africa,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2223.9417170157244,2248.7729546745586,30.0,2021-02-17,South Africa,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2286.955508350181,2248.7729546745586,30.0,2021-02-18,South Africa,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2353.778966894328,2248.7729546745586,30.0,2021-02-19,South Africa,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2423.197577966218,2248.7729546745586,30.0,2021-02-20,South Africa,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2494.8521909728092,2297.70282495642,30.0,2021-02-21,South Africa,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2568.66443882513,2359.993483641137,30.0,2021-02-22,South Africa,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2644.648864240516,2428.005609180701,30.0,2021-02-23,South Africa,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2722.8514443946915,2499.278427377696,30.0,2021-02-24,South Africa,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2803.32952556424,2573.046144122562,30.0,2021-02-25,South Africa,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2886.145222628287,2649.0984663702698,30.0,2021-02-26,South Africa,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2971.3633500095784,2727.4078623764644,30.0,2021-02-27,South Africa,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,3155.157981945381,2821.7372610868324,14.0,2021-02-28,South Africa,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,3430.7391888533043,2944.890796805142,14.0,2021-03-01,South Africa,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,3785.4326156162733,3107.859904144537,14.0,2021-03-02,South Africa,,Plan 1
