C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,4,2,3,2,0,3035.868375661963,3197.9660931793983,1.7391617357001965,2020-08-06,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,3014.921857039489,3197.9660931793983,1.7391617357001965,2020-08-07,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,3074.6600687105633,3197.9660931793983,1.7391617357001965,2020-08-08,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,3162.1201066019794,3197.9660931793983,1.7391617357001965,2020-08-09,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,3260.549147921275,3197.9660931793983,1.7391617357001965,2020-08-10,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,3364.692932894527,3197.9660931793983,1.7391617357001965,2020-08-11,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,3472.9501634259886,3197.9660931793983,1.7391617357001965,2020-08-12,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,3584.881193043493,3276.396495662473,1.7391617357001965,2020-08-13,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,3700.417008223844,3374.3243744030956,1.7391617357001965,2020-08-14,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,3819.608180928812,3480.7455332914174,1.7391617357001965,2020-08-15,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,3942.5451398382734,3592.2348237537453,1.7391617357001965,2020-08-16,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,4069.3328206608726,3707.7753484308296,1.7391617357001965,2020-08-17,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,4200.082725208438,3827.116747332817,1.7391617357001965,2020-08-18,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,4334.910399028326,3950.253923847437,1.7391617357001965,2020-08-19,Spain,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,4518.511463268379,4083.6296767367066,1.24680473372781,2020-08-20,Spain,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,4741.387053752218,4232.33968324076,1.24680473372781,2020-08-21,Spain,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,4997.298430494237,4400.581147464392,1.24680473372781,2020-08-22,Spain,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,5284.121331967648,4592.23488919716,1.24680473372781,2020-08-23,Spain,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,5601.3402276317665,4811.093090193001,1.24680473372781,2020-08-24,Spain,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,5949.193468275148,5060.966053488247,1.24680473372781,2020-08-25,Spain,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,6328.365855212432,5345.745404371689,1.24680473372781,2020-08-26,Spain,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,6733.47977044443,5662.169448253983,1.2899506903353049,2020-08-27,Spain,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,7164.055013500201,6008.264871075124,1.2899506903353049,2020-08-28,Spain,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,7622.687726772277,6383.320484829129,1.2899506903353049,2020-08-29,Spain,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,8111.329783081046,6787.207406416756,1.2899506903353049,2020-08-30,Spain,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,8631.813028058996,7220.132092192076,1.2899506903353049,2020-08-31,Spain,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,9186.01406888693,7682.535035136615,1.2899506903353049,2020-09-01,Spain,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,9775.907361959815,8175.040964671957,1.2899506903353049,2020-09-02,Spain,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,10413.365407522393,8700.738912825951,1.24680473372781,2020-09-03,Spain,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,11103.339447551674,9263.493831976162,1.24680473372781,2020-09-04,Spain,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,11846.53957462738,9866.901238812603,1.24680473372781,2020-09-05,Spain,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,12645.111890774238,10514.58439705449,1.24680473372781,2020-09-06,Spain,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,13501.83286778433,11210.301517015252,1.24680473372781,2020-09-07,Spain,,Plan 1
