C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
2,0,2,1,2,0,0,0,2,3,2,4,3562.779045426813,5636.169625637603,0.050539464285713806,2020-08-06,Spain,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,4045.9137400807294,5636.169625637603,0.050539464285713806,2020-08-07,Spain,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,4660.100778478898,5636.169625637603,0.050539464285713806,2020-08-08,Spain,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,5387.297521123412,5636.169625637603,0.050539464285713806,2020-08-09,Spain,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,6233.646542976828,5636.169625637603,0.050539464285713806,2020-08-10,Spain,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,7214.29994059726,5636.169625637603,0.050539464285713806,2020-08-11,Spain,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,8349.149810779272,5636.169625637603,0.050539464285713806,2020-08-12,Spain,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,9519.083398027387,6487.070247437684,0.1043117857142849,2020-08-13,Spain,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,10640.437781350838,7429.145110476272,0.1043117857142849,2020-08-14,Spain,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,11745.626163864184,8441.36302267417,0.1043117857142849,2020-08-15,Spain,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,12849.621381368834,9507.409288423514,0.1043117857142849,2020-08-16,Spain,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,13962.138890025624,10611.479623716199,0.1043117857142849,2020-08-17,Spain,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,15091.164302433464,11736.745961121373,0.1043117857142849,2020-08-18,Spain,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,16243.956908225913,12864.575546470891,0.1043117857142849,2020-08-19,Spain,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,17201.829631904246,13962.110722739017,0.14124630952380854,2020-08-20,Spain,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,18022.410726443923,15016.67828632374,0.14124630952380854,2020-08-21,Spain,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,18734.573333313856,16015.09931053084,0.14124630952380854,2020-08-22,Spain,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,19356.915687525037,16944.712782838866,0.14124630952380854,2020-08-23,Spain,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,19903.992421318268,17793.549001594958,0.14124630952380854,2020-08-24,Spain,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,20388.04714132564,18550.246550008123,0.14124630952380854,2020-08-25,Spain,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,20819.52798753523,19203.899561338032,0.14124630952380854,2020-08-26,Spain,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,21700.559786446334,19846.575297701183,0.0743296428571422,2020-08-27,Spain,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,22972.642438485374,20553.75125656425,0.0743296428571422,2020-08-28,Spain,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,24560.37819589492,21386.009094075827,0.0743296428571422,2020-08-29,Spain,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,26444.079224673987,22398.461027954247,0.0743296428571422,2020-08-30,Spain,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,28625.459027303346,23644.384828809263,0.0743296428571422,2020-08-31,Spain,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,31116.002408052853,25176.94986691315,0.0743296428571422,2020-09-01,Spain,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,33932.91580963898,27050.290984356543,0.0743296428571422,2020-09-02,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,36460.70453111437,29158.88309073769,0.1238653571428562,2020-09-03,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,38665.683556251184,31400.746107561376,0.1238653571428562,2020-09-04,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,40634.608450095526,33697.06471530432,0.1238653571428562,2020-09-05,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,42410.6028829506,35977.9966664867,0.1238653571428562,2020-09-06,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,44023.08708838217,38177.65781806938,0.1238653571428562,2020-09-07,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,45496.05629697497,40231.95123077255,0.1238653571428562,2020-09-08,Spain,,Plan 1
