C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,4,2,3,2,4,2999.115216612563,3052.2376642556624,0.1238653571428562,2020-08-06,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2943.051312120481,3052.2376642556624,0.1238653571428562,2020-08-07,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2967.7215591540826,3052.2376642556624,0.1238653571428562,2020-08-08,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3019.133210566373,3052.2376642556624,0.1238653571428562,2020-08-09,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3080.005299426443,3052.2376642556624,0.1238653571428562,2020-08-10,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3144.817866367008,3052.2376642556624,0.1238653571428562,2020-08-11,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3211.819185542685,3052.2376642556624,0.1238653571428562,2020-08-12,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3280.464975964684,3092.430487020251,0.1238653571428562,2020-08-13,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3350.597976435697,3150.651439065281,0.1238653571428562,2020-08-14,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3422.185173838186,3215.574812591582,0.1238653571428562,2020-08-15,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3495.23356676104,3283.58914919082,0.1238653571428562,2020-08-16,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3569.7632075015777,3353.554564630125,0.1238653571428562,2020-08-17,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3645.798509695948,3425.1232279628307,0.1238653571428562,2020-08-18,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3723.3655062811017,3498.201273782605,0.1238653571428562,2020-08-19,Spain,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,3855.9064192100896,3580.4071942462347,0.0955126785714278,2020-08-20,Spain,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,4030.389286489001,3677.520238539564,0.0955126785714278,2020-08-21,Spain,,Plan 1
