C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,3,2,4,2,3,0,4,2,3,2,1,23318.732448378843,17381.427253617945,3.4200788954635097,2021-01-18,Spain,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,20357.66015722298,17381.427253617945,3.4200788954635097,2021-01-19,Spain,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,18373.70291353028,17381.427253617945,3.4200788954635097,2021-01-20,Spain,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,16806.433170817352,17381.427253617945,3.4200788954635097,2021-01-21,Spain,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,15452.774391864305,17381.427253617945,3.4200788954635097,2021-01-22,Spain,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,14236.070420197073,17381.427253617945,3.4200788954635097,2021-01-23,Spain,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,13124.61727331479,17381.427253617945,3.4200788954635097,2021-01-24,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,12673.585522962705,15860.691978558496,1.7391617357001965,2021-01-25,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,12523.579987525696,14741.53766860174,1.7391617357001965,2021-01-26,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,12536.984761834872,13907.720789788113,1.7391617357001965,2021-01-27,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,12658.696986977073,13315.1870492395,1.7391617357001965,2021-01-28,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,12862.692405213398,12945.1753368608,1.7391617357001965,2021-01-29,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,13134.015236289142,12787.738882016809,1.7391617357001965,2021-01-30,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,13462.691237028095,12836.035162547285,1.7391617357001965,2021-01-31,Spain,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,13785.157922291291,12994.831219594224,1.9452761341222868,2021-02-01,Spain,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,14111.709061340945,13221.706801567832,1.9452761341222868,2021-02-02,Spain,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,14447.848886934473,13494.687390867775,1.9452761341222868,2021-02-03,Spain,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,14794.847231486565,13799.851711511987,1.9452761341222868,2021-02-04,Spain,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,15152.712289033101,14126.997409200516,1.9452761341222868,2021-02-05,Spain,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,15521.12976112765,14468.013769891731,1.9452761341222868,2021-02-06,Spain,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,15899.748649702664,14816.164828845242,1.9452761341222868,2021-02-07,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,16352.47433778929,15182.924316773522,1.7391617357001965,2021-02-08,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,16862.28391725871,15575.863581904634,1.7391617357001965,2021-02-09,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,17418.324692185128,16000.217268369017,1.7391617357001965,2021-02-10,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,18015.438282361065,16460.301704208232,1.7391617357001965,2021-02-11,Spain,,Plan 1
