,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,3,2,4,2,3,1,4,2,3,2,2,22863.890365314724,16169.795107884644,62.01,2021-01-18,Spain,,Plan 1
1,3,3,2,4,2,3,1,4,2,3,2,2,19539.596093887798,16169.795107884644,62.01,2021-01-19,Spain,,Plan 1
2,3,3,2,4,2,3,1,4,2,3,2,2,17274.30846634281,16169.795107884644,62.01,2021-01-20,Spain,,Plan 1
3,3,3,2,4,2,3,1,4,2,3,2,2,15489.96198630282,16169.795107884644,62.01,2021-01-21,Spain,,Plan 1
4,3,3,2,4,2,3,1,4,2,3,2,2,13969.731557311481,16169.795107884644,62.01,2021-01-22,Spain,,Plan 1
5,3,3,2,4,2,3,1,4,2,3,2,2,12627.265575898557,16169.795107884644,62.01,2021-01-23,Spain,,Plan 1
6,3,3,2,4,2,3,1,4,2,3,2,2,11423.811710134316,16169.795107884644,62.01,2021-01-24,Spain,,Plan 1
7,3,3,2,3,2,0,1,4,2,3,2,0,10629.14933885781,14421.97496124794,45.51,2021-01-25,Spain,,Plan 1
8,3,3,2,3,2,0,1,4,2,3,2,0,10032.371390676715,13063.800003646358,45.51,2021-01-26,Spain,,Plan 1
9,3,3,2,3,2,0,1,4,2,3,2,0,9547.683783660157,11959.996477548837,45.51,2021-01-27,Spain,,Plan 1
10,3,3,2,3,2,0,1,4,2,3,2,0,9136.137135283278,11052.307213117474,45.51,2021-01-28,Spain,,Plan 1
11,3,3,2,3,2,0,1,4,2,3,2,0,8777.05549699609,10310.496347358132,45.51,2021-01-29,Spain,,Plan 1
12,3,3,2,3,2,0,1,4,2,3,2,0,8457.683946562032,9714.841828881486,45.51,2021-01-30,Spain,,Plan 1
13,3,3,2,3,2,0,1,4,2,3,2,0,8169.284427224932,9249.909359894431,45.51,2021-01-31,Spain,,Plan 1
14,3,1,2,2,2,0,0,4,2,3,2,0,8076.3326628245995,8885.221263318259,33.67,2021-02-01,Spain,,Plan 1
15,3,1,2,2,2,0,0,4,2,3,2,0,8095.256845636494,8608.490614026798,33.67,2021-02-02,Spain,,Plan 1
16,3,1,2,2,2,0,0,4,2,3,2,0,8187.62691617352,8414.19677581442,33.67,2021-02-03,Spain,,Plan 1
17,3,1,2,2,2,0,0,4,2,3,2,0,8335.220998107401,8299.780184789295,33.67,2021-02-04,Spain,,Plan 1
18,3,1,2,2,2,0,0,4,2,3,2,0,8527.940724530947,8264.192360151417,33.67,2021-02-05,Spain,,Plan 1
19,3,1,2,2,2,0,0,4,2,3,2,0,8759.360984930234,8307.289079918304,33.67,2021-02-06,Spain,,Plan 1
20,3,1,2,2,2,0,0,4,2,3,2,0,9025.011173038547,8429.535757891677,33.67,2021-02-07,Spain,,Plan 1
21,3,0,2,2,0,0,0,4,2,3,2,0,9401.447580396354,8618.837888973356,28.0,2021-02-08,Spain,,Plan 1
22,3,0,2,2,0,0,0,4,2,3,2,0,9879.044607968945,8873.664712163707,28.0,2021-02-09,Spain,,Plan 1
23,3,0,2,2,0,0,0,4,2,3,2,0,10442.4735661424,9195.785662159262,28.0,2021-02-10,Spain,,Plan 1
24,3,0,2,2,0,0,0,4,2,3,2,0,11086.685708141862,9588.852049307041,28.0,2021-02-11,Spain,,Plan 1
25,3,0,2,2,0,0,0,4,2,3,2,0,11810.76089776146,10057.826359768544,28.0,2021-02-12,Spain,,Plan 1
26,3,0,2,2,0,0,0,4,2,3,2,0,12615.77697268482,10608.742929447772,28.0,2021-02-13,Spain,,Plan 1
27,3,0,2,2,0,0,0,4,2,3,2,0,13504.033145155356,11248.60321117874,28.0,2021-02-14,Spain,,Plan 1
28,3,0,2,2,2,0,1,4,2,3,2,0,14397.082369543736,11962.265323914082,32.0,2021-02-15,Spain,,Plan 1
29,3,0,2,2,2,0,1,4,2,3,2,0,15295.734316242897,12736.078139381789,32.0,2021-02-16,Spain,,Plan 1
30,3,0,2,2,2,0,1,4,2,3,2,0,16214.242671438597,13560.616582995532,32.0,2021-02-17,Spain,,Plan 1
31,3,0,2,2,2,0,1,4,2,3,2,0,17159.664166985916,14428.184934258968,32.0,2021-02-18,Spain,,Plan 1
32,3,0,2,2,2,0,1,4,2,3,2,0,18136.6838617471,15331.888214828346,32.0,2021-02-19,Spain,,Plan 1
33,3,0,2,2,2,0,1,4,2,3,2,0,19149.124673158858,16265.22360061035,32.0,2021-02-20,Spain,,Plan 1
34,3,0,2,2,2,0,1,4,2,3,2,0,20200.43145579357,17221.851930701527,32.0,2021-02-21,Spain,,Plan 1
35,3,0,2,2,0,0,0,4,2,3,2,0,21417.918025760166,18224.82845301816,28.0,2021-02-22,Spain,,Plan 1
36,3,0,2,2,0,0,0,4,2,3,2,0,22804.151353764515,19297.459458378387,28.0,2021-02-23,Spain,,Plan 1
37,3,0,2,2,0,0,0,4,2,3,2,0,24345.035524344145,20459.001294507754,28.0,2021-02-24,Spain,,Plan 1
38,3,0,2,2,0,0,0,4,2,3,2,0,26039.410060039314,21727.53642208681,28.0,2021-02-25,Spain,,Plan 1
39,3,0,2,2,0,0,0,4,2,3,2,0,27890.99322052776,23121.009187626907,28.0,2021-02-26,Spain,,Plan 1
40,3,0,2,2,0,0,0,4,2,3,2,0,29905.744682256875,24657.66918892662,28.0,2021-02-27,Spain,,Plan 1
41,3,0,2,2,0,0,0,4,2,3,2,0,32090.963629557787,26356.316642321508,28.0,2021-02-28,Spain,,Plan 1
42,3,0,2,2,0,0,0,4,2,3,2,0,34454.94755114313,28218.74943166193,28.0,2021-03-01,Spain,,Plan 1
43,3,0,2,2,0,0,0,4,2,3,2,0,37006.83566133733,30247.704332743764,28.0,2021-03-02,Spain,,Plan 1
44,3,0,2,2,0,0,0,4,2,3,2,0,39756.5145956626,32449.34420007497,28.0,2021-03-03,Spain,,Plan 1
45,3,0,2,2,0,0,0,4,2,3,2,0,42714.54481568452,34831.50630802429,28.0,2021-03-04,Spain,,Plan 1
46,3,0,2,2,0,0,0,4,2,3,2,0,45892.092230987204,37403.09188094706,28.0,2021-03-05,Spain,,Plan 1
47,3,0,2,2,0,0,0,4,2,3,2,0,49300.85750430845,40173.822284097296,28.0,2021-03-06,Spain,,Plan 1
48,3,0,2,2,0,0,0,4,2,3,2,0,52952.99891568746,43154.11303925867,28.0,2021-03-07,Spain,,Plan 1
49,3,2,2,2,2,0,1,4,2,3,2,0,55985.0504140455,46229.8420196733,39.34,2021-03-08,Spain,,Plan 1
50,3,2,2,2,2,0,1,4,2,3,2,0,58471.092958102374,49296.164490639734,39.34,2021-03-09,Spain,,Plan 1
51,3,2,2,2,2,0,1,4,2,3,2,0,60538.80502534035,52265.06312345084,39.34,2021-03-10,Spain,,Plan 1
52,3,2,2,2,2,0,1,4,2,3,2,0,62260.20084067007,55057.299698448776,39.34,2021-03-11,Spain,,Plan 1
53,3,2,2,2,2,0,1,4,2,3,2,0,63688.02557184317,57599.57588999963,39.34,2021-03-12,Spain,,Plan 1
54,3,2,2,2,2,0,1,4,2,3,2,0,64865.88220679932,59823.15084749832,39.34,2021-03-13,Spain,,Plan 1
55,3,2,2,2,2,0,1,4,2,3,2,0,65831.03085672589,61662.86969621809,39.34,2021-03-14,Spain,,Plan 1
56,3,2,2,2,2,0,1,4,2,3,2,0,66615.31467072434,63181.47887574365,39.34,2021-03-15,Spain,,Plan 1
57,3,2,2,2,2,0,1,4,2,3,2,0,67245.70929143007,64434.995494790455,39.34,2021-03-16,Spain,,Plan 1
58,3,2,2,2,2,0,1,4,2,3,2,0,67744.84652660055,65464.42999497049,39.34,2021-03-17,Spain,,Plan 1
59,3,2,2,2,2,0,1,4,2,3,2,0,68131.55629562767,66303.19505996443,39.34,2021-03-18,Spain,,Plan 1
60,3,2,2,2,2,0,1,4,2,3,2,0,68421.40537641416,66979.39217490314,39.34,2021-03-19,Spain,,Plan 1
61,3,3,2,4,2,3,2,4,2,3,2,4,22298.323908687198,14756.512983489345,78.00999999999999,2021-01-18,Spain,,Plan 2
62,3,3,2,4,2,3,2,4,2,3,2,4,18535.85374755851,14756.512983489345,78.00999999999999,2021-01-19,Spain,,Plan 2
63,3,3,2,4,2,3,2,4,2,3,2,4,15948.187688662169,14756.512983489345,78.00999999999999,2021-01-20,Spain,,Plan 2
64,3,3,2,4,2,3,2,4,2,3,2,4,13932.03142884243,14756.512983489345,78.00999999999999,2021-01-21,Spain,,Plan 2
65,3,3,2,4,2,3,2,4,2,3,2,4,12249.724341772198,14756.512983489345,78.00999999999999,2021-01-22,Spain,,Plan 2
66,3,3,2,4,2,3,2,4,2,3,2,4,10799.65831626937,14756.512983489345,78.00999999999999,2021-01-23,Spain,,Plan 2
67,3,3,2,4,2,3,2,4,2,3,2,4,9531.811452633541,14756.512983489345,78.00999999999999,2021-01-24,Spain,,Plan 2
