C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,3,2,4,2,0,1,4,2,3,2,1,24306.99607682337,20260.874977502044,49.01,2021-01-18,Spain,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,22168.277207795923,20260.874977502044,49.01,2021-01-19,Spain,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,20864.734643311465,20260.874977502044,49.01,2021-01-20,Spain,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,19868.207198312328,20260.874977502044,49.01,2021-01-21,Spain,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,18998.03909959085,20260.874977502044,49.01,2021-01-22,Spain,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,18191.936418877067,20260.874977502044,49.01,2021-01-23,Spain,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,17427.934197803308,20260.874977502044,49.01,2021-01-24,Spain,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,16697.824032886667,19173.8503997968,49.01,2021-01-25,Spain,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,15998.102768291066,18292.396908438965,49.01,2021-01-26,Spain,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,15326.889437015656,17501.27616468242,49.01,2021-01-27,Spain,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,14682.875032100636,16760.51442665218,49.01,2021-01-28,Spain,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,14064.96483919213,16055.789532309504,49.01,2021-01-29,Spain,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,13472.156162931184,15381.53521003152,49.01,2021-01-30,Spain,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,12903.49673963312,14735.187001721497,49.01,2021-01-31,Spain,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,12767.596965080533,14173.725992034902,30.0,2021-02-01,Spain,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,12881.875549949229,13728.550675128929,30.0,2021-02-02,Spain,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,13156.795841796711,13418.537304383362,30.0,2021-02-03,Spain,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,13553.997976624329,13257.269153601035,30.0,2021-02-04,Spain,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,14054.775465173765,13255.813528741268,30.0,2021-02-05,Spain,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,14648.717410858786,13423.893707016641,30.0,2021-02-06,Spain,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,15329.520977698188,13770.46859816879,30.0,2021-02-07,Spain,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,16093.316156370036,14245.571339781582,30.0,2021-02-08,Spain,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,16937.890520645495,14825.002049881045,30.0,2021-02-09,Spain,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,17862.26778315943,15497.212327218576,30.0,2021-02-10,Spain,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,18866.43944128334,16256.132536455578,30.0,2021-02-11,Spain,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,19951.180922308376,17098.476173189094,30.0,2021-02-12,Spain,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,21117.917502245928,18022.64761481583,30.0,2021-02-13,Spain,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,22368.623687532643,19028.233716220748,30.0,2021-02-14,Spain,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,23745.638898737998,20121.422679416173,29.0,2021-02-15,Spain,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,25252.101028708214,21309.16703771085,29.0,2021-02-16,Spain,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,26885.959125299516,22598.26580087372,29.0,2021-02-17,Spain,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,28649.59913888168,23995.860043387765,29.0,2021-02-18,Spain,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,30547.25018214645,25509.58422336463,29.0,2021-02-19,Spain,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,32584.116585425934,27147.61266381892,29.0,2021-02-20,Spain,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,34766.060796221165,28918.67510791728,29.0,2021-02-21,Spain,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,37099.463930160535,30826.3643981205,29.0,2021-02-22,Spain,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,39591.14448564459,32874.799177682835,29.0,2021-02-23,Spain,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,42248.295600997895,35069.418674211185,29.0,2021-02-24,Spain,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,45078.42724876256,37416.39411847988,29.0,2021-02-25,Spain,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,48089.30758629648,39922.40231907274,29.0,2021-02-26,Spain,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,51288.900548368176,42594.514313778775,29.0,2021-02-27,Spain,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,54685.29787984057,45440.119611438684,29.0,2021-02-28,Spain,,Plan 1
3,2,2,2,2,0,1,4,2,3,2,0,57468.94358084398,48350.04527582204,39.34,2021-03-01,Spain,,Plan 1
3,2,2,2,2,0,1,4,2,3,2,0,59734.45176278432,51227.66060112772,39.34,2021-03-02,Spain,,Plan 1
3,2,2,2,2,0,1,4,2,3,2,0,61606.308370444814,53993.090996762985,39.34,2021-03-03,Spain,,Plan 1
3,2,2,2,2,0,1,4,2,3,2,0,63154.90814936508,56575.44541113477,39.34,2021-03-04,Spain,,Plan 1
3,2,2,2,2,0,1,4,2,3,2,0,64431.127325311325,58909.99108813691,39.34,2021-03-05,Spain,,Plan 1
3,2,2,2,2,0,1,4,2,3,2,0,65476.33300263635,60936.76715303236,39.34,2021-03-06,Spain,,Plan 1
3,2,2,2,2,0,1,4,2,3,2,0,66325.39219551202,62599.637769556844,39.34,2021-03-07,Spain,,Plan 1
3,2,2,2,2,0,1,4,2,3,2,0,67007.79765390504,63962.33120856556,39.34,2021-03-08,Spain,,Plan 1
3,2,2,2,2,0,1,4,2,3,2,0,67548.34602071224,65078.60181684099,39.34,2021-03-09,Spain,,Plan 1
3,2,2,2,2,0,1,4,2,3,2,0,67967.7249766616,65987.3756177291,39.34,2021-03-10,Spain,,Plan 1
3,2,2,2,2,0,1,4,2,3,2,0,68283.07920832705,66719.9714832951,39.34,2021-03-11,Spain,,Plan 1
3,2,2,2,2,0,1,4,2,3,2,0,68508.54331656947,67302.45948204625,39.34,2021-03-12,Spain,,Plan 1
3,2,2,2,2,0,1,4,2,3,2,0,68655.72762805242,67756.65871424855,39.34,2021-03-13,Spain,,Plan 1
3,2,2,2,2,0,1,4,2,3,2,0,68734.14848387397,68100.76675544311,39.34,2021-03-14,Spain,,Plan 1
3,2,2,2,2,0,1,4,2,3,2,0,68751.60044638882,68349.88144008366,39.34,2021-03-15,Spain,,Plan 1
3,2,2,2,2,0,1,4,2,3,2,0,68714.47235338367,68516.47091617958,39.34,2021-03-16,Spain,,Plan 1
3,2,2,2,2,0,1,4,2,3,2,0,68628.01264165108,68610.79772546378,39.34,2021-03-17,Spain,,Plan 1
3,2,2,2,2,0,1,4,2,3,2,0,68496.54946963642,68641.29347707941,39.34,2021-03-18,Spain,,Plan 1
