C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,0,2,0,0,4,2,3,2,0,4688.739492419813,4369.407807361835,1.2899506903353049,2021-05-15,Spain,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,4455.985262928563,4369.407807361835,1.2899506903353049,2021-05-16,Spain,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,4362.250878783096,4369.407807361835,1.2899506903353049,2021-05-17,Spain,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,4314.441220749723,4369.407807361835,1.2899506903353049,2021-05-18,Spain,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,4281.822051095496,4369.407807361835,1.2899506903353049,2021-05-19,Spain,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,4254.247383497916,4369.407807361835,1.2899506903353049,2021-05-20,Spain,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,4228.368362058232,4369.407807361835,1.2899506903353049,2021-05-21,Spain,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,4218.8287031428135,4302.2776946079775,1.2036587771203149,2021-05-22,Spain,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,4217.719558073569,4268.239736771549,1.2036587771203149,2021-05-23,Spain,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,4221.778312032816,4248.172227235796,1.2036587771203149,2021-05-24,Spain,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,4229.419002561119,4236.026196065995,1.2036587771203149,2021-05-25,Spain,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,4239.72023605944,4230.011651060844,1.2036587771203149,2021-05-26,Spain,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,4252.066588167892,4229.70010887084,1.2036587771203149,2021-05-27,Spain,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,4266.010821453747,4235.077603070199,1.2036587771203149,2021-05-28,Spain,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,4303.65340040937,4247.195416965422,1.0644411571334644,2021-05-29,Spain,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,4360.956591517613,4267.657850314571,1.0644411571334644,2021-05-30,Spain,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,4431.980128957687,4297.686681303838,1.0644411571334644,2021-05-31,Spain,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,4513.758671744455,4338.306634044316,1.0644411571334644,2021-06-01,Spain,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,4604.52807211066,4390.422039194489,1.0644411571334644,2021-06-02,Spain,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,4703.09007581068,4454.853966000602,1.0644411571334644,2021-06-03,Spain,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,4808.56579726212,4532.361819687512,1.0644411571334644,2021-06-04,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,4949.989828715742,4624.695595159851,0.8389316239316235,2021-06-05,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,5130.55151450886,4734.637727015744,0.8389316239316235,2021-06-06,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,5341.868993900144,4864.621850578952,0.8389316239316235,2021-06-07,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,5580.412890928389,5017.001024748085,0.8389316239316235,2021-06-08,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,5844.542320753639,5194.145917411368,0.8389316239316235,2021-06-09,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,6133.476577156689,5398.486846175083,0.8389316239316235,2021-06-10,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,6446.915012340058,5632.53673404336,0.8389316239316235,2021-06-11,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,6784.880168077667,5894.663925380779,0.8389316239316235,2021-06-12,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,7147.641096240048,6182.819579913804,0.8389316239316235,2021-06-13,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,7535.669358656301,6496.219632021827,0.8389316239316235,2021-06-14,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,7949.610220858265,6834.676393440381,0.8389316239316235,2021-06-15,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,8390.262266792404,7198.350671445919,0.8389316239316235,2021-06-16,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,8858.56234756156,7587.648638646614,0.8389316239316235,2021-06-17,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,9355.574301435689,8003.171394231706,0.8389316239316235,2021-06-18,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,9882.480379680032,8445.685710174901,0.8389316239316235,2021-06-19,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,10440.574757701928,8916.104804669454,0.8389316239316235,2021-06-20,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,11031.25863265155,9415.474700954492,0.8389316239316235,2021-06-21,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,11656.036522154842,9944.964172568283,0.8389316239316235,2021-06-22,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,12316.513500497,10505.857205954657,0.8389316239316235,2021-06-23,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,13014.39317156204,11099.54732366901,0.8389316239316235,2021-06-24,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,13751.476117781112,11727.533297432645,0.8389316239316235,2021-06-25,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,14529.658718422548,12391.415917253003,0.8389316239316235,2021-06-26,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,15350.932202333615,13092.895552200387,0.8389316239316235,2021-06-27,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,16217.381827070549,13833.770294260246,0.8389316239316235,2021-06-28,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,17131.186013718776,14615.934507340808,0.8389316239316235,2021-06-29,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,18094.61537632025,15441.377632458412,0.8389316239316235,2021-06-30,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,19110.031538002146,16312.183113378427,0.8389316239316235,2021-07-01,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,20179.88562947236,17230.52732933432,0.8389316239316235,2021-07-02,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,21306.71635777264,18198.67842067005,0.8389316239316235,2021-07-03,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,22493.14756437106,19218.994900961112,0.8389316239316235,2021-07-04,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,23741.885145385688,20293.9239464347,0.8389316239316235,2021-07-05,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,25055.71347604584,21425.99929819571,0.8389316239316235,2021-07-06,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,26437.490063142028,22617.83853917025,0.8389316239316235,2021-07-07,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,27890.140559037,23872.13982788952,0.8389316239316235,2021-07-08,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,29416.651784701084,25191.677850065047,0.8389316239316235,2021-07-09,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,31020.063766376126,26579.298908436973,0.8389316239316235,2021-07-10,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,32703.460407331968,28037.91502885996,0.8389316239316235,2021-07-11,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,34469.95865352743,29570.496958594496,0.8389316239316235,2021-07-12,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,36322.696053361775,31180.06589821105,0.8389316239316235,2021-07-13,Spain,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,38264.81643232596,32869.68395095162,0.8389316239316235,2021-07-14,Spain,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,4688.739492419813,4369.407807361835,1.2899506903353049,2021-05-15,Spain,,Plan 2
3,0,2,0,2,0,0,4,2,3,2,0,4455.985262928563,4369.407807361835,1.2899506903353049,2021-05-16,Spain,,Plan 2
3,0,2,0,2,0,0,4,2,3,2,0,4362.250878783096,4369.407807361835,1.2899506903353049,2021-05-17,Spain,,Plan 2
3,0,2,0,2,0,0,4,2,3,2,0,4314.441220749723,4369.407807361835,1.2899506903353049,2021-05-18,Spain,,Plan 2
