C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,4,2,3,2,4,4463.86997921508,3631.643355485344,0.1238653571428562,2021-05-15,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,4033.036251806139,3631.643355485344,0.1238653571428562,2021-05-16,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3762.157147055335,3631.643355485344,0.1238653571428562,2021-05-17,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3552.173552704584,3631.643355485344,0.1238653571428562,2021-05-18,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3368.808813451087,3631.643355485344,0.1238653571428562,2021-05-19,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3200.026091476094,3631.643355485344,0.1238653571428562,2021-05-20,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3041.431652689091,3631.643355485344,0.1238653571428562,2021-05-21,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2891.2667378243395,3406.985749572381,0.1238653571428562,2021-05-22,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2748.688563643489,3223.507508406289,0.1238653571428562,2021-05-23,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2613.179967414944,3059.367911314804,0.1238653571428562,2021-05-24,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2484.3464284965407,2906.8211792850843,0.1238653571428562,2021-05-25,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2361.845833640873,2762.969325026482,0.1238653571428562,2021-05-26,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2245.363940673759,2626.5890177690053,0.1238653571428562,2021-05-27,Spain,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2134.6054992554414,2497.042424421341,0.1238653571428562,2021-05-28,Spain,,Plan 1
