C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,1,2,2,2,0,0,4,2,3,2,0,4527.35029330009,3828.807516194116,33.67,2021-05-15,Spain,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,4151.10006956176,3828.807516194116,33.67,2021-05-16,Spain,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,3927.358487439759,3828.807516194116,33.67,2021-05-17,Spain,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,3758.841485871999,3828.807516194116,33.67,2021-05-18,Spain,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,3612.422225464632,3828.807516194116,33.67,2021-05-19,Spain,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,3476.743374123848,3828.807516194116,33.67,2021-05-20,Spain,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,3347.8366775967256,3828.807516194116,33.67,2021-05-21,Spain,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,3294.0006861563647,3652.6147151735854,21.5,2021-05-22,Spain,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,3281.4674978253865,3528.381490639816,21.5,2021-05-23,Spain,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,3293.123527047,3437.7764962979936,21.5,2021-05-24,Spain,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,3321.412967372566,3375.286707940932,21.5,2021-05-25,Spain,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,3362.3678613750067,3339.564655928128,21.5,2021-05-26,Spain,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,3413.530589278836,3330.534258093126,21.5,2021-05-27,Spain,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,3473.1972870965315,3348.4429165930987,21.5,2021-05-28,Spain,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,3548.324225401097,3384.7748507709166,19.0,2021-05-29,Spain,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,3638.698030744851,3435.807784045127,19.0,2021-05-30,Spain,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,3741.1530296110964,3499.811998697141,19.0,2021-05-31,Spain,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,3854.0482548087566,3575.902754045168,19.0,2021-06-01,Spain,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,3976.3917206770866,3663.62044823118,19.0,2021-06-02,Spain,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,4107.521192831421,3762.7619630244053,19.0,2021-06-03,Spain,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,4246.975391166213,3873.301692177217,19.0,2021-06-04,Spain,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,4394.4333722551855,3994.1744274420867,19.0,2021-06-05,Spain,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,4549.680489808712,4124.3147787369235,19.0,2021-06-06,Spain,,Plan 1
