,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,2,4,2,0,0,4,2,3,2,4,3207.273298896961,2586.509974461152,0.12386535714285621,2021-03-05,Sweden,,Plan 1
1,3,0,2,4,2,0,0,4,2,3,2,4,2855.7997201965527,2586.509974461152,0.12386535714285621,2021-03-06,Sweden,,Plan 1
2,3,0,2,4,2,0,0,4,2,3,2,4,2654.5501435510882,2586.509974461152,0.12386535714285621,2021-03-07,Sweden,,Plan 1
3,3,0,2,4,2,0,0,4,2,3,2,4,2512.3435640108924,2586.509974461152,0.12386535714285621,2021-03-08,Sweden,,Plan 1
4,3,0,2,4,2,0,0,4,2,3,2,4,2394.9711208032645,2586.509974461152,0.12386535714285621,2021-03-09,Sweden,,Plan 1
5,3,0,2,4,2,0,0,4,2,3,2,4,2289.532537586591,2586.509974461152,0.12386535714285621,2021-03-10,Sweden,,Plan 1
6,3,0,2,4,2,0,0,4,2,3,2,4,2191.0994361827156,2586.509974461152,0.12386535714285621,2021-03-11,Sweden,,Plan 1
7,3,0,2,4,2,0,0,4,2,3,2,4,2097.7285907193163,2428.003587578631,0.12386535714285621,2021-03-12,Sweden,,Plan 1
8,3,0,2,4,2,0,0,4,2,3,2,4,2008.596735224194,2306.9745897254375,0.12386535714285621,2021-03-13,Sweden,,Plan 1
9,3,0,2,4,2,0,0,4,2,3,2,4,1923.3028973067628,2202.5106974048194,0.12386535714285621,2021-03-14,Sweden,,Plan 1
10,3,0,2,4,2,0,0,4,2,3,2,4,1841.6074016527027,2106.6912456393634,0.12386535714285621,2021-03-15,Sweden,,Plan 1
11,3,0,2,4,2,0,0,4,2,3,2,4,1763.3341367513672,2016.457390774807,0.12386535714285621,2021-03-16,Sweden,,Plan 1
12,3,0,2,4,2,0,0,4,2,3,2,4,1688.3339573076992,1930.5718793063938,0.12386535714285621,2021-03-17,Sweden,,Plan 1
13,3,0,2,4,2,0,0,4,2,3,2,4,1616.470833676803,1848.4820789484063,0.12386535714285621,2021-03-18,Sweden,,Plan 1
14,3,0,2,4,2,0,0,4,2,3,2,4,1547.6166302914899,1769.8946560301454,0.12386535714285621,2021-03-19,Sweden,,Plan 1
15,3,0,2,4,2,0,0,4,2,3,2,4,1481.6490517157883,1694.6164155289448,0.12386535714285621,2021-03-20,Sweden,,Plan 1
