C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,0,2,0,0,4,2,3,2,0,3367.412297151556,3125.0649377260247,1.2899506903353049,2021-03-05,Sweden,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3160.5559202874183,3125.0649377260247,1.2899506903353049,2021-03-06,Sweden,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3089.4806604627947,3125.0649377260247,1.2899506903353049,2021-03-07,Sweden,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3067.057166635116,3125.0649377260247,1.2899506903353049,2021-03-08,Sweden,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3061.97206388312,3125.0649377260247,1.2899506903353049,2021-03-09,Sweden,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3062.970448559147,3125.0649377260247,1.2899506903353049,2021-03-10,Sweden,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3066.00600710302,3125.0649377260247,1.2899506903353049,2021-03-11,Sweden,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3069.6234774545587,3082.523677769311,1.2899506903353049,2021-03-12,Sweden,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3073.298934091389,3070.0583940270208,1.2899506903353049,2021-03-13,Sweden,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3076.8432741665865,3068.2530531275625,1.2899506903353049,2021-03-14,Sweden,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3080.1878465009577,3070.128864536968,1.2899506903353049,2021-03-15,Sweden,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3083.3073235612046,3073.1767587766944,1.2899506903353049,2021-03-16,Sweden,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3086.1920014617194,3076.4941234770617,1.2899506903353049,2021-03-17,Sweden,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3088.8378535605684,3079.7558158281404,1.2899506903353049,2021-03-18,Sweden,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,3101.449212641977,3084.302349426343,1.2036587771203149,2021-03-19,Sweden,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,3120.116172453644,3090.9905263352366,1.2036587771203149,2021-03-20,Sweden,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,3142.677428110967,3100.3954054701485,1.2036587771203149,2021-03-21,Sweden,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,3168.031765472215,3112.9445367517574,1.2036587771203149,2021-03-22,Sweden,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,3195.5239076274274,3128.975477332646,1.2036587771203149,2021-03-23,Sweden,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,3224.709501389534,3148.763691608048,1.2036587771203149,2021-03-24,Sweden,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,3255.2601298980817,3172.5383025134065,1.2036587771203149,2021-03-25,Sweden,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3276.5873530618624,3197.5580368591045,1.2899506903353049,2021-03-26,Sweden,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3292.171198563537,3222.137326303375,1.2899506903353049,2021-03-27,Sweden,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3303.969742389823,3245.1790854860687,1.2899506903353049,2021-03-28,Sweden,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3312.986834073749,3265.8869524291445,1.2899506903353049,2021-03-29,Sweden,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3319.827082351376,3283.64454881828,1.2899506903353049,2021-03-30,Sweden,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3324.904572521553,3297.9581304085686,1.2899506903353049,2021-03-31,Sweden,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3328.526520874602,3308.424757690929,1.2899506903353049,2021-04-01,Sweden,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3330.930665598661,3316.188088053329,1.2899506903353049,2021-04-02,Sweden,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3332.304739013002,3321.9214509746807,1.2899506903353049,2021-04-03,Sweden,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3332.798374730369,3326.039827023331,1.2899506903353049,2021-04-04,Sweden,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3332.531343767676,3328.831899836748,1.2899506903353049,2021-04-05,Sweden,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3331.5997141059747,3330.51370437312,1.2899506903353049,2021-04-06,Sweden,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3330.080647857245,3331.253143706791,1.2899506903353049,2021-04-07,Sweden,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,3328.0361965834754,3331.1830973794868,1.2899506903353049,2021-04-08,Sweden,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,3331.062492521513,3331.201929797037,1.24680473372781,2021-04-09,Sweden,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,3336.855888655023,3331.8520940316107,1.24680473372781,2021-04-10,Sweden,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,3344.3673468664038,3333.5048043367583,1.24680473372781,2021-04-11,Sweden,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,3353.0442072150136,3336.4352134006645,1.24680473372781,2021-04-12,Sweden,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,3362.547127050437,3340.8562723927307,1.24680473372781,2021-04-13,Sweden,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,3372.6409619478773,3346.9363172628205,1.24680473372781,2021-04-14,Sweden,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,3383.1499403913067,3354.809709235368,1.24680473372781,2021-04-15,Sweden,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,3432.397634214249,3369.286158048616,0.9252235371466134,2021-04-16,Sweden,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,3516.7044882814757,3394.9788151381085,0.9252235371466134,2021-04-17,Sweden,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,3625.0459361552143,3435.0757564650817,0.9252235371466134,2021-04-18,Sweden,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,3752.571650905939,3492.1511055637848,0.9252235371466134,2021-04-19,Sweden,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,3896.877803545961,3568.48405934886,0.9252235371466134,2021-04-20,Sweden,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,4056.614623643279,3666.194582448204,0.9252235371466134,2021-04-21,Sweden,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,4230.9522257167655,3787.309194637555,0.9252235371466134,2021-04-22,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,4428.462749337819,3929.60421108378,0.8389316239316235,2021-04-23,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,4649.804194670442,4091.4755977107743,0.8389316239316235,2021-04-24,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,4892.717001428739,4272.571464178421,0.8389316239316235,2021-04-25,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,5156.420066727702,4473.121237867244,0.8389316239316235,2021-04-26,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,5440.760860158467,4693.675960240459,0.8389316239316235,2021-04-27,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,5745.898439556276,4935.002219656602,0.8389316239316235,2021-04-28,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,6072.178159384049,5198.034495894784,0.8389316239316235,2021-04-29,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,6420.076393101828,5482.550730718214,0.8389316239316235,2021-04-30,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,6790.171685741729,5788.317515156969,0.8389316239316235,2021-05-01,Sweden,,Plan 1
