C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,1,2,3,2,4,3464.7290474249835,3467.767355310006,0.0867135714285707,2021-03-05,Sweden,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,3343.4900195594123,3467.767355310006,0.0867135714285707,2021-03-06,Sweden,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,3352.97984323888,3467.767355310006,0.0867135714285707,2021-03-07,Sweden,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,3409.800916298017,3467.767355310006,0.0867135714285707,2021-03-08,Sweden,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,3484.4628443622632,3467.767355310006,0.0867135714285707,2021-03-09,Sweden,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,3566.543453655628,3467.767355310006,0.0867135714285707,2021-03-10,Sweden,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,3652.36536263086,3467.767355310006,0.0867135714285707,2021-03-11,Sweden,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,3740.636808399284,3507.1827497349072,0.0867135714285707,2021-03-12,Sweden,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,3830.909367374845,3576.8140851371118,0.0867135714285707,2021-03-13,Sweden,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,3923.032307406289,3658.250151446741,0.0867135714285707,2021-03-14,Sweden,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,4016.959466223215,3744.987087150341,0.0867135714285707,2021-03-15,Sweden,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,4112.680840909459,3834.732515228511,0.0867135714285707,2021-03-16,Sweden,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,4210.1983565344735,3926.683215639775,0.0867135714285707,2021-03-17,Sweden,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,4309.517200969076,4020.562049688092,0.0867135714285707,2021-03-18,Sweden,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,4454.255417638268,4122.50756529366,0.063575178571428,2021-03-19,Sweden,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,4644.704093278265,4238.7639547084345,0.063575178571428,2021-03-20,Sweden,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,4869.252734025068,4373.938301368261,0.063575178571428,2021-03-21,Sweden,,Plan 1
