C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,2,2,0,0,4,2,3,2,0,3306.594534785837,2911.102052022832,30.0,2021-03-05,Sweden,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,3043.7543655758086,2911.102052022832,30.0,2021-03-06,Sweden,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2920.880185899593,2911.102052022832,30.0,2021-03-07,Sweden,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2849.326207786833,2911.102052022832,30.0,2021-03-08,Sweden,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2796.767440497352,2911.102052022832,30.0,2021-03-09,Sweden,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2751.416505277309,2911.102052022832,30.0,2021-03-10,Sweden,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2708.9751243370924,2911.102052022832,30.0,2021-03-11,Sweden,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2667.8763008906344,2819.8565900378026,30.0,2021-03-12,Sweden,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2627.54901930573,2760.3986834277916,30.0,2021-03-13,Sweden,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2587.785380505856,2712.8137112286863,30.0,2021-03-14,Sweden,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2548.5098308398833,2669.839943093408,30.0,2021-03-15,Sweden,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2509.694935328944,2628.829585212207,30.0,2021-03-16,Sweden,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2471.3306764555578,2588.8173239519565,30.0,2021-03-17,Sweden,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,2433.4132620144464,2549.45134362015,30.0,2021-03-18,Sweden,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,2445.849454273717,2517.7332226748763,16.5,2021-03-19,Sweden,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,2495.526369007653,2498.8728440608647,16.5,2021-03-20,Sweden,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,2569.221757857856,2496.220897968294,16.5,2021-03-21,Sweden,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,2661.378509720747,2512.344994951275,16.5,2021-03-22,Sweden,,Plan 1
