,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,2,4,2,0,0,4,2,3,2,4,3426.520356147342,2554.960302239181,0.12386535714285621,2020-11-13,Sweden,,Plan 1
1,3,0,2,4,2,0,0,4,2,3,2,4,2993.61481144083,2554.960302239181,0.12386535714285621,2020-11-14,Sweden,,Plan 1
2,3,0,2,4,2,0,0,4,2,3,2,4,2702.21884639699,2554.960302239181,0.12386535714285621,2020-11-15,Sweden,,Plan 1
3,3,0,2,4,2,0,0,4,2,3,2,4,2471.262782093464,2554.960302239181,0.12386535714285621,2020-11-16,Sweden,,Plan 1
4,3,0,2,4,2,0,0,4,2,3,2,4,2271.4817230348617,2554.960302239181,0.12386535714285621,2020-11-17,Sweden,,Plan 1
5,3,0,2,4,2,0,0,4,2,3,2,4,2091.845556937886,2554.960302239181,0.12386535714285621,2020-11-18,Sweden,,Plan 1
6,3,0,2,4,2,0,0,4,2,3,2,4,1927.7780396228945,2554.960302239181,0.12386535714285621,2020-11-19,Sweden,,Plan 1
7,3,0,2,4,2,0,0,0,2,3,2,4,1833.1901031088148,2327.3416946622488,0.0743296428571422,2020-11-20,Sweden,,Plan 1
8,3,0,2,4,2,0,0,0,2,3,2,4,1771.632533375554,2152.7727977957807,0.0743296428571422,2020-11-21,Sweden,,Plan 1
9,3,0,2,4,2,0,0,0,2,3,2,4,1728.5184177170254,2013.6727365557856,0.0743296428571422,2020-11-22,Sweden,,Plan 1
10,3,0,2,4,2,0,0,0,2,3,2,4,1697.3089895834496,1903.1079090543553,0.0743296428571422,2020-11-23,Sweden,,Plan 1
11,3,0,2,4,2,0,0,0,2,3,2,4,1674.5485491983363,1817.8317413634231,0.0743296428571422,2020-11-24,Sweden,,Plan 1
12,3,0,2,4,2,0,0,0,2,3,2,4,1658.0976491395104,1755.8677545350836,0.0743296428571422,2020-11-25,Sweden,,Plan 1
13,3,0,2,4,2,0,0,0,2,3,2,4,1646.4787684763073,1715.6821443712854,0.0743296428571422,2020-11-26,Sweden,,Plan 1
14,3,0,2,1,2,0,0,0,2,3,2,4,1649.4231686918622,1689.4297251688638,0.06357517857142801,2020-11-27,Sweden,,Plan 1
15,3,0,2,1,2,0,0,0,2,3,2,4,1661.5865972220217,1673.7088771469305,0.06357517857142801,2020-11-28,Sweden,,Plan 1
16,3,0,2,1,2,0,0,0,2,3,2,4,1680.4259738378034,1666.8385280213274,0.06357517857142801,2020-11-29,Sweden,,Plan 1
17,3,0,2,1,2,0,0,0,2,3,2,4,1704.5117858612923,1667.8674989181618,0.06357517857142801,2020-11-30,Sweden,,Plan 1
18,3,0,2,1,2,0,0,0,2,3,2,4,1732.9147288753604,1676.2055245863082,0.06357517857142801,2020-12-01,Sweden,,Plan 1
19,3,0,2,1,2,0,0,0,2,3,2,4,1764.9699521389668,1691.4729964433734,0.06357517857142801,2020-12-02,Sweden,,Plan 1
