,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,2,0,2,2,0,0,0,4,2,3,2,0,3673.7956155131837,3316.0600179297326,23.0,2020-11-13,Sweden,,Plan 1
1,2,0,2,2,0,0,0,4,2,3,2,0,3452.6746549861364,3316.0600179297326,23.0,2020-11-14,Sweden,,Plan 1
2,2,0,2,2,0,0,0,4,2,3,2,0,3343.034625128271,3316.0600179297326,23.0,2020-11-15,Sweden,,Plan 1
3,2,0,2,2,0,0,0,4,2,3,2,0,3270.813933107412,3316.0600179297326,23.0,2020-11-16,Sweden,,Plan 1
4,2,0,2,2,0,0,0,4,2,3,2,0,3211.4268250662863,3316.0600179297326,23.0,2020-11-17,Sweden,,Plan 1
5,2,0,2,2,0,0,0,4,2,3,2,0,3156.7123288852645,3316.0600179297326,23.0,2020-11-18,Sweden,,Plan 1
6,2,0,2,2,0,0,0,4,2,3,2,0,3103.9621428215723,3316.0600179297326,23.0,2020-11-19,Sweden,,Plan 1
7,2,0,1,0,2,0,0,4,2,3,2,0,3089.4121952704086,3232.5766721807645,16.5,2020-11-20,Sweden,,Plan 1
8,2,0,1,0,2,0,0,4,2,3,2,0,3094.440647381548,3181.4003853801087,16.5,2020-11-21,Sweden,,Plan 1
9,2,0,1,0,2,0,0,4,2,3,2,0,3111.4887891659855,3148.3224088140682,16.5,2020-11-22,Sweden,,Plan 1
10,2,0,1,0,2,0,0,4,2,3,2,0,3136.988958979182,3129.2045553671783,16.5,2020-11-23,Sweden,,Plan 1
11,2,0,1,0,2,0,0,4,2,3,2,0,3168.9274034559617,3123.133209422846,16.5,2020-11-24,Sweden,,Plan 1
12,2,0,1,0,2,0,0,4,2,3,2,0,3205.984358711135,3130.1720708265416,16.5,2020-11-25,Sweden,,Plan 1
13,2,0,1,0,2,0,0,4,2,3,2,0,3247.209464616265,3150.635973940069,16.5,2020-11-26,Sweden,,Plan 1
14,2,0,1,0,2,0,0,4,2,3,2,0,3291.8827856219164,3179.5603439902843,16.5,2020-11-27,Sweden,,Plan 1
15,2,0,1,0,2,0,0,4,2,3,2,0,3339.4444070957634,3214.5608810923154,16.5,2020-11-28,Sweden,,Plan 1
16,2,0,1,0,2,0,0,4,2,3,2,0,3389.4524137037743,3254.2699703119993,16.5,2020-11-29,Sweden,,Plan 1
17,2,0,1,0,2,0,0,4,2,3,2,0,3441.55468482614,3297.779359718708,16.5,2020-11-30,Sweden,,Plan 1
18,2,0,1,0,2,0,0,4,2,3,2,0,3495.468621454749,3344.4281051471066,16.5,2020-12-01,Sweden,,Plan 1
19,2,0,1,0,2,0,0,4,2,3,2,0,3550.9659935299783,3393.7111958355126,16.5,2020-12-02,Sweden,,Plan 1
20,2,0,1,0,2,0,0,4,2,3,2,0,3607.861386726007,3445.232898994047,16.5,2020-12-03,Sweden,,Plan 1
21,1,0,1,1,2,0,0,4,2,3,2,0,3681.6269809981213,3500.9106411906473,14.0,2020-12-04,Sweden,,Plan 1
22,1,0,1,1,2,0,0,4,2,3,2,0,3769.107015560652,3562.291013828489,14.0,2020-12-05,Sweden,,Plan 1
23,1,0,1,1,2,0,0,4,2,3,2,0,3867.0311221563675,3630.516543607431,14.0,2020-12-06,Sweden,,Plan 1
24,1,0,1,1,2,0,0,4,2,3,2,0,3973.757400047621,3706.5455029247855,14.0,2020-12-07,Sweden,,Plan 1
25,1,0,1,1,2,0,0,4,2,3,2,0,4088.297261882134,3791.2353087001256,14.0,2020-12-08,Sweden,,Plan 1
26,1,0,1,1,2,0,0,4,2,3,2,0,4209.97143820707,3885.378943653996,14.0,2020-12-09,Sweden,,Plan 1
27,1,0,1,1,2,0,0,4,2,3,2,0,4338.278003074135,3989.7241745608712,14.0,2020-12-10,Sweden,,Plan 1
28,1,0,1,1,2,0,0,4,2,3,2,0,4472.833843790641,4102.753726388374,14.0,2020-12-11,Sweden,,Plan 1
29,1,0,1,1,2,0,0,4,2,3,2,0,4613.343322568943,4223.358913103845,14.0,2020-12-12,Sweden,,Plan 1
30,1,0,1,1,2,0,0,4,2,3,2,0,4759.578340837577,4350.865658629732,14.0,2020-12-13,Sweden,,Plan 1
31,1,0,1,1,2,0,0,4,2,3,2,0,4911.364036939965,4484.8094639000665,14.0,2020-12-14,Sweden,,Plan 1
32,1,0,1,1,2,0,0,4,2,3,2,0,5068.567830246837,4624.848116523595,14.0,2020-12-15,Sweden,,Plan 1
33,1,0,1,1,2,0,0,4,2,3,2,0,5231.090732330188,4770.722301398327,14.0,2020-12-16,Sweden,,Plan 1
34,1,0,1,1,2,0,0,4,2,3,2,0,5398.860302748965,4922.2340584947315,14.0,2020-12-17,Sweden,,Plan 1
35,1,0,1,1,2,0,0,4,2,3,2,0,5571.824872952627,5079.232776946444,14.0,2020-12-18,Sweden,,Plan 1
36,1,0,1,1,2,0,0,4,2,3,2,0,5749.948777792788,5241.604984835563,14.0,2020-12-19,Sweden,,Plan 1
37,1,0,1,1,2,0,0,4,2,3,2,0,5933.2083450883,5409.266414014239,14.0,2020-12-20,Sweden,,Plan 1
38,1,0,1,1,2,0,0,4,2,3,2,0,6121.588511792467,5582.155624707453,14.0,2020-12-21,Sweden,,Plan 1
39,1,0,1,1,2,0,0,4,2,3,2,0,6315.079966495625,5760.228787028709,14.0,2020-12-22,Sweden,,Plan 1
40,1,0,1,1,2,0,0,4,2,3,2,0,6513.676680149915,5943.4553510029555,14.0,2020-12-23,Sweden,,Plan 1
