,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,2,4,2,0,0,4,2,3,2,4,284.84649672422995,224.40219874792996,0.12386535714285621,2020-07-12,Sweden,,Plan 1
1,3,0,2,4,2,0,0,4,2,3,2,4,254.29779201976487,224.40219874792996,0.12386535714285621,2020-07-13,Sweden,,Plan 1
2,3,0,2,4,2,0,0,4,2,3,2,4,234.39489531639006,224.40219874792996,0.12386535714285621,2020-07-14,Sweden,,Plan 1
3,3,0,2,4,2,0,0,4,2,3,2,4,218.72845256469566,224.40219874792996,0.12386535714285621,2020-07-15,Sweden,,Plan 1
4,3,0,2,4,2,0,0,4,2,3,2,4,205.0518537603905,224.40219874792996,0.12386535714285621,2020-07-16,Sweden,,Plan 1
5,3,0,2,4,2,0,0,4,2,3,2,4,192.55784980038058,224.40219874792996,0.12386535714285621,2020-07-17,Sweden,,Plan 1
6,3,0,2,4,2,0,0,4,2,3,2,4,180.93805104965801,224.40219874792996,0.12386535714285621,2020-07-18,Sweden,,Plan 1
7,3,0,2,1,2,0,0,0,2,3,2,4,174.71669983517518,208.66937062092214,0.06357517857142801,2020-07-19,Sweden,,Plan 1
8,3,0,2,1,2,0,0,0,2,3,2,4,171.59920339289272,196.85528653136893,0.06357517857142801,2020-07-20,Sweden,,Plan 1
9,3,0,2,1,2,0,0,0,2,3,2,4,170.240827738382,187.69041973451064,0.06357517857142801,2020-07-21,Sweden,,Plan 1
10,3,0,2,1,2,0,0,0,2,3,2,4,170.04751741524075,180.7360004274457,0.06357517857142801,2020-07-22,Sweden,,Plan 1
11,3,0,2,1,2,0,0,0,2,3,2,4,170.70925530310834,175.82991493354822,0.06357517857142801,2020-07-23,Sweden,,Plan 1
12,3,0,2,1,2,0,0,0,2,3,2,4,172.0361071162362,172.89823740724188,0.06357517857142801,2020-07-24,Sweden,,Plan 1
13,3,0,2,1,2,0,0,0,2,3,2,4,173.8978731048701,171.89249770084362,0.06357517857142801,2020-07-25,Sweden,,Plan 1
14,3,0,2,4,2,0,0,0,2,3,2,4,175.76219402143937,172.04185401316707,0.0743296428571422,2020-07-26,Sweden,,Plan 1
15,3,0,2,4,2,0,0,0,2,3,2,4,177.30053483405405,172.85632993333297,0.0743296428571422,2020-07-27,Sweden,,Plan 1
16,3,0,2,4,2,0,0,0,2,3,2,4,178.67568187756336,174.0613090960732,0.0743296428571422,2020-07-28,Sweden,,Plan 1
17,3,0,2,4,2,0,0,0,2,3,2,4,179.95310002278165,175.47639232572186,0.0743296428571422,2020-07-29,Sweden,,Plan 1
18,3,0,2,4,2,0,0,0,2,3,2,4,181.1636988657382,176.96988426324043,0.0743296428571422,2020-07-30,Sweden,,Plan 1
19,3,0,2,4,2,0,0,0,2,3,2,4,182.3250969949958,178.43973996020605,0.0743296428571422,2020-07-31,Sweden,,Plan 1
20,3,0,2,4,2,0,0,0,2,3,2,4,183.44903546625991,179.80419172611892,0.0743296428571422,2020-08-01,Sweden,,Plan 1
21,3,0,2,4,2,0,0,0,2,3,2,4,184.54412968913118,181.0587539643606,0.0743296428571422,2020-08-02,Sweden,,Plan 1
22,3,0,2,4,2,0,0,0,2,3,2,4,185.6170190594344,182.24682313941494,0.0743296428571422,2020-08-03,Sweden,,Plan 1
23,3,0,2,4,2,0,0,0,2,3,2,4,186.6729370071054,183.38928815792093,0.0743296428571422,2020-08-04,Sweden,,Plan 1
24,3,0,2,4,2,0,0,0,2,3,2,4,187.7160505962708,184.49828109699084,0.0743296428571422,2020-08-05,Sweden,,Plan 1
25,3,0,2,4,2,0,0,0,2,3,2,4,188.74969337726142,185.58199459863698,0.0743296428571422,2020-08-06,Sweden,,Plan 1
26,3,0,2,4,2,0,0,0,2,3,2,4,189.7765379231556,186.64648615980266,0.0743296428571422,2020-08-07,Sweden,,Plan 1
27,3,0,2,4,2,0,0,0,2,3,2,4,190.79872920382894,187.6964424080268,0.0743296428571422,2020-08-08,Sweden,,Plan 1
28,2,0,2,1,2,0,0,0,2,3,2,4,192.841600118524,188.8817953265115,0.050539464285713806,2020-08-09,Sweden,,Plan 1
29,2,0,2,1,2,0,0,0,2,3,2,4,196.4454031609479,190.42870734101345,0.050539464285713806,2020-08-10,Sweden,,Plan 1
30,2,0,2,1,2,0,0,0,2,3,2,4,201.14036444967064,192.49548268995133,0.050539464285713806,2020-08-11,Sweden,,Plan 1
31,2,0,2,1,2,0,0,0,2,3,2,4,206.71021119111128,195.20893420349995,0.050539464285713806,2020-08-12,Sweden,,Plan 1
32,2,0,2,1,2,0,0,0,2,3,2,4,213.0370857452847,198.67856168464616,0.050539464285713806,2020-08-13,Sweden,,Plan 1
33,2,0,2,1,2,0,0,0,2,3,2,4,220.04716191962888,203.0029365412852,0.050539464285713806,2020-08-14,Sweden,,Plan 1
34,2,0,2,1,2,0,0,0,2,3,2,4,227.69025302181072,208.27315422956832,0.050539464285713806,2020-08-15,Sweden,,Plan 1
35,2,0,2,1,2,0,0,0,2,3,2,4,235.93121648724465,214.42881371081413,0.050539464285713806,2020-08-16,Sweden,,Plan 1
36,2,0,2,1,2,0,0,0,2,3,2,4,244.74569630935147,221.32885558915748,0.050539464285713806,2020-08-17,Sweden,,Plan 1
37,2,0,2,1,2,0,0,0,2,3,2,4,254.1176355823651,228.8970371795424,0.050539464285713806,2020-08-18,Sweden,,Plan 1
38,2,0,2,1,2,0,0,0,2,3,2,4,264.0376108371252,237.08666570040154,0.050539464285713806,2020-08-19,Sweden,,Plan 1
39,2,0,2,1,2,0,0,0,2,3,2,4,274.5016397900624,245.86731627822695,0.050539464285713806,2020-08-20,Sweden,,Plan 1
40,2,0,2,1,2,0,0,0,2,3,2,4,285.5102795125191,255.21919022006838,0.050539464285713806,2020-08-21,Sweden,,Plan 1
41,2,0,2,1,2,0,0,0,2,3,2,4,297.0679314425283,265.13028713731376,0.050539464285713806,2020-08-22,Sweden,,Plan 1
42,2,0,2,1,2,0,0,0,2,3,2,4,309.1822973719389,275.59472726369864,0.050539464285713806,2020-08-23,Sweden,,Plan 1
43,2,0,2,1,2,0,0,0,2,3,2,4,321.86395062165866,286.61162073688536,0.050539464285713806,2020-08-24,Sweden,,Plan 1
44,2,0,2,1,2,0,0,0,2,3,2,4,335.12599736352786,298.18424384848004,0.050539464285713806,2020-08-25,Sweden,,Plan 1
45,2,0,2,1,2,0,0,0,2,3,2,4,348.9838081341982,310.3194148909191,0.050539464285713806,2020-08-26,Sweden,,Plan 1
46,2,0,2,1,2,0,0,0,2,3,2,4,363.45480523485236,323.0270099544605,0.050539464285713806,2020-08-27,Sweden,,Plan 1
47,2,0,2,1,2,0,0,0,2,3,2,4,378.5582968445506,336.3195838590364,0.050539464285713806,2020-08-28,Sweden,,Plan 1
48,2,0,2,1,2,0,0,0,2,3,2,4,394.31534660106234,350.212071738827,0.050539464285713806,2020-08-29,Sweden,,Plan 1
49,0,0,0,0,0,0,0,0,0,0,0,0,418.667392791725,365.8527996559393,0.0,2020-08-30,Sweden,,Plan 1
50,0,0,0,0,0,0,0,0,0,0,0,0,459.3151836151201,385.4886900835766,0.0,2020-08-31,Sweden,,Plan 1
51,0,0,0,0,0,0,0,0,0,0,0,0,514.0597848295176,411.0506597215752,0.0,2020-09-01,Sweden,,Plan 1
52,0,0,0,0,0,0,0,0,0,0,0,0,583.524261043036,444.556438708552,0.0,2020-09-02,Sweden,,Plan 1
