C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
1,0,2,0,0,0,0,4,2,3,2,0,312.8757828124145,317.47671968532444,0.8389316239316235,2020-07-12,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,306.71693523591165,317.47671968532444,0.8389316239316235,2020-07-13,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,308.94512060461096,317.47671968532444,0.8389316239316235,2020-07-14,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,313.9944591764428,317.47671968532444,0.8389316239316235,2020-07-15,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,320.0513337070944,317.47671968532444,0.8389316239316235,2020-07-16,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,326.5259029894912,317.47671968532444,0.8389316239316235,2020-07-17,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,333.2275032713055,317.47671968532444,0.8389316239316235,2020-07-18,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,340.0956897077905,321.3652778132353,0.8389316239316235,2020-07-19,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,347.11251374019463,327.13607474241854,0.8389316239316235,2020-07-20,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,354.2739207020269,333.611617613478,0.8389316239316235,2020-07-21,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,361.5804161499968,340.4096114668428,0.8389316239316235,2020-07-22,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,369.03402393197007,347.40713864182504,0.8389316239316235,2020-07-23,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,376.6372954619345,354.5659089950313,0.8389316239316235,2020-07-24,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,384.3929807985533,361.8752629274952,0.8389316239316235,2020-07-25,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,402.4951858497472,370.7894766620605,0.0,2020-07-26,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,437.8882563166197,383.757439887264,0.0,2020-07-27,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,487.240198574049,402.7526224404101,0.0,2020-07-28,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,550.7094689607078,429.7710585562259,0.0,2020-07-29,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,629.8775744009788,467.0344229089415,0.0,2020-07-30,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,727.1567741227193,517.1086341461963,0.0,2020-07-31,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,845.6640640940808,583.0045031884148,0.0,2020-08-01,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,989.2524344347332,666.8269672719841,0.0,2020-08-02,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1162.607358375844,770.3582675661589,0.0,2020-08-03,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1371.3830989686471,896.6643961939587,0.0,2020-08-04,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1622.3737700415063,1049.7592963483582,0.0,2020-08-05,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1923.720831654772,1234.594047384615,0.0,2020-08-06,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,2285.1614105553026,1457.166138303555,0.0,2020-08-07,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,2718.323035971882,1724.6888485718123,0.0,2020-08-08,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,3240.611472410038,2046.3115682825703,0.8389316239316235,2020-08-09,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,3727.717969969436,2412.755941367369,0.8389316239316235,2020-08-10,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,4182.212818114994,2814.3030441025617,0.8389316239316235,2020-08-11,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,4602.670847196293,3240.059769410388,0.8389316239316235,2020-08-12,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,4988.336296495337,3677.861978673325,0.8389316239316235,2020-08-13,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,5340.036615744303,4114.272722271754,0.8389316239316235,2020-08-14,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,5659.927008686952,4534.50186123105,0.8389316239316235,2020-08-15,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,5950.986280636816,4921.698262406304,0.8389316239316235,2020-08-16,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,6216.56338753893,5277.247607773375,0.8389316239316235,2020-08-17,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,6460.047940065311,5602.65262519485,0.8389316239316235,2020-08-18,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,6684.660172426557,5900.0796716563145,0.8389316239316235,2020-08-19,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,6893.334154739678,6172.22222283408,0.8389316239316235,2020-08-20,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,7088.665257957583,6422.026314578833,0.8389316239316235,2020-08-21,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,7272.900224535047,6652.45105969999,0.8389316239316235,2020-08-22,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,7447.951801775515,6866.303277005519,0.8389316239316235,2020-08-23,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,7615.42706162374,7066.140944731917,0.8389316239316235,2020-08-24,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,7776.661143337443,7254.228545199367,0.8389316239316235,2020-08-25,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,7932.752311307629,7432.527422182376,0.8389316239316235,2020-08-26,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,8084.595453065031,7602.707607657428,0.8389316239316235,2020-08-27,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,8232.912699833745,7766.17152792545,0.8389316239316235,2020-08-28,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,8378.280616919652,7924.083012551821,0.8389316239316235,2020-08-29,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,8521.153800649874,8077.397583819586,0.8389316239316235,2020-08-30,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,8661.885116319982,8226.891591633337,0.8389316239316235,2020-08-31,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,8800.742842686837,8373.188977254678,0.8389316239316235,2020-09-01,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,8937.925077997836,8516.78508678185,0.8389316239316235,2020-09-02,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,9073.571801907408,8658.06742233076,0.8389316239316235,2020-09-03,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,9207.774916274262,8797.333453250834,0.8389316239316235,2020-09-04,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,9340.586552282582,8934.805729731252,0.8389316239316235,2020-09-05,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,9472.025994326586,9070.644614542212,0.8389316239316235,2020-09-06,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,9602.085414453017,9204.958942846932,0.8389316239316235,2020-09-07,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,9730.734585130143,9337.814906053118,0.8389316239316235,2020-09-08,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,9857.924806894209,9469.2434387526,0.8389316239316235,2020-09-09,Sweden,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,9983.592172083763,9599.246348777797,0.8389316239316235,2020-09-10,Sweden,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,309.4734993631853,306.14606575620604,0.9252235371466134,2020-07-12,Sweden,,Plan 2
1,0,2,0,2,0,0,4,2,3,2,0,300.5670551583498,306.14606575620604,0.9252235371466134,2020-07-13,Sweden,,Plan 2
1,0,2,0,2,0,0,4,2,3,2,0,300.2276147024769,306.14606575620604,0.9252235371466134,2020-07-14,Sweden,,Plan 2
1,0,2,0,2,0,0,4,2,3,2,0,302.7196676215385,306.14606575620604,0.9252235371466134,2020-07-15,Sweden,,Plan 2
1,0,2,0,2,0,0,4,2,3,2,0,306.16893939177965,306.14606575620604,0.9252235371466134,2020-07-16,Sweden,,Plan 2
1,0,2,0,2,0,0,4,2,3,2,0,309.9631535425215,306.14606575620604,0.9252235371466134,2020-07-17,Sweden,,Plan 2
1,0,2,0,2,0,0,4,2,3,2,0,313.9025305135908,306.14606575620604,0.9252235371466134,2020-07-18,Sweden,,Plan 2
1,0,2,0,2,0,0,4,2,3,2,0,317.9221170135708,307.35301113483257,0.9252235371466134,2020-07-19,Sweden,,Plan 2
1,0,2,0,2,0,0,4,2,3,2,0,322.00102566324364,310.41500692124595,0.9252235371466134,2020-07-20,Sweden,,Plan 2
1,0,2,0,2,0,0,4,2,3,2,0,326.1327793778784,314.1157447320176,0.9252235371466134,2020-07-21,Sweden,,Plan 2
1,0,2,0,2,0,0,4,2,3,2,0,330.3156102164141,318.0580222455713,0.9252235371466134,2020-07-22,Sweden,,Plan 2
1,0,2,0,2,0,0,4,2,3,2,0,334.54929276979306,322.1123584424303,0.9252235371466134,2020-07-23,Sweden,,Plan 2
1,0,2,0,2,0,0,4,2,3,2,0,338.8341080803928,326.23678051926913,0.9252235371466134,2020-07-24,Sweden,,Plan 2
1,0,2,0,2,0,0,4,2,3,2,0,343.1705063529427,330.41791992489084,0.9252235371466134,2020-07-25,Sweden,,Plan 2
