C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,3,2,0,0,2,2,3,2,4,297.3861170029195,264.2433100111337,0.0955126785714278,2020-07-12,Sweden,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,277.79198532405195,264.2433100111337,0.0955126785714278,2020-07-13,Sweden,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,267.4793558430899,264.2433100111337,0.0955126785714278,2020-07-14,Sweden,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,260.34836718433195,264.2433100111337,0.0955126785714278,2020-07-15,Sweden,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,254.35784111125855,264.2433100111337,0.0955126785714278,2020-07-16,Sweden,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,248.82372806627282,264.2433100111337,0.0955126785714278,2020-07-17,Sweden,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,243.5157755460111,264.2433100111337,0.0955126785714278,2020-07-18,Sweden,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,238.3555034680912,255.8103652204439,0.0955126785714278,2020-07-19,Sweden,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,233.3152066352161,249.45653969346742,0.0955126785714278,2020-07-20,Sweden,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,228.38418706427552,243.87151558220813,0.0955126785714278,2020-07-21,Sweden,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,223.55746129389723,238.61567188357463,0.0955126785714278,2020-07-22,Sweden,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,218.83198210511063,233.54054916841068,0.0955126785714278,2020-07-23,Sweden,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,214.2053787462439,228.59507069412084,0.0955126785714278,2020-07-24,Sweden,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,209.67553091884048,223.76075003309643,0.0955126785714278,2020-07-25,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,213.77644801928204,220.24945639755225,0.0,2020-07-26,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,228.42565036225207,219.5509483585574,0.0,2020-07-27,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,250.75381170190428,222.7466090210758,0.0,2020-07-28,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,280.41763681240883,230.86949123800602,0.0,2020-07-29,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,318.0256207014756,245.04001103748672,0.0,2020-07-30,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,364.67739714687286,266.536013666148,0.0,2020-07-31,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,421.85093860682434,296.8467861930029,0.0,2020-08-01,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,491.4020000447071,336.50757933949217,0.0,2020-08-02,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,575.6061394883808,386.10479207179617,0.0,2020-08-03,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,677.2238784873733,447.02908732686325,0.0,2020-08-04,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,799.5848024278549,521.195825271927,0.0,2020-08-05,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,946.6910751894817,611.0051759130707,0.0,2020-08-06,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1123.342693124854,719.3859324813537,0.0,2020-08-07,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1335.287799424076,849.8769125981039,0.0,2020-08-08,Sweden,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1591.1007724334793,1006.9767372250716,0.050539464285713806,2020-08-09,Sweden,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1837.7838199400296,1187.2878344324495,0.050539464285713806,2020-08-10,Sweden,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2077.4261701265204,1387.3167332380424,0.050539464285713806,2020-08-11,Sweden,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2309.8976225455544,1603.0757075405706,0.050539464285713806,2020-08-12,Sweden,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2535.011490305895,1829.9786239857726,0.050539464285713806,2020-08-13,Sweden,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2753.037965464288,2062.792234319977,0.050539464285713806,2020-08-14,Sweden,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2964.694485468093,2295.5646180405515,0.050539464285713806,2020-08-15,Sweden,,Plan 1
