,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,2,2,2,0,0,4,2,3,2,0,291.22735209474064,244.00074781518717,30.0,2020-07-12,Sweden,,Plan 1
1,3,0,2,2,2,0,0,4,2,3,2,0,266.16825155823045,244.00074781518717,30.0,2020-07-13,Sweden,,Plan 1
2,3,0,2,2,2,0,0,4,2,3,2,0,250.9671707506819,244.00074781518717,30.0,2020-07-14,Sweden,,Plan 1
3,3,0,2,2,2,0,0,4,2,3,2,0,239.38034834121152,244.00074781518717,30.0,2020-07-15,Sweden,,Plan 1
4,3,0,2,2,2,0,0,4,2,3,2,0,229.27707762775145,244.00074781518717,30.0,2020-07-16,Sweden,,Plan 1
5,3,0,2,2,2,0,0,4,2,3,2,0,219.92370315435838,244.00074781518717,30.0,2020-07-17,Sweden,,Plan 1
6,3,0,2,2,2,0,0,4,2,3,2,0,211.06133117933575,244.00074781518717,30.0,2020-07-18,Sweden,,Plan 1
7,1,0,2,2,1,0,0,4,2,3,2,0,205.80557577198556,231.79763691193645,19.0,2020-07-19,Sweden,,Plan 1
8,1,0,2,2,1,0,0,4,2,3,2,0,202.400903236979,222.68801572318625,19.0,2020-07-20,Sweden,,Plan 1
9,1,0,2,2,1,0,0,4,2,3,2,0,200.1043786027295,215.42190255919303,19.0,2020-07-21,Sweden,,Plan 1
10,1,0,2,2,1,0,0,4,2,3,2,0,198.55898885965192,209.59027977611308,19.0,2020-07-22,Sweden,,Plan 1
11,1,0,2,2,1,0,0,4,2,3,2,0,197.5624222284555,205.0596147190708,19.0,2020-07-23,Sweden,,Plan 1
12,1,0,2,2,1,0,0,4,2,3,2,0,196.98316504162568,201.7823949886804,19.0,2020-07-24,Sweden,,Plan 1
13,1,0,2,2,1,0,0,4,2,3,2,0,196.72786759443906,199.73475733369517,19.0,2020-07-25,Sweden,,Plan 1
14,2,0,1,0,2,0,0,4,2,3,2,0,197.065825015782,198.48622151138036,16.5,2020-07-26,Sweden,,Plan 1
15,2,0,1,0,2,0,0,4,2,3,2,0,198.10087831189585,197.87193223636854,16.5,2020-07-27,Sweden,,Plan 1
16,2,0,1,0,2,0,0,4,2,3,2,0,199.62271631490586,197.80312333810798,16.5,2020-07-28,Sweden,,Plan 1
17,2,0,1,0,2,0,0,4,2,3,2,0,201.51708934652106,198.22570912194644,16.5,2020-07-29,Sweden,,Plan 1
