C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,2,2,0,0,4,2,3,2,0,291.22735209474064,244.0007478151872,30.0,2020-07-12,Sweden,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,266.16825155823045,244.0007478151872,30.0,2020-07-13,Sweden,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,250.9671707506819,244.0007478151872,30.0,2020-07-14,Sweden,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,239.38034834121154,244.0007478151872,30.0,2020-07-15,Sweden,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,229.27707762775142,244.0007478151872,30.0,2020-07-16,Sweden,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,219.9237031543584,244.0007478151872,30.0,2020-07-17,Sweden,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,211.06133117933567,244.0007478151872,30.0,2020-07-18,Sweden,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,205.8055757719856,231.79763691193645,19.0,2020-07-19,Sweden,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,202.400903236979,222.68801572318625,19.0,2020-07-20,Sweden,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,200.1043786027295,215.42190255919303,19.0,2020-07-21,Sweden,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,198.55898885965192,209.59027977611308,19.0,2020-07-22,Sweden,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,197.56242222845552,205.05961471907082,19.0,2020-07-23,Sweden,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,196.98316504162568,201.7823949886804,19.0,2020-07-24,Sweden,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,196.72786759443906,199.73475733369517,19.0,2020-07-25,Sweden,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,197.06582501578202,198.48622151138042,16.5,2020-07-26,Sweden,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,198.10087831189583,197.87193223636848,16.5,2020-07-27,Sweden,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,199.62271631490586,197.80312333810798,16.5,2020-07-28,Sweden,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,201.51708934652103,198.22570912194644,16.5,2020-07-29,Sweden,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,203.71118670842426,199.10410404765625,16.5,2020-07-30,Sweden,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,206.15333626823897,200.414128508601,16.5,2020-07-31,Sweden,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,208.80463253219463,202.1393806425661,16.5,2020-08-01,Sweden,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,211.6349136573752,204.22067901993657,16.5,2020-08-02,Sweden,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,214.62047016533995,206.58062071328567,16.5,2020-08-03,Sweden,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,217.74254595305197,209.16916780444942,16.5,2020-08-04,Sweden,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,220.98626721951038,211.9504789291622,16.5,2020-08-05,Sweden,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,224.339836863628,214.89742895133406,16.5,2020-08-06,Sweden,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,227.7939133751964,217.98893996661374,16.5,2020-08-07,Sweden,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,231.34112408258144,221.2084387595262,16.5,2020-08-08,Sweden,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,235.42494511274415,224.6070146817217,14.0,2020-08-09,Sweden,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,240.32296396920063,228.2787995108447,14.0,2020-08-10,Sweden,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,245.8253647331482,232.29063076514416,14.0,2020-08-11,Sweden,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,251.8307234435977,236.69698165429952,14.0,2020-08-12,Sweden,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,258.2803843698776,241.5456312980494,14.0,2020-08-13,Sweden,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,265.1354891973255,246.88014212978214,14.0,2020-08-14,Sweden,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,272.3683140749949,252.74116927155552,14.0,2020-08-15,Sweden,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,279.9585382106441,259.1031111426841,14.0,2020-08-16,Sweden,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,287.8913175397352,265.89859022418904,14.0,2020-08-17,Sweden,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,296.1560981825685,273.08869500267764,14.0,2020-08-18,Sweden,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,304.7457850929761,280.6479895240174,14.0,2020-08-19,Sweden,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,313.6561158702933,288.55880830979106,14.0,2020-08-20,Sweden,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,322.88517214796815,296.80876301702574,14.0,2020-08-21,Sweden,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,332.4329903722149,305.38943105948573,14.0,2020-08-22,Sweden,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,342.3012490108643,314.2955326023744,14.0,2020-08-23,Sweden,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,352.4930174881062,323.5243468807131,14.0,2020-08-24,Sweden,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,363.0125516874315,333.07526880997915,14.0,2020-08-25,Sweden,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,373.86512801932673,342.9494606566008,14.0,2020-08-26,Sweden,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,385.0569096871957,353.1495740590154,14.0,2020-08-27,Sweden,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,396.5948383714758,363.67952637665934,14.0,2020-08-28,Sweden,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,408.4865457139151,374.54431999690223,14.0,2020-08-29,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,430.1586477876306,387.09537696501167,0.0,2020-08-30,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,469.2354872341674,403.7728726430204,0.0,2020-08-31,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,522.8867270935788,426.6120405581843,0.0,2020-09-01,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,591.5092491991905,457.7040578695933,0.0,2020-09-02,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,676.8782270972533,499.3928174996017,0.0,2020-09-03,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,781.6143958189273,554.3956114206661,0.0,2020-09-04,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,909.0771579559264,625.9085560266678,0.0,2020-09-05,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1063.4059526586059,716.3724567225215,0.0,2020-09-06,Sweden,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1249.6258124506576,827.8567888963057,0.0,2020-09-07,Sweden,,Plan 1
