C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,4,2,3,2,4,843.1318630722412,596.0354066375204,0.1238653571428562,2020-12-08,Tunisia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,715.0539329183514,596.0354066375204,0.1238653571428562,2020-12-09,Tunisia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,631.8287285860972,596.0354066375204,0.1238653571428562,2020-12-10,Tunisia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,568.6739242290153,596.0354066375204,0.1238653571428562,2020-12-11,Tunisia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,515.9055729168193,596.0354066375204,0.1238653571428562,2020-12-12,Tunisia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,469.60182573676383,596.0354066375204,0.1238653571428562,2020-12-13,Tunisia,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,428.0519990033542,596.0354066375204,0.1238653571428562,2020-12-14,Tunisia,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,399.6540055715526,532.6814269945648,0.08671357142857071,2020-12-15,Tunisia,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,377.72914618023987,484.4921717462631,0.08671357142857071,2020-12-16,Tunisia,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,359.49558515627814,445.58743697057474,0.08671357142857071,2020-12-17,Tunisia,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,343.68182805358373,413.44570894551316,0.08671357142857071,2020-12-18,Tunisia,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,329.62029047442286,386.83352573945643,0.08671357142857071,2020-12-19,Tunisia,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,316.9058116981731,365.01980944822924,0.08671357142857071,2020-12-20,Tunisia,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,305.2635562959158,347.4786033471666,0.08671357142857071,2020-12-21,Tunisia,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,298.28866660257387,332.9978406373125,0.06357517857142801,2020-12-22,Tunisia,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,293.9282362364458,321.02628207391336,0.06357517857142801,2020-12-23,Tunisia,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,291.2391323865818,311.275360249671,0.06357517857142801,2020-12-24,Tunisia,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,289.7314176288244,303.56815876041964,0.06357517857142801,2020-12-25,Tunisia,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,289.1124481850025,297.7813241476453,0.06357517857142801,2020-12-26,Tunisia,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,289.1856525930131,293.8213014183367,0.06357517857142801,2020-12-27,Tunisia,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,289.8082974676745,291.6134073000165,0.06357517857142801,2020-12-28,Tunisia,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,286.4934893181149,289.9283819736653,0.0955126785714278,2020-12-29,Tunisia,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,281.0064150043976,288.0824075119441,0.0955126785714278,2020-12-30,Tunisia,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,274.18929908313925,285.64671704002376,0.0955126785714278,2020-12-31,Tunisia,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,266.5209921300384,282.33094196876857,0.0955126785714278,2021-01-01,Tunisia,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,258.31433373108683,277.9312113324949,0.0955126785714278,2021-01-02,Tunisia,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,249.79120234589988,272.3034327257645,0.0955126785714278,2021-01-03,Tunisia,,Plan 1
3,0,2,3,2,0,0,2,2,3,2,4,241.11499170831718,265.3472461887134,0.0955126785714278,2021-01-04,Tunisia,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,236.128329508686,258.15222335879497,0.06357517857142801,2021-01-05,Tunisia,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,233.13855720826226,251.31395795934708,0.06357517857142801,2021-01-06,Tunisia,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,231.38929361184532,245.199671463448,0.06357517857142801,2021-01-07,Tunisia,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,230.5011411768195,240.05397847013097,0.06357517857142801,2021-01-08,Tunisia,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,230.25514560448215,236.0455230234732,0.06357517857142801,2021-01-09,Tunisia,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,230.50787836210785,233.29076245436002,0.06357517857142801,2021-01-10,Tunisia,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,231.1566523607968,231.8681425475714,0.06357517857142801,2021-01-11,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,233.60415631980743,231.5075463777316,0.050539464285713806,2021-01-12,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,237.32213333337523,232.10520010989063,0.050539464285713806,2021-01-13,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,241.9692181487871,233.6166179008823,0.050539464285713806,2021-01-14,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,247.3677273854314,236.02613021639831,0.050539464285713806,2021-01-15,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,253.410496375479,239.33403746939786,0.050539464285713806,2021-01-16,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,260.0250802103915,243.55078059058116,0.050539464285713806,2021-01-17,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,267.1590794348356,248.693984458301,0.050539464285713806,2021-01-18,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,274.7734135589762,254.57530692103938,0.050539464285713806,2021-01-19,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,282.8387417661808,261.0776795542973,0.050539464285713806,2021-01-20,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,291.3332576601158,268.1296851987729,0.050539464285713806,2021-01-21,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,300.241157086449,275.68303229891825,0.050539464285713806,2021-01-22,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,309.5515100306328,283.7031771067974,0.050539464285713806,2021-01-23,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,319.25738770547923,292.1649353203814,0.050539464285713806,2021-01-24,Tunisia,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,329.355176259519,301.05009200962184,0.050539464285713806,2021-01-25,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,351.5843419012073,312.02308177279775,0.0,2021-01-26,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,389.5739295160456,327.27096573706416,0.0,2021-01-27,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,441.08803824406823,348.66450582048583,0.0,2021-01-28,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,506.9292141952871,378.1913711217484,0.0,2021-01-29,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,589.2648405773573,418.15041834270914,0.0,2021-01-30,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,691.1581956445731,471.27910519115113,0.0,2021-01-31,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,816.5090762890218,540.8725194810801,0.0,2021-02-01,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,970.1449079082784,629.2383146249474,0.0,2021-02-02,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1157.9836399047847,739.0111303947673,0.0,2021-02-03,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1387.2485483101755,874.1769175470682,0.0,2021-02-04,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1666.734509131375,1039.8633882522238,0.0,2021-02-05,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,2007.132289432363,1242.415880945796,0.0,2021-02-06,Tunisia,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,770.1530628242633,422.9220786309242,0.4745260714285701,2020-12-08,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,585.9170685986803,422.9220786309242,0.4745260714285701,2020-12-09,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,463.52487750375525,422.9220786309242,0.4745260714285701,2020-12-10,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,374.70193199372886,422.9220786309242,0.4745260714285701,2020-12-11,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,306.36530514249415,422.9220786309242,0.4745260714285701,2020-12-12,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,251.96031072437543,422.9220786309242,0.4745260714285701,2020-12-13,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,207.83199362917188,422.9220786309242,0.4745260714285701,2020-12-14,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,171.6885708200836,337.4271512017557,0.4745260714285701,2020-12-15,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,141.93712456660617,274.0014449114593,0.4745260714285701,2020-12-16,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,117.3853083328212,224.5529350298973,0.4745260714285701,2020-12-17,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,97.098626171768,184.89531991247438,0.4745260714285701,2020-12-18,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,80.32545293883028,152.6039124548081,0.4745260714285701,2020-12-19,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,66.45284849709307,126.1028464223392,0.4745260714285701,2020-12-20,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,54.97739046477256,104.2664745417107,0.4745260714285701,2020-12-21,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,45.484103609036424,86.23726494013252,0.4745260714285701,2020-12-22,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,37.6302940061962,71.33628914578823,0.4745260714285701,2020-12-23,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,31.132698834173826,59.014487788838615,0.4745260714285701,2020-12-24,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,25.75707191924979,48.82283718133602,0.4745260714285701,2020-12-25,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,21.309657230008654,40.39200922293293,0.4745260714285701,2020-12-26,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,17.63017168305053,33.41734110664114,0.4745260714285701,2020-12-27,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,14.586014874657696,27.64714459376759,0.4745260714285701,2020-12-28,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,12.067484892012,22.87334191990695,0.4745260714285701,2020-12-29,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,9.983822773164224,18.923846029473818,0.4745260714285701,2020-12-30,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,8.259941006708878,15.656309196978825,0.4745260714285701,2020-12-31,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,6.8337173331215,12.952972827531926,0.4745260714285701,2021-01-01,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,5.653755983345548,10.716415506580054,0.4745260714285701,2021-01-02,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,4.677535540671612,8.866038914811636,0.4745260714285701,2021-01-03,Tunisia,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,3.8698766280935217,7.335162022445327,0.4745260714285701,2021-01-04,Tunisia,,Plan 2
