C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
1,0,2,0,2,0,0,4,2,3,2,0,926.4808901869859,857.4861840043698,0.9252235371466134,2020-12-08,Tunisia,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,871.3182620230177,857.4861840043698,0.9252235371466134,2020-12-09,Tunisia,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,850.9610895870607,857.4861840043698,0.9252235371466134,2020-12-10,Tunisia,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,842.8529648807573,857.4861840043698,0.9252235371466134,2020-12-11,Tunisia,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,839.0503137093217,857.4861840043698,0.9252235371466134,2020-12-12,Tunisia,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,836.7557224130952,857.4861840043698,0.9252235371466134,2020-12-13,Tunisia,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,834.9840452303508,857.4861840043698,0.9252235371466134,2020-12-14,Tunisia,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,833.3884013397858,844.1872570261984,0.9252235371466134,2020-12-15,Tunisia,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,831.8466877780687,838.5484607054914,0.9252235371466134,2020-12-16,Tunisia,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,830.3159650294904,835.5991571972671,0.9252235371466134,2020-12-17,Tunisia,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,828.7811839369012,833.5889027767163,0.9252235371466134,2020-12-18,Tunisia,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,827.2371083822434,831.9013020157051,0.9252235371466134,2020-12-19,Tunisia,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,825.6819676540234,830.3193370501233,0.9252235371466134,2020-12-20,Tunisia,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,824.1152092923743,828.7666462018408,0.9252235371466134,2020-12-21,Tunisia,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,824.8575164786572,827.5479483645371,0.8389316239316235,2020-12-22,Tunisia,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,826.9245698271965,826.8447886572694,0.8389316239316235,2020-12-23,Tunisia,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,829.8687587908428,826.7809020517482,0.8389316239316235,2020-12-24,Tunisia,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,833.4532555753714,827.4483408572441,0.8389316239316235,2020-12-25,Tunisia,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,837.5318732088538,828.9190215467598,0.8389316239316235,2020-12-26,Tunisia,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,842.0031231722902,831.2506151922265,0.8389316239316235,2020-12-27,Tunisia,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,846.7913294157837,834.4900609241423,0.8389316239316235,2020-12-28,Tunisia,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,851.8378883189142,838.3443997584646,0.8389316239316235,2020-12-29,Tunisia,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,857.0965532607518,842.6546831061154,0.8389316239316235,2020-12-30,Tunisia,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,862.5304834140603,847.3206437665751,0.8389316239316235,2020-12-31,Tunisia,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,868.1101881659192,852.2716341366532,0.8389316239316235,2021-01-01,Tunisia,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,873.8119928892944,857.4545083767163,0.8389316239316235,2021-01-02,Tunisia,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,879.616853784157,862.8278984641258,0.8389316239316235,2021-01-03,Tunisia,,Plan 1
1,0,2,0,0,0,0,4,2,3,2,0,885.509428386185,868.3590554598975,0.8389316239316235,2021-01-04,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,931.3106069977707,879.7123009854483,0.0,2021-01-05,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1021.6530841606748,903.2203768282943,0.0,2021-01-06,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1147.9509115560766,943.9947237057253,0.0,2021-01-07,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1311.2145324044718,1007.2953443112327,0.0,2021-01-08,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1516.5059435957032,1099.1087658407198,0.0,2021-01-09,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1771.3235878465534,1226.495442135348,0.0,2021-01-10,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,2085.312634569636,1397.8959001615551,0.0,2021-01-11,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,2470.4413542744724,1617.771721201084,0.0,2021-01-12,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,2941.378715761281,1892.0182400011704,0.0,2021-01-13,Tunisia,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,3516.001161178853,2230.3111328044242,0.0,2021-01-14,Tunisia,,Plan 1
