C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,1,2,3,2,4,898.6904301005327,761.7794429244756,0.0867135714285707,2020-12-08,Tunisia,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,818.1821755073106,761.7794429244756,0.0867135714285707,2020-12-09,Tunisia,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,774.6343649826417,761.7794429244756,0.0867135714285707,2020-12-10,Tunisia,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,744.834182853706,761.7794429244756,0.0867135714285707,2020-12-11,Tunisia,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,720.3994748936598,761.7794429244756,0.0867135714285707,2020-12-12,Tunisia,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,698.2962432767117,761.7794429244756,0.0867135714285707,2020-12-13,Tunisia,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,677.4192288567663,761.7794429244756,0.0867135714285707,2020-12-14,Tunisia,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,657.3590187501104,727.3035270172724,0.0867135714285707,2020-12-15,Tunisia,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,637.9574064486064,701.5571314374574,0.0867135714285707,2020-12-16,Tunisia,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,619.1470497726633,679.3446578360321,0.0867135714285707,2020-12-17,Tunisia,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,600.8936544993378,658.7817252139794,0.0867135714285707,2020-12-18,Tunisia,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,583.1751048625862,639.1782437809687,0.0867135714285707,2020-12-19,Tunisia,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,565.9739456043327,620.2750583992004,0.0867135714285707,2020-12-20,Tunisia,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,549.2746507610234,601.9686900998087,0.0867135714285707,2020-12-21,Tunisia,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,536.2644237883495,584.6694622481284,0.0743296428571422,2020-12-22,Tunisia,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,525.3645225306152,568.5847645455582,0.0743296428571422,2020-12-23,Tunisia,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,515.8398040129201,553.8265865798807,0.0743296428571422,2020-12-24,Tunisia,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,507.2988727761216,540.4559034765641,0.0743296428571422,2020-12-25,Tunisia,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,499.502633031176,528.5026932149342,0.0743296428571422,2020-12-26,Tunisia,,Plan 1
